site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"''Chesham Car and Van Sales, Bellingdon Road''",,,2017-12-08,,0.1,5,3,,local-authority-eng:CHN,not owned by a public authority,,,not permissioned,,POINT(-0.615843 51.713903),CD0008,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0008
"''Wicks Garage, Rignall Road''",,,2017-12-08,,0.17,10,5,,local-authority-eng:CHN,not owned by a public authority,,,not permissioned,,POINT(-0.713428 51.707625),CD0031,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0031
"''The Pheasant Public House, 35 Plantation Road''",yes,,2017-12-08,,0.35,6,6,"Erection of five residential units, renovation and conversion of grade II listed former public house to provide a sixth residential unit",local-authority-eng:CHN,not owned by a public authority,2016-03-30,,permissioned,full planning permission,POINT(-0.595072 51.677743),CD0063,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0063
"''Robendene, Grimsdells Lane''",yes,,2017-12-08,,0.15,12,8,"Erection of part two, part three storey building with nine apartments, associated amenity space and parking, relocation alterations to existing site access",local-authority-eng:CHN,not owned by a public authority,,,pending decision,,POINT(-0.603037 51.678779),CD0108,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0108
"''Coach Depot and Adjacent Land, Lycrome Road, Lye Green''",yes,,2017-12-08,,0.52,13,12,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,local-authority-eng:CHN,not owned by a public authority,,,not permissioned,,POINT(-0.587762 51.720914),CD0109,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0109
"''Chalfont St Peter Youth Centre, Tithe Barn, Sandy Rise''",,,2017-12-08,,0.24,8,7,Any future development proposals should ensure that leisure and community facilities are reprovided.,local-authority-eng:CHN,not owned by a public authority,,,not permissioned,,POINT(-0.554498 51.607887),CD0128,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0128
"''Epilepsy Society Site (Middle Site), Chesham Lane''",yes,,2017-12-08,,2.94,25,15,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,local-authority-eng:CHN,not owned by a public authority,,,not permissioned,,POINT(-0.549708 51.620903),CD0129,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0129
"''Epilepsy Society Site (Debenham House and Land to Rear), Chalfont St Peter''",yes,,2017-12-08,,4.61,15,12,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,local-authority-eng:CHN,not owned by a public authority,,,not permissioned,,POINT(-0.551338 51.625035),CD0130,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0130
"''Gold Hill Baptist Church, Gold Hill East, Chalfont St Peter''",,,2017-12-08,,0.26,10,7,"Redevelopment of site to create thirteen dwellings comprising change of use of church (Use Class D1) to form 6 apartments (Use Class C3) incorporating alteration to roof, erection of 4 new dwellings, refurbishment of existing dwelling and two flats, and associated landscaping and parking",local-authority-eng:CHN,not owned by a public authority,,,pending decision,,POINT(-0.564296 51.602503),CD0131,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0131
"''Land at Springfield Industrial Estate, Springfield Road''",,,2017-12-08,,1.81,55,55,"Outline application for up to 55 residential units with associated access infrastructure and landscaping, refurbishment and retention of existing commercial units (Matters of access only to be considered at this stage)",local-authority-eng:CHN,not owned by a public authority,,,pending decision,,POINT(-0.605439 51.700844),CD0145,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0145
"''Area around Chalfont and Latimer Station, Little Chalfont''",,,2017-12-08,,0.62,31,25,,local-authority-eng:CHN,not owned by a public authority,,,not permissioned,,POINT(-0.561355 51.6679),CD0152,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0152
"''68 to 78 Elizabeth Avenue, Little Chalfont''",yes,,2017-12-08,,0.26,7,7,Redevelopment of site to provide a terrace of four dwellings and a three storey building comprising two retail units and six flats with associated vehicular accesses and parking,local-authority-eng:CHN,not owned by a public authority,2015-07-15,,permissioned,full planning permission,POINT(-0.567174 51.67175),CD0153,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0153
"''206 White Lion Road, Little Chalfont''",yes,,2017-12-08,,0.22,17,17,The site is currently under construction. Redevelopment of site to provide 18 affordable housing units served by a new vehicular access off Applefields and laying of associated hardstanding,local-authority-eng:CHN,not owned by a public authority,2015-10-05,,permissioned,full planning permission,POINT(-0.565682 51.667485),CD0155,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0155
"''Rear of St Georges Church, White Lion Road, Little Chalfont''",yes,,2017-12-08,,0.41,10,6,"Hybrid planning application comprising: i) application for full planning permission for single storey front, side and rear extensions, part single storey/part first floor side extension to church building, landscaping and vehicular access: and ii) application for outline planning permission for layout and means of access only for a residential development comprising of 5 houses and 6 flats with all other matters reserved.",local-authority-eng:CHN,not owned by a public authority,,,pending decision,,POINT(-0.576866 51.670674),CD0156,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0156
"''67 - 75 Sycamore Road, Amersham''",yes,,2017-12-08,,0.16,34,34,"The site is currently under construction. Redevelopment of site to facilitate erection of a mixed use building comprising ground floor retail (Use Class A1) with associated access parking, servicing and residential accommodation (Use Class C3) on the first, second and third floors comprising 35 studio, 1 and 2 bed flats, associated access, basement parking and private communal amenity space",local-authority-eng:CHN,not owned by a public authority,2016-08-05,,permissioned,full planning permission,POINT(-0.606325 51.678394),CD0160,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0160
"''Land Adjoining Chesham Station, Station Road''",,,2017-12-08,,0.18,13,7,,local-authority-eng:CHN,not owned by a public authority,,,not permissioned,,POINT(-0.610777 51.705456),CD0174,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0174
"''Hillcrest Court, Chesham Road''",yes,,2017-12-08,,0.23,14,14,"The site is currently under construction. Part single storey, part four storey front extension, three storey side extension and roof extension to the Chesham Road part of the building, extension to roof with dormers to Hill Avenue part of building, alterations to fenestration, addition of balconies, refurbishment of buildings and change of use to provide 31 dwellings (Use Class C3)",local-authority-eng:CHN,not owned by a public authority,2015-06-08,,permissioned,full planning permission,POINT(-0.608217 51.676035),CD0189,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0189
"''Sycamore House, 1 Woodside Road, Amersham''",yes,,2017-12-08,,0.34,8,8,"Change of use of first and second floor gymnasium (Use Class D2) to provide eight apartments (5x2 bed, 3x1 bed), extension to enclose stairwell, first floor/second floor rear extension and new balconies and associated parking",local-authority-eng:CHN,not owned by a public authority,2015-04-13,,permissioned,full planning permission,POINT(-0.604875 51.678317),CD0197,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0197
"''Metro House, 37 to 47 Woodside Road, Amersham''",yes,,2017-12-08,,0.07,6,6,"Prior Notification Under Class J of Part 3, Schedule 2 of the Town and Country Planning (General Permitted Development) Order 1995, as amended - change of use of first and second floors from office (use class b1(a)) to eleven residential units (use class c3)",local-authority-eng:CHN,not owned by a public authority,2014-05-28,,permissioned,other,POINT(-0.603563 51.677969),CD0205,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0205
"''1st and 2nd Floor Risborough House, 38 - 40 Sycamore Road, Amersham''",yes,,2017-12-08,,0.15,6,6,"Prior Notification Under Class J of Part 3, Schedule 2 of the Town and Country Planning (General Permitted Development) Order 1995, as amended - change of use of first and second floors from office (Use Class B1(a)) to six residential units (use class C3)",local-authority-eng:CHN,not owned by a public authority,2015-03-13,,permissioned,other,POINT(-0.606216 51.677319),CD0206,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0206
"''Newland Park, Gorelands Lane, Chalfont St Giles''",yes,,2017-12-08,,41.56,306,306,"Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.. Redevelopment of site to provide 309 dwellings (Use Class C3), including new build, conversion of existing student housing blocks, Grade II listed manor house and associated buildings",local-authority-eng:CHN,not owned by a public authority,2016-07-29,,permissioned,full planning permission,POINT(-0.539614 51.632624),CD0209,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0209
"''90 Asheridge Road, Chesham''",yes,,2017-12-08,,2.73,142,80,"The office element of the consented scheme is protected by condition. Redevelopment of the site comprising demolition of existing substation and provision of 142 residential units (Use Class C3), car parking, landscaping and associated works",local-authority-eng:CHN,not owned by a public authority,,,pending decision,,POINT(-0.621207 51.7156),CD0211,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0211
"''28-32 High Street, Great Missenden''",yes,,2017-12-08,,0.08,5,5,The site is currently under construction. Construction of second storey extension and two new stairwells to provide 5 new dwellings and access. External alterations at first floor level and demolition of garage block,local-authority-eng:CHN,not owned by a public authority,2015-05-28,,permissioned,full planning permission,POINT(-0.70815 51.70406),CD0230,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0230
"''Milton Court, Churchfield Road, Chalfont St Peter''",yes,,2017-12-08,,0.02,6,6,"Prior Notification Under Class O of Part 3, Schedule 2 of the Town and Country Planning (General Permitted Development) (England) Order 2015 - Change of use from office (use class B1(a)) to eight residential units (use class C3)",local-authority-eng:CHN,not owned by a public authority,2015-11-17,,permissioned,other,POINT(-0.558881 51.607333),CD0247,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0247
"''Victoria House, Victoria Road, Chesham''",yes,,2017-12-08,,0.01,7,7,"Prior Notification under Class P of Part 3, Schedule 2 of the Town and Country Planning (General Permitted Development) (England) Order 2015 - Change of use from storage or distribution buildings (Use Class B8) to seven residential units (Use Class C3)",local-authority-eng:CHN,not owned by a public authority,2015-09-01,,permissioned,other,POINT(-0.609459 51.708023),CD0384,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0384
"''66 and 68 Penn Road, Knotty Green ''",yes,,2017-12-08,,0.31,6,6,"Demolition of existing dwellings and erection of a detached residential building comprising eight flats, basement parking, hardstanding, bin store and entrance gate",local-authority-eng:CHN,not owned by a public authority,2016-07-26,,permissioned,outline planning permission,POINT(-0.649619 51.619453),CD0386,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0386
"''Rear of 64 Whielden Street and 1-3 Alpha Court, Old Amersham''",yes,,2017-12-08,,0.23,6,6,"Redevelopment of site to facilitate erection of eight dwellings, creation of new vehicular access with associated hardstanding and landscaping",local-authority-eng:CHN,not owned by a public authority,2016-10-03,,permissioned,full planning permission,POINT(-0.618134 51.663891),CD0387,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0387
"''The Old Exchange, 23 New Pond Road, Holmer Green''",yes,,2017-12-08,,0.1,5,5,"Change of use from Office building Use Class B1(a) to residential Use Class C3, to create four two-bed flats and one single-bed flat, fenestration alterations, extension of porch to provide canopied walkway, hard and soft landscaping",local-authority-eng:CHN,not owned by a public authority,2016-06-06,,permissioned,full planning permission,POINT(-0.694733 51.666139),CD0390,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0390
"''Churchfield House, Churchfield Road, Chalfont St Peter''",yes,,2017-12-08,,0.04,6,6,"Prior Notification Under i) Class O and ii) Class P of Part 3, Schedule 2 of the Town and Country Planning (General Permitted Development) (England) Order 2015 - Change of Use from i) part office (Use Class B1(a)) and from ii) part storage and distribution (use class B8) to a total of six residential units (Use Class C3)",local-authority-eng:CHN,not owned by a public authority,2015-11-30,,permissioned,other,POINT(-0.559241 51.607187),CD0391,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0391
"''Hillcroft, 72 Penn Road, Knotty Green ''",yes,,2017-12-08,,0.3,6,6,"Redevelopment of site to provide one building comprising eight apartments, with basement parking, bin store and entrance gates, served by new vehicular access to Penn Road",local-authority-eng:CHN,not owned by a public authority,2016-08-19,,permissioned,full planning permission,POINT(-0.650255 51.62018),CD0419,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0419
"''7 Station Road, Chesham''",yes,,2017-12-08,,0.03,6,6,"Demolition of existing building and erection of new three storey building to provide six flats, associated car parking, bin store and security gates",local-authority-eng:CHN,not owned by a public authority,2016-07-28,,permissioned,full planning permission,POINT(-0.611356 51.705794),CD0420,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0420
"''132 High Street, Chesham, ''",yes,,2017-12-08,,0.01,5,5,Change of use of building from Offices (Use Class B1a) to create five residential units (Use Class C3) and alterations to rear,local-authority-eng:CHN,not owned by a public authority,2016-07-13,,permissioned,full planning permission,POINT(-0.611657 51.707337),CD0422,http://www.chiltern.gov.uk/planning/brownfieldregister,2017-12-08,brownfield-land/local-authority-eng/CHN/CD0422
