site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
42 to 45 Nile Street,,2020-11-30,2020-11-30,,0.06298,54,54,Application expired not considered developable within 15 yr period.,local-authority-eng:SND,not owned by a public authority,,https://www.sunderland.gov.uk/online-applications,not permissioned,,POINT(-1.376472 54.906179),18,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30,brownfield-land/local-authority-eng/SND/18
"Former Eagle Public House, Portsmouth Road",,,2020-11-30,,0.194351,9,8,Permitted application ref. 16/00509/FUL expired.,local-authority-eng:SND,not owned by a public authority,,https://www.sunderland.gov.uk/online-applications,not permissioned,,POINT(-1.441783 54.89645),54,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30,brownfield-land/local-authority-eng/SND/54
"Site of Foundry (The Forge, Pallion)",,2019-11-30,2018-11-30,,1.319401,22,22,Permitted application ref. 17/02370/FUL. Site completed,local-authority-eng:SND,not owned by a public authority,2016-09-21,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.411003 54.910395),70,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30,brownfield-land/local-authority-eng/SND/70
"Stadium Village, Sheepfolds Central",,,2020-11-30,,1.25,265,238,Part of Stadium Village Development Framework SPD masterplan and Central Area Urban Design Strategy SPD,local-authority-eng:SND,mixed ownership,,https://www.sunderland.gov.uk/online-applications,not permissioned,,POINT(-1.386577 54.912467),080A,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30,brownfield-land/local-authority-eng/SND/080A
"Stadium Village, Sheepfolds South",,2020-11-30,2020-11-30,,0.89,,,Part of Stadium Village Development Framework SPD masterplan and Central Area Urban Design Strategy SPD,local-authority-eng:SND,mixed ownership,,https://www.sunderland.gov.uk/online-applications,not permissioned,,POINT(-1.384731 54.912772),080B,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30,brownfield-land/local-authority-eng/SND/080B
"Stadium Village, Sheepfolds Cliff Top",,,2020-11-30,,0.91,185,166,Part of Stadium Village Development Framework SPD masterplan and Central Area Urban Design Strategy SPD,local-authority-eng:SND,mixed ownership,,https://www.sunderland.gov.uk/online-applications,not permissioned,,POINT(-1.385584 54.911051),080C,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30,brownfield-land/local-authority-eng/SND/080C
"Former Groves Site, Woodbine Terrace, Pallion",yes,,2020-11-30,,31.21,700,630,Part of Groves Development Framework. Live outline application ref. 17/02430/OU4 for up to 700 units.,local-authority-eng:SND,owned by a public authority,,https://www.sunderland.gov.uk/online-applications,pending decision,,POINT(-1.424707 54.914136),85,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30,brownfield-land/local-authority-eng/SND/85
Former Easington Lane Primary School Building,yes,,2018-11-30,,2.946587,116,116,Part of Easington Lane Development Framework SPD and Development Brief,local-authority-eng:SND,mixed ownership,2019-05-02,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.432274 54.805212),86,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30,brownfield-land/local-authority-eng/SND/86
"Former Dubmire Primary School, Britannia Terrace",yes,2020-11-30,2020-11-30,,0.297393,17,17,Full permission for 17 units: 18/02002/FU4. Site largely completed.,local-authority-eng:SND,owned by a public authority,2019-04-02,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.500423 54.842598),87,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2019-11-30,brownfield-land/local-authority-eng/SND/87
"Ayton Village Primary School, Dunlin Drive, Ayton",yes,,2020-11-30,,1.57777,56,56,Permitted application ref. 19/01484/FU4,local-authority-eng:SND,not owned by a public authority,2019-12-18,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,POINT(-1.55298 54.889873),98,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2016-06-30,brownfield-land/local-authority-eng/SND/98
