name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
BLR001,"Land Bounded By Somerleyton Road, Coldharbour Lane And Railway",yes,,2017-12-15,,1.61,304,304,"Lambeth Local Plan allocated site (Site 14). “Demolition of existing buildings (with the exception of Carlton Mansions) and redevelopment to provide a residential-led, mixed use development comprising 304 new dwellings and non-residential uses including a theatre (Sui Generis) and employment, retail and community uses (Use class B1/D1/A1/A2).",local-authority-eng:LBH,mixed ownership,2017-03-23,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NUTFJUBO0I800|https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NZRAVLBOJME00,permissioned,full planning permission,POINT(-0.109487 51.460578),BLR001,https://maps.london.gov.uk/brownfield-site-register,2017-12-15,/brownfield-land/local-authority-eng/LBH/BLR001
BLR002,Higgs Industrial Estate,yes,,2017-12-16,,0.5,124,124,Demolition of existing buildings. Mixed-use redevelopment providing five new build blocks (between 5 and 8 storeys in height) comprising class B1 and B2 floorspace and 124 residential units.,local-authority-eng:LBH,not owned by a public authority,2015-06-26,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NK2VQDBO0GI00,permissioned,full planning permission,POINT(-0.101424 51.465492),BLR002,https://maps.london.gov.uk/brownfield-site-register,2017-12-15,/brownfield-land/local-authority-eng/LBH/BLR002
BLR003,Fenwick Estate South,yes,,2017-12-17,,0.47,55,55,"Demolition of existing buildings and site clearance works to provide 55 social rented units (Use Class C3), a replacement community hall (Use Class D1), associated landscaping and parking.",local-authority-eng:LBH,owned by a public authority,2017-02-10,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NUTTNKBO0IB00,permissioned,full planning permission,POINT(-0.127148 51.463811),BLR003,https://maps.london.gov.uk/brownfield-site-register,2017-12-15,/brownfield-land/local-authority-eng/LBH/BLR003
BLR004,"The Livity School, Mandrell Road",yes,,2017-12-18,,0.47,43,43,Re-development of the site comprising the demolition of existing buildings and the erection of a 3 storey development to provide 43 residential units,local-authority-eng:LBH,owned by a public authority,2014-03-24,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MAWRH6BO05N00,permissioned,full planning permission,POINT(-0.12615 51.455845),BLR004,https://maps.london.gov.uk/brownfield-site-register,2017-12-15,/brownfield-land/local-authority-eng/LBH/BLR004
BLR005,12-20 Wyvil Road,yes,,2017-12-19,,0.38,278,278,"Part of Lambeth Local Plan allocated site (Site 11). “Demolition of existing buildings and redevelopment of the site to provide a residential-led mixed-use development in a part 1/part 5/part 35/36 storey building to the North/North East and an 8 storey building to the South (fronting onto Wyvil Road) comprising 278 residential units, office and retail floorspace.",local-authority-eng:LBH,not owned by a public authority,2017-09-06,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OCIUJFBO0GI00,permissioned,full planning permission,POINT(-0.126519 51.481984),BLR005,https://maps.london.gov.uk/brownfield-site-register,2017-12-15,/brownfield-land/local-authority-eng/LBH/BLR005
BLR006,93 King's Avenue,yes,,2017-12-20,,0.29,5,5,"Redevelopment of the land to the rear of Peter's Court involving relocation of the sub-station, the demolition of the existing disused garages and erection of five three-storey, 3 bedroom mews-style houses.",local-authority-eng:LBH,not owned by a public authority,2017-06-27,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ONMVRYBOGKM00,permissioned,full planning permission,POINT(-0.129258 51.452703),BLR006,https://maps.london.gov.uk/brownfield-site-register,2017-12-15,/brownfield-land/local-authority-eng/LBH/BLR006
BLR007,"Olive Morris House, 18 Brixton Hill",yes,,2017-12-21,,0.28,74,74,"“Demolition of the existing council offices and the erection of a part 6, part 7 storey building comprising 74 residential units (Use Class C3) along with commercial floorspace (flexible A1/B1/D1/D2 use classes) at ground and basement levels plus an energy centre, car and cycle parking and a service bay at basement level, roof level installations and associated works.“",local-authority-eng:LBH,owned by a public authority,2015-10-15,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NMX66CBOJX200,permissioned,full planning permission,POINT(-0.118181 51.457804),BLR007,https://maps.london.gov.uk/brownfield-site-register,2017-12-15,/brownfield-land/local-authority-eng/LBH/BLR007
BLR008,363-365 Clapham Road,yes,,2017-12-22,,0.23,28,28,"“Demolition of 365 Clapham Road, and warehouse structure and northern wing of 363 Clapham Road. Refurbishment of Listed Building at 363 Clapham Road including mansard roof extension to create 1 x 1 bed, 1 x 2 bed and 1 x 3 bed flats. Erection of replacement buildings to either side of 363 Clapham Road to provide a further 2 x 1 bed, 3 x 2 bed, 2 x 3 bed residential units. Erection of new building to the rear of 363-365 Clapham Road providing B1 office space at ground and lower ground floor level. Upper floors to comprise 6 x 1 bed, 10 x 2 bed, and 2 x 3 bed flats.",local-authority-eng:LBH,not owned by a public authority,2016-08-19,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O347R3BOHZ300,permissioned,full planning permission,POINT(-0.127619 51.467074),BLR008,https://maps.london.gov.uk/brownfield-site-register,2017-12-15,/brownfield-land/local-authority-eng/LBH/BLR008
BLR009,"Texaco Garage, 36-46 Albert Embankment",yes,,2017-12-23,,0.19,166,166,"Demolition of all structures associated with the petrol filling station and redevelopment of the site to provide a residential-led, mixed use development, comprising the retention and refurbishment of Vintage house and development of ground plus 24 storeys in the form of two towers, linked at ground to fifth floor, and consisting of retail/restaurant use (Use Class A1/A3), office (Use Class B1) and 166 residential units.",local-authority-eng:LBH,not owned by a public authority,2017-10-13,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O2AEV2BO0GI00,permissioned,full planning permission,POINT(-0.122704 51.489297),BLR009,https://maps.london.gov.uk/brownfield-site-register,2017-12-15,/brownfield-land/local-authority-eng/LBH/BLR009
BLR010,340A Clapham Road,yes,,2017-12-24,,0.19,62,62,"“Redevelopment of the site involving demolition of existing building and erection of a building up to 9 storeys in height plus basement level to provide offices (Use Class B1) at lower ground and ground floor, a cafe (Use Class A1) at ground floor and 62 residential units (Use Class C3) at upper floor levels.",local-authority-eng:LBH,not owned by a public authority,2017-06-21,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OH7S7DBOFLE00,permissioned,full planning permission,POINT(-0.126699 51.469496),BLR010,https://maps.london.gov.uk/brownfield-site-register,2017-12-15,/brownfield-land/local-authority-eng/LBH/BLR010
