site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
Preston.,,,2018-11-13,,5.33,,,,local-authority-eng:PRE,not owned by a public authority,2007-09-03,,permissioned,reserved matters approval,BR01,,2016-09-06
Former Cottam Brickworks,,,2018-11-13,,8.42,93,93,,local-authority-eng:PRE,not owned by a public authority,2018-02-15,,permissioned,reserved matters approval,BR04,,2016-09-06
Avenham Street Car Park,,,2018-11-13,,0.6,15,15,,local-authority-eng:PRE,not owned by a public authority,2007-08-30,,permissioned,outline planning permission,BR06,,2016-09-06
Mount Street / Garden Street,,,2018-11-13,,0.06,,,,local-authority-eng:PRE,not owned by a public authority,,,not permissioned,,BR08,,2016-09-06
"Former St Joseph's Orphanage, Theatre",,,2019-12-16,,,,,,local-authority-eng:PRE,,,,,,,,
Street,,,2018-11-13,,0.39 Not owned by a public authority,,,,local-authority-eng:PRE,,2004-12-22,,permissioned,full planning permission,BR09,,2016-09-06
,,,2019-12-16,,,,,,local-authority-eng:PRE,,,,,full planning permission,,,
"Lancashire House, Winckley Square.",yes,,2018-11-13,,0.11 Not owned by a public authority,29,29,,local-authority-eng:PRE,,2018-08-30,,permissioned,under an order,BR10,,2016-09-06
"Alstom site, Channel Way",,,2018-11-13,,6.26 Not owned by a public authority,,,,local-authority-eng:PRE,,,,not permissioned,,BR15,,2016-09-06
"Goss Graphics, Fylde Road.",,,2018-11-13,,3.8 Not owned by a public authority,95,95,,local-authority-eng:PRE,,,,not permissioned,,BR16,,2016-09-06
,,,2019-12-16,,,,,,local-authority-eng:PRE,,,,,,,,
Land at Ashton Basin,,,2018-11-13,,0.37 Not owned by a public authority,12,12,,local-authority-eng:PRE,,2014-01-13,,permissioned,outline planning permission,BR17,,2016-09-06
"Former Byron Hotel, 25-35 Grimshaw",,,2019-12-16,,,,,,local-authority-eng:PRE,,,,,,,,
Street.,,,2018-11-13,,0.09 Not owned by a public authority,,,,local-authority-eng:PRE,,2006-12-11,,permissioned,full planning permission,BR18,,2016-09-06
,,,2019-12-16,,,,,,local-authority-eng:PRE,,,,,,,,
"Miller Arcade, Church Street",,,2018-11-13,,0.2,,,,local-authority-eng:PRE,not owned by a public authority,2015-04-30,,permissioned,full planning permission,BR19,,2016-09-06
6&7 Ribblesdale Place,,,2018-11-13,,0.07,,,,local-authority-eng:PRE,not owned by a public authority,2004-08-11,,permissioned,,BR20,,2016-09-06
37/38 Cannon Street,,,2018-11-13,,0.02,,,,local-authority-eng:PRE,not owned by a public authority,2017-04-04,,permissioned,full planning permission,BR21,,2016-09-06
5-13 Market Street,,,2018-11-19,,0.06,,,,local-authority-eng:PRE,not owned by a public authority,2018-04-17,,permissioned,full planning permission,BR22,,2016-09-06
"Hemmings Mill, New Hall Lane",,,2018-11-19,,0.33,,,,local-authority-eng:PRE,not owned by a public authority,2008-12-11,,permissioned,full planning permission,BR23,,2016-09-06
