site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Otford Builders Merchants, High Street, Otford",yes,,2019-12-18,,0.46,7,7,Emerging Local Plan Ref ST2-41 - Careful design and layout to conserve the character of the AONB. Redevelopment of the modern office and industrial building will provide an opportunity for enhancement and improve the setting of the conservation area. The review of the existing use is to be considered as part of any planning application. Retain existing trees and hedges.,local-authority-eng:SEV,not owned by a public authority,,,not permissioned,,POINT(0.18563 51.313572),BFR08,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"Sevenoaks Community Centre, Otford Road, Sevenoaks",yes,,2019-12-18,,0.89,75,75,Emerging Local Plan Ref ST2-7 - Replacement facilities to serve the local community to be provided as part of any redevelopment scheme. Mitigate impact of noise from railway line. An assessment of the impact of the development on the source protection zone is to be submitted as part of any planning application. Retain existing trees and hedges.,local-authority-eng:SEV,owned by a public authority,,,not permissioned,,POINT(0.19342 51.290176),BFR12,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"5 Crownfields, Sevenoaks",yes,,2019-12-18,,0.3,20,20,Emerging Local Plan Ref ST2-2 - Careful design and layout to minimise impact on the amenity of neighbouring properties. Retain existing trees and hedges. A landfill assessment is to be submitted as part of any planning application.,local-authority-eng:SEV,not owned by a public authority,,,not permissioned,,POINT(0.189179 51.269384),BFR13,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"Sevenoaks Town Council Offices, Bradbourne Vale Road, Sevenoaks",,,2019-12-18,,0.32,32,32,Emerging Local Plan Ref ST2-10 - Careful design and layout to minimise impact on the amenity of neighbouring properties. The review of the existing use is to be considered as part of any planning application. An air quality assessment is to be submitted as part of any planning application. An assessment of the impact of the development on the source protection zone is to be submitted as part of any planning application. Retain existing trees and hedges.,local-authority-eng:SEV,owned by a public authority,,,not permissioned,,POINT(0.188964 51.286641),BFR14,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"Sevenoaks Adult Education Centre, Bradbourne Road, Sevenoaks",,,2019-12-18,,0.6,30,30,Emerging Local Plan Ref ST2-11 - Careful design and layout to minimise impact on the amenity of neighbouring properties and the locally listed building. An assessment of the impact of the development on the source protection zone is to be submitted as part of any planning application. Retain existing trees and hedges.,local-authority-eng:SEV,owned by a public authority,,,not permissioned,,POINT(0.190318 51.282989),BFR15,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"The Woodlands, Hilda May Avenue, Swanley",yes,,2019-12-18,,0.44,66,66,Emerging Local Plan Ref ST2-19 - Retain existing trees and hedges.,local-authority-eng:SEV,owned by a public authority,,,not permissioned,,POINT(0.170888 51.399895),BFR16,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"Chauchers of Sevenoaks, London Road, Dunton Green",,,2019-12-18,,0.23,11,11,Emerging Local Plan Refg ST2-15 Careful design and layout to conserve the character of the AONB. A contamination assessment is to be submitted as part of any planning application. The review of the existing use is to be considered as part of any planning application.,local-authority-eng:SEV,not owned by a public authority,,,not permissioned,,POINT(0.160089 51.300589),BFR19,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"Fawkham Business Park, Fawkham Road, Fawkham",yes,,2019-12-18,,0.78,31,31,Emerging Local Plan Ref ST2-52 - The review of the existing use is to be considered as part of any planning application. An assessment of the impact of the development on the source protection zone is to be submitted as part of any planning application.,local-authority-eng:SEV,not owned by a public authority,,,not permissioned,,POINT(0.294317 51.396915),BFR20,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"Chelsfield Depot, Shacklands Road, Badgers Mount",,,2019-12-18,,3.35,100,100,"Emerging Local Plan Ref ST2-43 - Respect and respond sensitively to the existing features within the site that are positive and that make the site unique. The site is especially unique because of its natural landscape buffer that surrounds the site on all sides. Buffer required to protect the ancient woodland. Proposals could explore integrating a use within the site that benefits from the natural landscape buffer the site affords, such as a community activity centre or forest school. Establish a network of connected streets which prioritise walking and cycling over private car use for short trips within the development. Create safe, attractive and clear cycling and pedestrian routes which minimise distances between the site and local shops, services and Knockholt station. Proposals should especially consider improvements to the roundabout to the southwest of the site that accommodates footpaths and crossings for pedestrians and cyclists. Any opportunity to deliver a new pedestrian connection through to Highland Road or Charles Road to overcome the isolation of this site would be welcome. Use the natural features of the site to inform development and integrate it into its wider setting. The topography, geology, trees and ancient woodland can be used to reinforce local distinctiveness.",local-authority-eng:SEV,not owned by a public authority,,,not permissioned,,POINT(0.150226 51.335335),BFR23,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"Upper Hockenden Farm, Hockenden Lane, Swanley",yes,,2019-12-18,,2.36,25,25,Emerging Local Plan Ref ST2-23 - Retain existing employment floorspace as part of any scheme. A contamination assessment is to be submitted as part of any planning application. An air quality assessment is to be submitted as part of any planning application.,local-authority-eng:SEV,not owned by a public authority,,,not permissioned,,POINT(0.155817 51.405454),BFR31,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"Harringtons Nursery, Highlands Hill, Swanley",yes,,2019-12-18,,0.4,16,16,"Emerging Local Plan Ref ST2-24 - Respect and respond sensitively to the existing features within the site that are positive and that make the site unique. In particular, development on this site might capture the spirit of the regular pattern of glasshouses on the site. New development should front onto the public footpath across the north side of the site which connects towards Swanley Village, identifying this as a public route. Create safe, attractive and clear walking and cycling routes which minimise distances between the site and Hextable village, Swanley town and Swanley Station. Proper pedestrian and cycling facilities need to be introduced along Highlands Hill, connecting to the Fiveways Junction. This is to ensure that the development can be safely accessed on foot or by cycle to enable sustainable and independent travel. Explore ways of reflecting the site’s existing use as a nursery into proposals for development. This could include incorporating a particularly strong planting approach.",local-authority-eng:SEV,not owned by a public authority,,,not permissioned,,POINT(0.18708 51.403705),BFR32,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"Deer Leap Stud Farm, Knockholt Road, Halstead",yes,,2019-12-18,,0.39,13,13,Emerging Local Plan Ref ST2-55 - Careful design and layout to minimise impact on the amenity of neighbouring properties.,local-authority-eng:SEV,not owned by a public authority,,,not permissioned,,POINT(0.129986 51.32627),BFR56,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"Egerton Nursery, Egerton Avenue, Hextable",yes,,2019-12-18,,0.52,30,30,Emerging Local Plan Ref ST2-59 - Careful design and layout to minimise impact on the openness of the Green Belt in this important strategic gap. Access to be improved,local-authority-eng:SEV,not owned by a public authority,,,not permissioned,,POINT(0.181036 51.407338),BFR63,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"Oasis Academy, Egerton Avenue, Hextable",,,2019-12-18,,3.18,190,190,"Emerging Local Plan Ref ST2-60 - Respect and respond sensitively to the existing features within the site that are positive and that make the site unique. The Howard Venue is a valued asset well used by the local community and should be retained on the site. The strong orthogonal character of the existing site should inform the development of future development structure through a simple gridded block structure. The historic avenue of trees along the western boundary of the site provides an opportunity to create well defined built frontage facing onto landscape rather than the backs of buildings. Be fully integrated into the existing urban fabric by responding to the village character of Hextable in terms of scale, materials and layout. Use the existing perimeter block street pattern to the east of the site on Egerton Avenue and New Road to inform the layout of housing on site. Establish a network of connected streets which prioritise walking and cycling over private car use for short trips within the development. The structure of the site should naturally extend the existing grain of streets. The development of the site provides a good opportunity to introduce a new pedestrian link from the elbow of Egerton Avenue towards the south and west to connect into the top of Swanley Park. Create safe, attractive and clear cycling and pedestrian routes which minimise distances between the site and local shops, services and public transport interchanges. Ensure a hierarchy of routes so that important routes are clearly identifiable. Use the natural features of the site to inform development and integrate it into its wider setting. The topography, geology and trees can be used to reinforce local distinctiveness. In particular, the existing avenue of trees along the western edge of the site should help to provide a strong characteristic for the site.",local-authority-eng:SEV,owned by a public authority,,,not permissioned,,POINT(0.155817 51.405454),BFR64,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"Former Birchwood Primary School, Russett Way, Swanley",yes,,2019-12-18,,0.66,39,39,Emerging Local Plan Ref ST2-22 - Retain existing trees and hedges,local-authority-eng:SEV,owned by a public authority,,,not permissioned,,POINT(0.166434 51.405334),BFR71,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"Stacklands Retreat House, School Lane",yes,,2019-01-18,,2.7,6,6,SE/17/00410,local-authority-eng:SEV,not owned by a public authority,2018-01-18,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.258707 51.334069),BFR76,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
148-152 St Johns Hill,yes,,2019-01-18,,0.04,6,6,SE/17/02796 - Completed,local-authority-eng:SEV,not owned by a public authority,2017-12-08,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,reserved matters approval,POINT(0.194545 51.287912),BFR79,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
139 London Road TN13 1BH,yes,,2017-12-01,,0.04,8,8,SE/14/02652,local-authority-eng:SEV,not owned by a public authority,2015-01-27,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.187164 51.274775),BFR80,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
Paxform Properties (1st & 2nd Floors) 11-13 High Street BR8 8AE,yes,,2019-01-18,,0.05,12,12,SE/17/01628,local-authority-eng:SEV,not owned by a public authority,2017-12-14,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.177713 51.395465),BFR82,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"First Floor, 33 Swanley Centre (above Wilko and adjacent shops) BR8 7TL",yes,,2017-12-01,,0.08,10,10,SE/14/02774/PAC - Superseded,local-authority-eng:SEV,not owned by a public authority,2014-10-09,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,Other,POINT(0.173656 51.3964),BFR85,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
