site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Land Adjacent To Croydon College, College Road",yes,,2018-11-30,,0.187,159,159,"Erection of part 16/38 storey building (plus basement and mezzanine levels) comprising 159 residential units, 225 bedroom hotel and restaurant (within use class A3); provision of associated amenity areas, landscaping and car/cycle parking and alterations/partial enclosure of access ramp. http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW0MJLXB647",local-authority-eng:CRY,not owned by a public authority,2015-12-04,http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW0MJLXB647,permissioned,full planning permission,14/01603/P,http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW0MJLXB647,2018-11-30
"6-44 Station Road And Queens Hall Car Park, Station Road & Poplar Walk",yes,,2018-11-30,,0.14,225,225,"Demolition of 6-44 Station Road and all but the facade of 6-12 Station Road; erection of two buildings comprising 25 storeys (plus partial basement and mezzanine) and 21 storeys (plus mezzanine) to provide 232 residential units and 947 M2 of commercial floorspace (for use within Class A1,A2,A3,A4 or A5) ; new public square including area for retail use, works to church car park , cycle parking, disabled parking and sustainable energy measures.. http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW0HJLXB466",local-authority-eng:CRY,not owned by a public authority,2017-03-31,http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW0HJLXB466,permissioned,full planning permission,15/01419/P,http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW0HJLXB466,2018-11-30
"393, Wickham Road",yes,,2018-11-30,,0.075,6,6,Demolition of the existing dwelling; erection of a three storey building with lower ground floor comprising 7 two bedroom flats with associated access and forecourt parking. http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW0EJLXB779,local-authority-eng:CRY,not owned by a public authority,2016-05-06,http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW0EJLXB779,permissioned,full planning permission,15/04202/P,http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW0EJLXB779,2018-11-30
"30, Fairfield Road",yes,,2018-11-30,,0.081,8,8,"Demolition of existing buildings and erection of three/four storey building containing 8 two bedroom and 1 three bedroom flats; formation of access; provision of associated parking, cycle storage and refuse storage (amended description). http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW0DJLXB386",local-authority-eng:CRY,not owned by a public authority,2016-02-16,http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW0DJLXB386,permissioned,full planning permission,15/05542/P,http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW0DJLXB386,2018-11-30
"Electric House, 3, Wellesley Road",yes,,2018-11-30,,2.699,40,40,"Internal alterations and clean external elevations of the existing buildings, replacement windows and change of use to provide a mixed use conversion including 40 residential units and 2,810m2 (GIA) commercial space (flexible A1/A2/A3/D1/D2 uses) including associated car parking, cycle parking, hard and soft landscaping and refuse and recycling facilities.. http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW0DJLXB869",local-authority-eng:CRY,not owned by a public authority,2016-06-30,http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW0DJLXB869,permissioned,full planning permission,15/05761/P,http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW0DJLXB869,2018-11-30
"9, Dickensons Lane",yes,,2018-11-30,,0.08,5,5,"Demolition of existing commercial buildings; erection of a terrace of five, three-storey, three-bedroom houses and provision of parking spaces.. http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW0CJLXB555",local-authority-eng:CRY,not owned by a public authority,2016-04-12,http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW0CJLXB555,permissioned,full planning permission,16/00609/P,http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW0CJLXB555,2018-11-30
"Ye Olde Clocktower Public House, 35, Whitehorse Road",yes,,2018-11-30,,0.024,5,5,"Alterations ; Provision of rear garden associated to existing pub use; Erection of ground and first floor extensions ; construction of an additional two floors; use of first, second and third floors as 5 two bedroom flats ; provision of associated refuse storage and cycle storage to rear (amended description). http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW0CJLXB116",local-authority-eng:CRY,not owned by a public authority,2016-04-29,http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW0CJLXB116,permissioned,full planning permission,16/01048/P,http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW0CJLXB116,2018-11-30
"35, Cornwall Road",yes,,2018-11-30,,0.2,32,32,Demolition of existing buildings; erection of four storey building comprising 13 one bedroom 16 two bedroom and 3 three bedroom flats formation of vehicular access and provision of landscaping and associated parking spaces. http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW0BJLXB669,local-authority-eng:CRY,not owned by a public authority,2016-12-15,http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW0BJLXB669,permissioned,full planning permission,16/01880/P,http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW0BJLXB669,2018-11-30
"47, Shirley Road",yes,,2018-11-30,,0.19,18,18,"Erection of 6 two storey buildings with accomodation in roofspace comprising 6 one bedroom, 8 two bedroom and 4 three bedroom flats; formation of access road and provision of associated parking, cycle and refuse. http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW0AJLXB110",local-authority-eng:CRY,not owned by a public authority,2017-03-10,http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW0AJLXB110,permissioned,full planning permission,16/03514/P,http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW0AJLXB110,2018-11-30
"169-183, Brighton Road",yes,,2018-11-30,,0.292,26,26,"Demolition of the existing frontage buildings; erection of 3 two storey buildings with accommodation in roofspace comprising 21 one bedroom, 9 two bedroom and 3 three bedroom flats; formation of vehicular accesses and provision of associated parking. http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW09JLXB509",local-authority-eng:CRY,not owned by a public authority,2016-10-28,http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW09JLXB509,permissioned,full planning permission,16/03859/P,http://publicaccess2.croydon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW09JLXB509,2018-11-30
