site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Wickford Car Park, rear of High Street and Ladygate Centre",yes,,2019-08-21,,0.78,19,19,Deliverable within 4 years. 18/07/17. 24/08/18. 21/08/19.,local-authority-eng:BAI,owned by a public authority,,,not permissioned,,BAS0001,https://www.basildon.gov.uk/media/8535/BLR/pdf/BLR.pdf,2017-07-18
"Car park 14, Laindon Link, South West of Roundacre, SS15 5UN",yes,,2019-08-06,,1.34,37,28,Deliverable within 4 years. 19/07/17. 24/08/18. 06/08/19.,local-authority-eng:BAI,not owned by a public authority,,,not permissioned,,BAS0002,https://www.basildon.gov.uk/media/8536/BLR/pdf/BLR.pdf,2017-07-19
Land north of Dry Street (Area of Special Reserve ? Saved Policy BAS S3),yes,,2019-08-06,,3.52,67,67,"Permission already granted for a mixed scheme including housing which this site forms only a part of. Site area from HELAA reduced to Brownfield land only. Work commenced. 67 properties left to be built. Deliverable within 3 years. Only to be removed once completed. 19/07/17. 24/08/18. 06/08/19.. Reserved Matters application for Phase 1 of Nethermayne to deliver 181 new homes with associated landscaping, car parking, site streets and infrastructure together with improvements to the public highway along the length of Dry Street between the access to the site and the junction with the A176 - pursuant to Outline Planning Permission 12/01080/OUT.. https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application",local-authority-eng:BAI,not owned by a public authority,2015-08-27,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,reserved matters approval,BAS0003,https://www.basildon.gov.uk/media/8537/BLR/pdf/BLR.pdf,2017-07-19
Thurrock and Basildon College Nethermayne Campus,yes,,2019-08-06,,3.49,150,150,"Permission for housing granted for which this site forms only a part of. Site area from HELAA reduced to Brownfield land only. Works have not commenced. Only to be removed once expired or completed. Permission expires 13/07/20. Deliverable within 5 years. 19/07/17. 24/08/18. 06/08/19.. Reserved Matters application for Phase 2 of Nethermayne to deliver 192 homes with 622 sqm of local retail space (Use Classes A1, A2, A3, A4 and A5), associated landscaping, car parking and open space, pursuant to Outline Planning Permission 12/01080/OUT.. https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application",local-authority-eng:BAI,not owned by a public authority,2017-07-13,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,reserved matters approval,BAS0004,https://www.basildon.gov.uk/media/8538/BLR/pdf/BLR.pdf,2017-07-19
"Community Hall off Witchards and Open Space rear of 26-45 Gun Hill Place and rear of 41-58 Wickham Place, Kingswood",yes,,2019-08-21,,0.45,20,13,Site area from HELAA reduced to Brownfield land only. Deliverable within 4 years. 19/07/17. 24/08/18. 21/08/19.,local-authority-eng:BAI,owned by a public authority,,,not permissioned,,BAS0005,https://www.basildon.gov.uk/media/8539/BLR/pdf/BLR.pdf,2017-07-19
"Basildon Integrated Support Service (Lincewood County Infants School Annexe) High Road, Langdon Hills",yes,,2019-08-06,,0.36,19,5,Deliverable within 3 years. 19/07/17. 24/08/18. 06/08/19.,local-authority-eng:BAI,owned by a public authority,,,not permissioned,,BAS0006,https://www.basildon.gov.uk/media/8540/BLR/pdf/BLR.pdf,2017-07-19
"Former Fryerns School and Social Services Offices, Broadmayne, Craylands, Basildon",yes,,2019-08-06,,2.45,82,52,Site area from HELAA reduced to Brownfield land only. Deliverable within 5 years. 20/07/17. 24/08/18. 06/08/19.,local-authority-eng:BAI,owned by a public authority,,,not permissioned,,BAS0007,https://www.basildon.gov.uk/media/8541/BLR/pdf/BLR.pdf,2017-07-19
"1-31 Runwell Road, Wickford",yes,,2019-08-06,,0.31,84,84,"Site area amended to match pp. Permission for housing granted and works commenced. Only to be removed once completed. Deliverable within 3 years. 20/07/17. 24/08/18. 06/08/19.. Demolition of existing buildings and erection of 5 storey building containing 84 apartments with commercial units at ground floor level, vehicular access and multi storey car parking to rear.. https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application",local-authority-eng:BAI,not owned by a public authority,2007-05-24,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,full planning permission,BAS0008,https://www.basildon.gov.uk/media/8542/BLR/pdf/BLR.pdf,2017-07-19
"Dipple Medical Centre and land east of Medical Centre, rear of 2-22 Gifford Green",yes,,2019-08-06,,0.36,19,5,Site area from HELAA reduced to Brownfield land only. Deliverable within 3 years. 20/07/17. 24/08/18. 06/08/19.,local-authority-eng:BAI,not owned by a public authority,,,not permissioned,,BAS0010,https://www.basildon.gov.uk/media/8544/BLR/pdf/BLR.pdf,2017-07-20
"The Wickford Education Centre, Alderney Gardens, Wickford",yes,,2019-08-06,,0.84,23,16,Site area from HELAA reduced to Brownfield land only. Deliverable within 4 years. 21/07/17. 24/08/18. 06/08/19,local-authority-eng:BAI,owned by a public authority,,,not permissioned,,BAS0011,https://www.basildon.gov.uk/media/8545/BLR/pdf/BLR.pdf,2017-07-21
