site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Land at Foksville Road, Canvey Island.",yes,,2017-11-08,,0.14,10,10,Outline permission granted. Works have not commenced. Permission expires 8/3/2012. Delivery lead in time 1.5 years. 08/11/17.. Demolition of existing structures and construction of three storey building comprising of 10 No. apartments with associated works.. https://publicaccess.castlepoint.gov.uk/online-applications/,local-authority-eng:CAS,not owned by a public authority,2017-03-08,https://publicaccess.castlepoint.gov.uk/online-applications/,permissioned,outline planning permission,CP0001,https://apps.castlepoint.gov.uk/cpapps/view/planning/brownfieldsites/docs/cp0001map.pdf,2017-11-08
"Vallee Casa, 62 Hill Road, Benfleet.",yes,,2017-11-08,,0.28,5,5,No current planning permission. Delivery lead in time 1.5 years. 08/11/17.,local-authority-eng:CAS,not owned by a public authority,,,not permissioned,,CP0002,https://apps.castlepoint.gov.uk/cpapps/view/planning/brownfieldsites/docs/cp0002map.pdf,2017-11-08
"166-168 Kiln Road, Benfleet, SS7 1SU.",yes,,2017-11-14,,0.08,2,2,Previous permission for 9 flats expired 2012. New planning application submitted by agent pending decision. One existing dwelling converted. Delivery lead in time 2 years without planning permission. 14/11/17.. Proposed conversion of existing dwelling including rear extension to form 3 no flats and revise existing car parking area to the rear.. https://publicaccess.castlepoint.gov.uk/online-applications/,local-authority-eng:CAS,not owned by a public authority,,https://publicaccess.castlepoint.gov.uk/online-applications/,pending decision,full planning permission,CP0003,https://apps.castlepoint.gov.uk/cpapps/view/planning/brownfieldsites/docs/cp0003map.pdf,2017-11-08
"1a Clarence Road, South Benfleet, Benfleet SS7 1DE.",yes,,2017-11-09,,0.11,1,1,Full planning permission granted. Works have not commenced (Due to commence Dec 2017). Existing dwelling to be demolished. Permission expires 10/08/2020. Delivery lead in time 1 year. 09/11/17.. Demolition of existing bungalow and construction of two detached dormer bungalows.. https://publicaccess.castlepoint.gov.uk/online-applications/,local-authority-eng:CAS,not owned by a public authority,2017-08-11,https://publicaccess.castlepoint.gov.uk/online-applications/,permissioned,full planning permission,CP0004,https://apps.castlepoint.gov.uk/cpapps/view/planning/brownfieldsites/docs/cp0004map.pdf,2017-11-09
"Job Centre, 140 Furtherwick Road, Canvey Island.",yes,,2017-11-09,,0.13,15,15,No current planning permission. Delivery lead in time 2 years. 09/11/17.,local-authority-eng:CAS,not owned by a public authority,,,not permissioned,,CP0005,https://apps.castlepoint.gov.uk/cpapps/view/planning/brownfieldsites/docs/cp0005map.pdf,2017-11-09
"84 Vicarage Hill, Benfleet SS7 1PE.",yes,,2017-11-09,,0.28,2,2,Full planning permission granted. Works have not commenced. Existing dwelling to be demolished. Permission expires 28/04/2019. Delivery lead in time 1 year. 09/11/17.. Demolition of existing dwelling and construction of 3 No. four bed houses with associated parking and access.. https://publicaccess.castlepoint.gov.uk/online-applications/,local-authority-eng:CAS,not owned by a public authority,2016-04-28,https://publicaccess.castlepoint.gov.uk/online-applications/,permissioned,full planning permission,CP0006,https://apps.castlepoint.gov.uk/cpapps/view/planning/brownfieldsites/docs/cp0006map.pdf,2017-11-09
"240-244 High Road, Benfleet.",yes,,2017-11-09,,0.19,19,19,Full planning permission. Works have commenced. Delivery lead in time 1 year. 09/11/17.. Construction of 18No self contained flats with 1No retail shop and 1No detached house with attached parking.. https://publicaccess.castlepoint.gov.uk/online-applications/,local-authority-eng:CAS,not owned by a public authority,2016-12-08,https://publicaccess.castlepoint.gov.uk/online-applications/,permissioned,full planning permission,CP0007,https://apps.castlepoint.gov.uk/cpapps/view/planning/brownfieldsites/docs/cp0007map.pdf,2017-11-09
"Site adjacent to Pauls Court, Meppel Avenue, Canvey Island.",yes,,2017-11-09,,0.07,5,5,Full planning permission. Works have commenced. Existing dwelling demolished. Delivery lead in time 1 year. 09/11/17.. Demolition of detached house and construction of three storey block of 6 self contained flats with parking.. https://publicaccess.castlepoint.gov.uk/online-applications/,local-authority-eng:CAS,not owned by a public authority,2015-06-11,https://publicaccess.castlepoint.gov.uk/online-applications/,permissioned,full planning permission,CP0008,https://apps.castlepoint.gov.uk/cpapps/view/planning/brownfieldsites/docs/cp0008map.pdf,2017-11-09
"271 Rayleigh Road, Thundersley, Benfleet SS7 3XF.",yes,,2017-11-09,,0.08,16,16,Full planning permission. Works have commenced. Delivery lead in time 1 year. 09/11/17.. Demolition of existing building and construction of 2 storey block of six self-contained flats with associated parking and roof garden.. https://publicaccess.castlepoint.gov.uk/online-applications/,local-authority-eng:CAS,not owned by a public authority,2016-09-15,https://publicaccess.castlepoint.gov.uk/online-applications/,permissioned,full planning permission,CP0009,https://apps.castlepoint.gov.uk/cpapps/view/planning/brownfieldsites/docs/cp0009map.pdf,2017-11-09
"20 Haresland Close, Hadleigh, SS7 2UT.",yes,,2017-11-09,,0.56,3,3,No current planning permission. Lead in time 1.5 years. Existing dwelling would need to be demolished. Paragraph 89 of NPPF applied in terms of suitable capacity for the site. 14/11/17.,local-authority-eng:CAS,not owned by a public authority,,,not permissioned,,CP0010,https://apps.castlepoint.gov.uk/cpapps/view/planning/brownfieldsites/docs/cp0010map.pdf,2017-11-09
"109 Long Road, Canvey Island",yes,,2017-07-14,,0.2,7,7,"Full planning permission. Works have not commenced. Permission expires 7/12/2018. Delivery lead in time 1 year. 14/11/17.. Demolition of existing house and erection of three storey block of eight self-contained flats with associated parking and landscaping, clossure of existing vehicular accesses and formation fo new vehicular access to Long Road.. https://publicaccess.castlepoint.gov.uk/online-applications/",local-authority-eng:CAS,not owned by a public authority,2015-12-07,https://publicaccess.castlepoint.gov.uk/online-applications/,permissioned,full planning permission,CP0011,https://apps.castlepoint.gov.uk/cpapps/view/planning/brownfieldsites/docs/cp0011map.pdf,2017-11-14
"The Island Site, High Street / London Road, Hadleigh",yes,,2017-07-14,,0.59,54,54,No current planning permission. Lead in time 3.5 years. 14/11/17.,local-authority-eng:CAS,owned by a public authority,,,not permissioned,,CP0012,https://apps.castlepoint.gov.uk/cpapps/view/planning/brownfieldsites/docs/cp0012map.pdf,2017-11-14
"88 High Street, Hadleigh",yes,,2017-07-14,,0.02,4,4,"Full planning permission. Works have commenced. Flat to be demolished as part of works. Delivery lead in time 1 year. 14/11/17.. Conversion of ground floor, two storey side extension, loft conversion including rear dormer and alterations to fenestration to provide 5 No. flats.. https://publicaccess.castlepoint.gov.uk/online-applications/",local-authority-eng:CAS,not owned by a public authority,2016-12-15,https://publicaccess.castlepoint.gov.uk/online-applications/,permissioned,full planning permission,CP0013,https://apps.castlepoint.gov.uk/cpapps/view/planning/brownfieldsites/docs/cp0013map.pdf,2017-11-14
"Admiral Jellico Public House, 283 High Street, Canvey Island",yes,,2017-07-14,,0.33,15,15,No current planning permission. Part of SHLAA site removed as landowner did not permit it to be included. Site area and capacity adjusted accordingly. Lead in time 2.5 years. 14/11/17.,local-authority-eng:CAS,not owned by a public authority,,,not permissioned,,CP0014,https://apps.castlepoint.gov.uk/cpapps/view/planning/brownfieldsites/docs/cp0014map.pdf,2017-11-14
"Outpatients centre, Long Road, Canvey Island",yes,,2017-07-14,,0.3,10,10,No current planning permission. Delivery lead in time 2.5 years. 14/11/17.,local-authority-eng:CAS,owned by a public authority,,,not permissioned,,CP0015,https://apps.castlepoint.gov.uk/cpapps/view/planning/brownfieldsites/docs/cp0015map.pdf,2017-11-14
"343 Rayleigh Road, Thundersley",yes,,2017-07-14,,0.13,10,10,No current planning permission. Delivery lead in time 2.5 years. 14/11/17.,local-authority-eng:CAS,not owned by a public authority,,,not permissioned,,CP0016,https://apps.castlepoint.gov.uk/cpapps/view/planning/brownfieldsites/docs/cp0016map.pdf,2017-11-14
"125-127 High Street, Canvey Island",yes,,2017-07-14,,0.19,14,14,Full planning permission granted at appeal. Works have commenced. Delivery lead in time 1 year. 14/11/17.. Erection of part two/part three storey building containing 14no. 2 bed flats with associated parking.. https://publicaccess.castlepoint.gov.uk/online-applications/,local-authority-eng:CAS,not owned by a public authority,2014-07-14,https://publicaccess.castlepoint.gov.uk/online-applications/,permissioned,full planning permission,CP0017,https://apps.castlepoint.gov.uk/cpapps/view/planning/brownfieldsites/docs/cp0017map.pdf,2017-11-14
"4-12 Park Chase, Hadleigh, Benfleet, SS7 2BZ.",yes,,2017-11-15,,0.27,21,21,Full planning permission granted. Works have commenced. 4 existing dwellings demolished. Delivery lead in time 1 year. 15/11/17.. Erection of part 3/part 4 storey block of 25 flats with parking and refuse storage.. https://publicaccess.castlepoint.gov.uk/online-applications/,local-authority-eng:CAS,not owned by a public authority,2015-11-23,https://publicaccess.castlepoint.gov.uk/online-applications/,permissioned,full planning permission,CP0018,https://apps.castlepoint.gov.uk/cpapps/view/planning/brownfieldsites/docs/cp0018map.pdf,2017-11-15
"Prout Industrial Estate, Point Road, Canvey Island.",yes,,2017-11-15,,0.76,27,27,No current planning permission. Site area reduced to area where landowners permitted site to be included. Delivery lead in time 3 years. 15/11/17,local-authority-eng:CAS,not owned by a public authority,,,not permissioned,,CP0019,https://apps.castlepoint.gov.uk/cpapps/view/planning/brownfieldsites/docs/cp0019map.pdf,2017-11-15
"Benfleet Tavern Public House, High Road, Benfleet.",yes,,2017-11-21,,0.25,14,14,No current planning permission. Site area reduced to area where landowners permitted site to be included. Could accommodate 14 flats. Delivery lead in time 1 year. 21/11/17,local-authority-eng:CAS,not owned by a public authority,,,not permissioned,,CP0020,https://apps.castlepoint.gov.uk/cpapps/view/planning/brownfieldsites/docs/cp0020map.pdf,2017-11-21
