site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"55-77 Lichfield Street, Wolverhampton City Centre",,,2017-01-01,,0.122,,,,local-authority-eng:WLV,,,,Other Commitment,,39540,,2017-01-01
"Springvale Sports and Social Club, Millfields Road",,,2017-01-01,,2.857,,,,local-authority-eng:WLV,,,,permissioned,,39520,,2017-01-01
"Telecom House, Church Street, Wolverhampton City Centre",,,2017-01-01,,0.55,,,,local-authority-eng:WLV,,,,permissioned,,39360,,2017-01-01
Land at Sweetbriar Road / Pump Street,,,2017-01-01,,0.16,,,,local-authority-eng:WLV,,,,permissioned,,39340,,2017-01-01
"Fmr Ettingshall Primary School, Herbert Street",,,2017-01-01,,1.1,,,,local-authority-eng:WLV,,,,permissioned,,39330,,2017-01-01
"Fmr Bilston Leisure Centre, Prouds Lane, Bilston",,,2017-01-01,,0.89,,,,local-authority-eng:WLV,,,,permissioned,,39320,,2017-01-01
"The Manse, Leacroft Avenue",,,2017-01-01,,0.34,,,,local-authority-eng:WLV,,,,pending decision,,39310,,2017-01-01
Garage Site Behind 23 To 33 Beach Avenue Wolverhampton West Midlands,,,2017-01-01,,0.1,,,,local-authority-eng:WLV,,,,pending decision,,39280,,2017-01-01
"Goodyear site, Stafford Road",,,2005-01-01,,23.24,,,,local-authority-eng:WLV,,,,permissioned,,30490,,2005-01-01
Land Formerly 37 - 39 Brooklands Parade Wolverhampton West Midlands WV1 2ND,,,2017-01-01,,0.1,,,,local-authority-eng:WLV,,,,Completed During 2017/18,,39260,,2017-01-01
Medical Massage 37 Thornley Street Wolverhampton West Midlands WV1 1JP,,,2017-01-01,,0.006,,,,local-authority-eng:WLV,,,,permissioned,,39230,,2017-01-01
651 Stafford Road Wolverhampton West Midlands WV10 6QG,,,2017-01-01,,0.03,,,,local-authority-eng:WLV,,,,Completed During 2017/18,,39220,,2017-01-01
National Childrens Home 83 Compton Road Wolverhampton West Midlands WV3 9QH,,,2017-01-01,,0.2,,,,local-authority-eng:WLV,,,,permissioned,,39200,,2017-01-01
73 Bellamy Lane Wolverhampton WV11 1LH,,,2017-01-01,,0.04,,,,local-authority-eng:WLV,,,,permissioned,,39170,,2017-01-01
Primeco Limited 66 - 70 Lichfield Street City Centre Wolverhampton West Midlands WV1 1DB,,,2017-01-01,,0.1,,,,local-authority-eng:WLV,,,,permissioned,,39140,,2017-01-01
138 Penn Road Wolverhampton WV3 0DZ,,,2017-01-01,,0.03,,,,local-authority-eng:WLV,,,,Completed During 2018/19,,39110,,2017-01-01
Little Orchard Perton Road Wolverhampton West Midlands WV6 8DP,,,2017-01-01,,0.37,,,,local-authority-eng:WLV,,,,permissioned,,39070,,2017-01-01
10 Lever Street Wolverhampton West Midlands WV2 1AL,,,2017-01-01,,0.01,,,,local-authority-eng:WLV,,,,permissioned,,39050,,2017-01-01
38 Rupert Street Wolverhampton West Midlands WV3 9NS,,,2017-01-01,,0.057,,,,local-authority-eng:WLV,,,,Completed During 2018/19,,39030,,2017-01-01
Flat 1 110 Hurst Road Lanesfield Wolverhampton West Midlands WV14 9EU,,,2017-01-01,,0.03,,,,local-authority-eng:WLV,,,,permissioned,,39020,,2017-01-01
