site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Former Rolls Royce Main Works Site, Nightingale Road, Derby",,,2018-11-27,,8.73,370,370,,local-authority-eng:DER,not owned by a public authority,,,not permissioned,,POINT(-1.462548 52.898762),DER/0008,http://maps.derby.gov.uk/?x=436251&y=333615&resolution=2&epsg=27700&mapname=publicmaps&baseLayer=Colour&datalayers=Brownfield%20Sites%2CselectFeaturesControl_container,2017-11-13
"Nightingale Road Car Park, Nightingale Road, Derby",,,2018-11-27,,0.28,25,25,,local-authority-eng:DER,not owned by a public authority,,,not permissioned,,POINT(-1.458513 52.899301),DER/0009,http://maps.derby.gov.uk/?x=436522&y=333677&resolution=2&epsg=27700&mapname=publicmaps&baseLayer=Colour&datalayers=Brownfield%20Sites%2CselectFeaturesControl_container,2018-11-27
"Elton Road Rolls Royce Site, Elton Road, Derby",,,2018-11-27,,2.08,100,100,,local-authority-eng:DER,not owned by a public authority,,,not permissioned,,POINT(-1.469489 52.89891),DER/0011,http://maps.derby.gov.uk/?x=435784&y=333628&resolution=2&epsg=27700&mapname=publicmaps&baseLayer=Colour&datalayers=Brownfield%20Sites%2CselectFeaturesControl_container,2017-11-13
"Tanglewood Mill, Coke Street, Derby",,,2018-11-27,,0.16,22,22,,local-authority-eng:DER,not owned by a public authority,,,permissioned,,POINT(-1.49747 52.92048),DER/0036,http://maps.derby.gov.uk/?x=433885&y=336014&resolution=2&epsg=27700&mapname=publicmaps&baseLayer=Colour&datalayers=Brownfield%20Sites%2CselectFeaturesControl_container,2017-11-13
"Former St Joseph?s Church Hall, Mill Hill Lane, Derby",,,2018-11-27,,0.24,14,14,,local-authority-eng:DER,not owned by a public authority,,,permissioned,,POINT(-1.481558 52.914002),DER/0044,http://maps.derby.gov.uk/?x=434960&y=335301&resolution=2&epsg=27700&mapname=publicmaps&baseLayer=Colour&datalayers=Brownfield%20Sites%2CselectFeaturesControl_container,2017-11-13
"Former California Works, Parliament Street, Derby",,,2018-11-27,,0.17,14,14,,local-authority-eng:DER,not owned by a public authority,,,permissioned,,POINT(-1.491483 52.917362),DER/0063,http://maps.derby.gov.uk/?x=434290&y=335671&resolution=2&epsg=27700&mapname=publicmaps&baseLayer=Colour&datalayers=Brownfield%20Sites%2CselectFeaturesControl_container,2017-11-13
"Elmhurst, Lonsdale Place, Rowditch, Derby",,,2018-11-27,,0.28,24,24,,local-authority-eng:DER,owned by a public authority,,,permissioned,,POINT(-1.498888 52.917411),DER/0073,http://maps.derby.gov.uk/?x=433792&y=335672&resolution=2&epsg=27700&mapname=publicmaps&baseLayer=Colour&datalayers=Brownfield%20Sites%2CselectFeaturesControl_container,2017-11-13
"St Georges Phase 2, Land between St Mary?s Gate and Sadler Gate, Derby",,,2018-11-27,,0.56,60,60,,local-authority-eng:DER,owned by a public authority,,,not permissioned,,POINT(-1.479193 52.92397),DER/0082,http://maps.derby.gov.uk/?x=435112&y=336411&resolution=2&epsg=27700&mapname=publicmaps&baseLayer=Colour&datalayers=Brownfield%20Sites%2CselectFeaturesControl_container,2017-11-13
"Becketwell, Victoria Street/Macklin Street, Derby",,,2018-11-27,,0.77,100,100,,local-authority-eng:DER,mixed ownership,,,not permissioned,,POINT(-1.479497 52.920969),DER/0085,http://maps.derby.gov.uk/?x=435093&y=336077&resolution=2&epsg=27700&mapname=publicmaps&baseLayer=Colour&datalayers=Brownfield%20Sites%2CselectFeaturesControl_container,2018-11-27
"Castleward Area, between London Road and Station Approach, Derby",,,2018-11-27,,13.4,635,635,,local-authority-eng:DER,mixed ownership,,,permissioned,,POINT(-1.467602 52.918219),DER/0089,http://maps.derby.gov.uk/?x=435895&y=335778&resolution=2&epsg=27700&mapname=publicmaps&baseLayer=Colour&datalayers=Brownfield%20Sites%2CselectFeaturesControl_container,2017-11-13
"Former Derbyshire Royal Infirmary, Between Osmaston Road and London Road, Derby",,,2018-11-27,,7.5,400,400,,local-authority-eng:DER,,,,permissioned,,POINT(-1.47089 52.915699),DER/0120,http://maps.derby.gov.uk/?x=435676&y=335495&resolution=2&epsg=27700&mapname=publicmaps&baseLayer=Colour&datalayers=Brownfield%20Sites%2CselectFeaturesControl_container,2017-11-13
