site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"St Martin's Hospital, Canterbury",yes,,2019-12-09,,6.39,163,163,Allocated in Canterbury District's Adopted Local Plan (2017) for 164 Units.,local-authority-eng:CAT,,,,Not Permissioned,,BR-002,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=616725,157695,27700&scale=2000",2017-11-01
"Land Adjacent to Canterbury West Station, Canterbury",yes,,2019-12-09,,0.22,20,20,Allocated in Canterbury District's Adopted Local Plan (2017) for 20 dwellings.,local-authority-eng:CAT,mixed ownership,,,Not Permissioned,,BR-004,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614654,158485,27700&scale=500",2017-11-01
"Former Employment Exchange, St Johns Lane, Canterbury",,,2019-12-09,,0.08,24,24,Allocated in Canterbury District's Adopted Local Plan (2017) for 24 Dwellings.,local-authority-eng:CAT,,,,Not Permissioned,,BR-006,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614781,157530,27700&scale=500",2017-11-01
"Canterbury East Station (North side) Car Park, Canterbury",yes,,2019-12-09,,0.48,24,24,Allocated in Canterbury District's Adopted Local Plan (2017) for 24 dwellings,local-authority-eng:CAT,,,,Not Permissioned,,BR-007,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614832,157229,27700&scale=1000",2017-11-01
"Northgate Car Park, Norhgate, Canterbury",yes,,2019-12-09,,0.21,21,21,Allocated in Canterbury District's Adopted Local Plan (2017) for 21 dwellings.,local-authority-eng:CAT,mixed ownership,,,Not Permissioned,,BR-008,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=615305,158415,27700&scale=500",2017-11-01
"Castle Street Car Park, Canterbury",,,2019-12-09,,0.28,54,54,Allocated in Canterbury District's Adopted Local Plan (2017) for 54 dwellings.,local-authority-eng:CAT,owned by a public authority,,,Not Permissioned,,BR-009,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614604,157429,27700&scale=1000",2017-11-01
"BT Car park, Upper Chantry Lane, Canterbury",,,2019-12-09,,0.43,20,20,Allocated in Canterbury District's Adopted Local Plan (2017) for 20 dwellings.,local-authority-eng:CAT,,,,Not Permissioned,,BR-010,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=615338,157302,27700&scale=1000",2017-11-01
"Holmans Meadow Car Park, Dover Street, Canterbury",,,2019-12-09,,0.54,20,20,Allocated in Canterbury District's Adopted Local Plan (2017) for 20 dwellings.,local-authority-eng:CAT,owned by a public authority,,,Not Permissioned,,BR-011,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=615144,157450,27700&scale=1000",2017-11-01
"Rosemary Lane Car Park, Rosemary Lane, Canterbury",yes,,2019-12-09,,0.27,20,20,Allocated in Canterbury District's Adopted Local Plan (2017) for 20 dwellings.,local-authority-eng:CAT,owned by a public authority,,,Not Permissioned,,BR-012,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614612,157566,27700&scale=500",2017-11-01
"White Horse Lane, Canterbury",yes,,2019-12-09,,0.19,10,10,Allocated in Canterbury District's Adopted Local Plan (2017) for 10 dwellings.,local-authority-eng:CAT,mixed ownership,,,Not Permissioned,,BR-014,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614836,157794,27700&scale=1000",2017-11-01
