site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
Marine View Harbour Road Portishead,yes,,2019-12-31,,0.97,126,126,16/P/2855/F,local-authority-eng:NSM,not owned by a public authority,2017-03-09,https://planning.n-somerset.gov.uk/online-applications/,permissioned,full planning permission,NSBR0005,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=347254.622&y=176638.449&scale=2048,2017-12-31
South west of Severn Paper Mill site Portishead,yes,,2019-12-31,,1.62,69,69,16/P/1608/F,local-authority-eng:NSM,not owned by a public authority,2017-11-07,https://planning.n-somerset.gov.uk/online-applications/,permissioned,full planning permission,NSBR0006,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=347498.462&y=176691.010&scale=2048,2017-12-31
Bayside Hotel Manilla Crescent Weston-super-Mare,yes,,2019-12-31,,0.15,24,24,14/P/1791/F,local-authority-eng:NSM,not owned by a public authority,2017-11-03,https://planning.n-somerset.gov.uk/online-applications/,permissioned,full planning permission,NSBR0007,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=331388.324&y=162072.126&scale=2048,2017-12-31
Former Weston Library Boulevard Weston-super-Mare,yes,,2019-12-31,,0.1,22,22,16/P/0507/F,local-authority-eng:NSM,not owned by a public authority,2017-02-22,https://planning.n-somerset.gov.uk/online-applications/,permissioned,full planning permission,NSBR0009,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=332368.599&y=161680.410&scale=1024,2017-12-31
Oxford Plasma Technology North End Road Yatton,yes,,2019-12-31,,1.41,55,55,15/P/1299/O,local-authority-eng:NSM,not owned by a public authority,2017-11-15,https://planning.n-somerset.gov.uk/online-applications/,permissioned,outline planning permission,NSBR0010,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=342399.003&y=166408.261&scale=4096,2017-12-31
Winford Coach Station 10 High Street Winford,yes,,2019-12-31,,0.24,11,11,17/P/1146/RM,local-authority-eng:NSM,not owned by a public authority,2017-08-16,https://planning.n-somerset.gov.uk/online-applications/,permissioned,reserved matters approval,NSBR0012,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=354021.187&y=165063.767&scale=4096,2017-12-31
Land at Western Trade Centre Knightcott Road Banwell,yes,,2019-12-31,,0.37,10,10,19/P/0230/RM,local-authority-eng:NSM,not owned by a public authority,2019-06-04,https://planning.n-somerset.gov.uk/online-applications/,permissioned,reserved matters approval,NSBR0014,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=338570.116&y=159224.142&scale=4096,2017-12-31
Tickenham Garden Centre Clevedon Road Tickenham,yes,,2019-12-31,,1.94,32,32,16/P/0032/O,local-authority-eng:NSM,not owned by a public authority,2017-06-23,https://planning.n-somerset.gov.uk/online-applications/,permissioned,outline planning permission,NSBR0015,http://map.n-omerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=346136.073&y=171781.995&scale=4096,2017-12-31
Bleadon Quarry Bleadon,yes,,2019-12-31,,3.42,42,42,14/P/0687/O,local-authority-eng:NSM,not owned by a public authority,2016-08-08,https://planning.n-somerset.gov.uk/online-applications/,permissioned,outline planning permission,NSBR0016,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=334246.414&y=156585.034&scale=8192,2017-12-31
Royal Pier Hotel Birnbeck Road Weston-super-Mare,yes,,2019-12-31,,0.17,63,63,11/P/0006/F,local-authority-eng:NSM,not owned by a public authority,,https://planning.n-somerset.gov.uk/online-applications/,pending decision,,NSBR0017,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=330877.148&y=162235.210&scale=1024,2017-12-31
