site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"52 The Avenue, Minehead, TA24 5BB",,,2017-12-31,,0.07,6,6,"Conversion of existing multiple occupancy home, (HMO) consisting of 13 rooms and 1 flat, into 7 flats. Demolition of the existing ground and first floor rear extension, and construction of new, smaller extension rebuilt on first floor. Renovation and restoration of original exterior details and associated hard and soft landscaping",local-authority-eng:WSO,not owned by a public authority,2014-06-26,,permissioned,full planning permission,3/21/14/040,https://www.westsomersetonline.gov.uk/Docs/Brownfield-Register/52-The-Avenue-Minehead,2017-12-31
"Rear of 52 The Avenue, Minehead, TA24 5BB",,,2017-12-31,,0.04,5,5,"Erection of five mews houses with associated car parking, refuse store, cycle store and associated hard and soft landscaping",local-authority-eng:WSO,not owned by a public authority,2014-07-23,,permissioned,full planning permission,3/21/14/042,https://www.westsomersetonline.gov.uk/Docs/Brownfield-Register/Rear-of-52-The-Avenue-Minehead,2017-12-31
"The Old Hospital, The Avenue, Minehead, TA24 5LY",,,2017-12-31,,0.26,4,4,"Change of use from community hospital (Class C2) to community hub (Class D1), Assembly Room (Class D2), café (Class A3) four apartments (Class C3), associated parking and public open space",local-authority-eng:WSO,not owned by a public authority,2016-09-30,,permissioned,full planning permission,3/21/15/113,https://www.westsomersetonline.gov.uk/Docs/Brownfield-Register/The-Old-Hospital-The-Avenue-Minehead,2017-12-31
"Tikoh and Rosslea, Bircham Road, Minehead, TA24 6BQ",,,2017-12-31,,0.1,10,10,"Demolition of houses and erection of an assisted housing development to provide 11 self-contained one bedroom living units with housekeeper accommodation, car park and ancillary facilities",local-authority-eng:WSO,not owned by a public authority,2017-04-19,,permissioned,full planning permission,3/21/16/115,https://www.westsomersetonline.gov.uk/Docs/Brownfield-Register/Tikoh-and-Rosslea-Bircham-Road-Minehead,2017-12-31
"Land at Union Quarry, Tower Hill, Williton, Taunton, TA4 4JR",,,2017-12-31,,0.29,1,1,Erection of dwellinghouse (Class C3) together with provision of garden and manoeuvring area,local-authority-eng:WSO,not owned by a public authority,2016-07-29,,permissioned,full planning permission,3/28/16/002,https://www.westsomersetonline.gov.uk/Docs/Brownfield-Register/Land-at-Union-Quarry-Tower-Hill-Williton,2017-12-31
"Land at and adjoining 16 Castle Street, Stogursey, Bridgwater, TA5 1TG",,,2017-12-31,,0.26,11,11,"Demolition of existing bungalow and redundant agricultural building and construction of 12 new dwellings, associated parking and turning and improvements to existing vehicular entrance",local-authority-eng:WSO,not owned by a public authority,2016-07-06,,permissioned,full planning permission,3/32/14/004,https://www.westsomersetonline.gov.uk/Docs/Brownfield-Register/16-Castle-Street-Stogursey-(1),2017-12-31
"The Mill, Anchor Street, Watchet, TA23 0AZ",,,2017-12-31,,0.94,10,10,"Conversion of commercial units into 10 residential units, erection of a 70 bedroom care home, redesigned access & associated works",local-authority-eng:WSO,not owned by a public authority,2013-12-06,,permissioned,full planning permission,3/37/08/036,https://www.westsomersetonline.gov.uk/Docs/Brownfield-Register/The-Mill-Anchor-Street-Watchet,2017-12-31
"Land at Larviscombe Road, Williton, TA4 4SA",,,2017-12-31,,0.13,3,3,Erection of three terrace dwellings with associated vehicle parking and gardens,local-authority-eng:WSO,not owned by a public authority,2016-08-26,,permissioned,full planning permission,3/39/16/007,https://www.westsomersetonline.gov.uk/Docs/Brownfield-Register/Land-at-Larviscombe-Road-Williton,2017-12-31
"Minehead and Exmoor Caravan and Camping Park, Middlecombe Cross, Minehead, TA24 8SW",,,2018-05-22,,1.2,20,20,,local-authority-eng:WSO,,,,,,SHLAAMHD5,https://www.westsomersetonline.gov.uk/Docs/Brownfield-Register/Minehead-and-Exmoor-Caravan-and-Camping-Park-Middl,
"Staunton Quarry, Alcombe, Minehead, TA24 6EE",,,2018-05-22,,2.23,50,50,,local-authority-eng:WSO,,,,,,SHLAAMHD16,https://www.westsomersetonline.gov.uk/Docs/Brownfield-Register/Staunton-Quarry-Alcombe-Minehead,
"Kingsway Hotel, Ponsford Road, Minehead, TA24 5DY",,,2018-05-22,,0.1,,,,local-authority-eng:WSO,,,,,,SHLAAMHD17,https://www.westsomersetonline.gov.uk/Docs/Brownfield-Register/Kingsway-Hotel-Ponsford-Road-Minehead,
"Culvercliffe, Minehead, TA24 5UN",,,2018-05-22,,1.6,35,35,,local-authority-eng:WSO,,,,,,SHLAAMHD18,https://www.westsomersetonline.gov.uk/Docs/Brownfield-Register/Culvercliffe-Minehead,
"Wansborough Paper Mill, Watchet, TA23 0AY",,,2018-05-22,,17,,,,local-authority-eng:WSO,,,,,,SHLAAWW2,https://www.westsomersetonline.gov.uk/Docs/Brownfield-Register/Wansborough-Paper-Mill-Watchet,
