site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
Carden Street Opportunity Zone,yes,,2019-12-17,,3.9,,,,local-authority-eng:WOC,mixed ownership,,https://www.worcester.gov.uk/planning-application-search,not permissioned,other,SWDP44/5,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Carden%20Street%20Opportunity%20Zone%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,2017-08-04
Shrub Hill Opportunity Zone,yes,,2019-12-17,,19.72,,,,local-authority-eng:WOC,not owned by a public authority,,https://www.worcester.gov.uk/planning-application-search,not permissioned,other,SWDP44/4,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Shrub%20Hill%20Opportunity%20Zone%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,2017-08-04
23-24 Foregate Street,yes,,2019-12-17,,0.1,10,5,,local-authority-eng:WOC,not owned by a public authority,,https://www.worcester.gov.uk/planning-application-search,not permissioned,other,SWDP43/w,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=23-24%20Foregate%20Street.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,2017-08-04
"Commandery Coach Depot, Tolladine Road",yes,,2019-12-17,,0.07,7,5,,local-authority-eng:WOC,not owned by a public authority,,https://www.worcester.gov.uk/planning-application-search,not permissioned,other,SWDP43/t,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Commandery%20Coach%20Depot%2C%20Tolladine%20Road%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,2017-08-04
Rose Avenue,yes,,2019-12-17,,0.18,8,5,,local-authority-eng:WOC,not owned by a public authority,,https://www.worcester.gov.uk/planning-application-search,not permissioned,other,SWDP43/s,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Rose%20Avenue%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,2017-08-04
"The Bridge Inn, Lowesmoor Terrace",yes,,2019-12-17,,0.1,9,5,,local-authority-eng:WOC,not owned by a public authority,,https://www.worcester.gov.uk/planning-application-search,not permissioned,other,SWDP43/r,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=The%20Bridge%20Inn%2C%20Lowesmoor%20Terrace%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,2017-08-04
79 St Johns,yes,,2019-12-17,,0.05,10,10,,local-authority-eng:WOC,not owned by a public authority,,https://www.worcester.gov.uk/planning-application-search,pending decision,other,SWDP43/q,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=79%20St%20Johns%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,2017-08-04
"Former Club House, Tolladine Golf Course",yes,,2019-12-17,,0.5,15,9,,local-authority-eng:WOC,not owned by a public authority,,https://www.worcester.gov.uk/planning-application-search,not permissioned,other,SWDP43/m,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Former%20Club%20House%20Tolladine%20Golf%20Course%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,2017-08-04
"Laugherne Garage, Bransford Road",yes,,2019-12-17,,0.44,10,8,,local-authority-eng:WOC,not owned by a public authority,,https://www.worcester.gov.uk/planning-application-search,not permissioned,other,SWDP43/h,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Bransford%20Road%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,2017-08-04
"County Council Offices, Bilford Road",yes,,2019-12-17,,0.67,20,15,,local-authority-eng:WOC,owned by a public authority,,https://www.worcester.gov.uk/planning-application-search,not permissioned,other,SWDP43/g,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Bilford%20Road%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,2017-08-04
"County Council Offices, Sherwood Lane",yes,,2019-12-17,,0.5,30,25,,local-authority-eng:WOC,owned by a public authority,,https://www.worcester.gov.uk/planning-application-search,not permissioned,other,SWDP43/f,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Sherwood%20Lane%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,2017-08-04
"Malvern Gate, Bromwich Road",yes,,2019-12-17,,1.28,55,45,,local-authority-eng:WOC,not owned by a public authority,,https://www.worcester.gov.uk/planning-application-search,not permissioned,other,SWDP43/c,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Malvern%20Gate%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,2017-08-04
Lowesmoor Wharf,yes,,2019-12-17,,1.14,100,50,,local-authority-eng:WOC,not owned by a public authority,,https://www.worcester.gov.uk/planning-application-search,not permissioned,other,SWDP43/aa,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Lowesmoor%20Wharf%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,2017-08-04
73-77 Bromwich Road,yes,,2019-12-17,,0.14,11,5,,local-authority-eng:WOC,not owned by a public authority,,https://www.worcester.gov.uk/planning-application-search,not permissioned,other,SWDP43/a,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Western%20Power%20Distribution%20Power%20Depot%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,2017-08-04
"Old Brewery Service Station, Barbourne Road",yes,,2019-12-17,,0.14,18,12,,local-authority-eng:WOC,not owned by a public authority,,https://www.worcester.gov.uk/planning-application-search,not permissioned,other,SWDP43/9,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Old%20Brewery%20Service%20Station%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,2017-08-04
