site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Christchurch Avenue, Harrow Leisure Centre & former Driving Centre site",yes,,2018-05-22,,5.76,180,180,"Site known as Byron Quarter. Allocated site for mixed use development, including reprovision of leisure centre, bowls facilities, Harrow School of Gymnastics, car parking and residential.",local-authority-eng:HRW,owned by a public authority,,,not permissioned,,AAP Site 7,https://maps.london.gov.uk/brownfield-site-register,
"Station Road, Civic Centre",yes,,2018-05-22,,4.68,250,250,"Site known as Poets' Corner. Allocated site for a residential led, mixed use urban quarter. The project involves demolishing all of the existing buildings and delivering about 850 new homes across a range of tenures (including at least 200 build-to-rent units to be retained by the council), a new school, commercial and community space, and high quality public realm and landscaping.",local-authority-eng:HRW,owned by a public authority,,,not permissioned,,AAP Site 9,https://maps.london.gov.uk/brownfield-site-register,
"Bacon Lane, Hill's Yard",yes,,2018-05-22,,0.26,28,28,Pre-App received 26/7/17 (P/3579/17/PREAPP). Allocated site suitable for residential use,local-authority-eng:HRW,not owned by a public authority,,,not permissioned,,Site Allocations H15,https://maps.london.gov.uk/brownfield-site-register,
"Greenhill Way, Car Park South",yes,,2018-05-22,,0.89,90,90,"Allocated site which is designated for mixed use in the Harrow and Wealdstone Area Action Plan. The council has already completed a comprehensive feasibility study which considered a range of options around high quality, commercial and residential development; including homes, offices, retail, hotel and leisure. The council is currently committed to retaining a significant proportion of parking provision on site.",local-authority-eng:HRW,owned by a public authority,,,not permissioned,,AAP Site 13,https://maps.london.gov.uk/brownfield-site-register,
"Northolt Road, Roxeth Library & Clinic",yes,,2018-05-22,,0.53,26,26,"Allocated site. The redevelopment of Roxeth Library presents an exciting opportunity to create a transformative and inclusive facility for the local community, alongside new housing for the people of Harrow. It presents a chance to establish a distinctive sense of place for the library on the high street with a generous and high quality public setting that encourages social interaction and boosts the perception of the local high street and South Harrow Town Centre.",local-authority-eng:HRW,owned by a public authority,,,not permissioned,,Site Allocations R3,https://maps.london.gov.uk/brownfield-site-register,
"Rayners Lane/High Worple, Rayners Lane Station car park",yes,,2018-05-22,,0.80,50,50,Allocated site suitable for partial residential development with retention of an appropriate amount of station car parking to help meet demand generated by commuters,local-authority-eng:HRW,owned by a public authority,,,not permissioned,,Site Allocations H6,https://maps.london.gov.uk/brownfield-site-register,
"London Road, Stanmore Station car park",yes,,2018-05-22,,1.45,44,44,Allocated site suitable for partial residential development with retention of an appropriate amount of station car parking to help meet demand generated by commuters and in connection with major events at Wembley Stadium,local-authority-eng:HRW,owned by a public authority,,,not permissioned,,Site Allocations H10,https://maps.london.gov.uk/brownfield-site-register,
"Donnefield Avenue, Canons Park Station car park",yes,,2018-05-22,,0.42,17,17,Allocated site suitable for partial residential development with retention of an appropriate amount of station car parking to help meet demand generated by commuters and in connection with major events at Wembley Stadium,local-authority-eng:HRW,owned by a public authority,,,not permissioned,,Site Allocations H17,https://maps.london.gov.uk/brownfield-site-register,
5-11 & 37-41 Palmerston Road and 27-33 & land adj 47 Masons Avenue,yes,,2018-05-22,,0.67,186,186,"Approved by Mayor of London at Hearing on 10/3/17. Redevelopment of the site to provide 186 residential units (Use Class C3); 1,165sqm office floorspace (Use Class B1) and 695sqm flexible commercial and community floorspace (Use Classes A1, B1, D1, D2) in buildings between 1 and 17 storeys in height; basement to provide car parking and cycle parking spaces; one vehicle access from Palmerston Road and one vehicle access from Masons Avenue; refuse storage; entrance gates; public realm and landscaping; photo-voltaic panels; demolition of existing buildings.",local-authority-eng:HRW,not owned by a public authority,,,pending decision,,P/1619/16,https://maps.london.gov.uk/brownfield-site-register,
"Travis Perkins, Palmerston Road",yes,,2018-05-22,,0.26,68,68,"Part of allocated site AAP06. Suitable for mixed use, perhaps 60% residential and 40% employment use.",local-authority-eng:HRW,not owned by a public authority,,,not permissioned,,17150212,https://maps.london.gov.uk/brownfield-site-register,
