site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"JD Hotchkiss Ltd, London Road, West Kingsdown",,,2019-12-01,,0.55018521,31,31,Emerging Local Plan Ref ST2-69 - Careful design and layout to minimise impact on the amenity of neighbouring properties. The review of the existing use is to be considered as part of any planning application. A contamination assessment is to be submitted as part of any planning application.,local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,BFR139,https://maps.sevenoaks.gov.uk/brownfield_register/,2018-12-01
"College Road Nurseries, College Road, Hextable",yes,,2019-12-01,,0.26804312,9,9,Some agricultural use remains on site. Emerging Local Plan Ref ST2-58 - Careful design and layout to minimise impact on the openness of the Green Belt in this important strategic gap.,local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,BFR133,https://maps.sevenoaks.gov.uk/brownfield_register/,2018-12-01
"Highways Depot, Tonbridge Road, Chiddingstone Causeway",yes,,2019-12-01,,0.20853708,8,8,Emerging Local Plan ST2-46 - A noise assessment is to be submitted as part of any planning application. Retain existing trees and hedges along railway line. Careful design and layout to minimise impact on the amenity of neighbouring properties.,local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,BFR126,https://maps.sevenoaks.gov.uk/brownfield_register/,2018-12-01
"Wested Farm, Eynsford Road, Crockenhill",yes,,2019-12-01,,0.6623111,10,10,Emerging Local Plan ST2-49 - Redevelopment of the modern industrial buildings will provide an opportunity for enhancement. Mitigation measures are required to soften the impact on the setting of the nearby listed buildings.,local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,BFR128,https://maps.sevenoaks.gov.uk/brownfield_register/,2018-12-01
"Gills Farm, Gills Road, South Darenth",yes,,2019-12-01,,0.92175833,16,16,Some agricultural use remains on site. Emerging Local Plan Ref ST2-63 - Retain existing tourist accommodation and commercial workshops as part of any scheme. Priority habitats to be protected. Retain or divert public footpath.,local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,BFR135,https://maps.sevenoaks.gov.uk/brownfield_register/,2018-12-01
"Kent & Surrey Driving Range, Crouch House Road, Edenbridge",yes,,2019-12-01,,0.14216261,7,7,Emerging Local Plan Ref ST2-31 - A new access onto Crouch House Road is required.,local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,BFR120,https://maps.sevenoaks.gov.uk/brownfield_register/,2018-12-01
"Oak Tree Farm, London Road, Halstead",,,2019-12-01,,1.2901065,37,37,Emerging Local Plan Ref ST2-56 - A contamination assessment is to be submitted as part of any planning application. The review of the existing use is to be considered as part of any planning application. Access to be improved.,local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,BFR131,https://maps.sevenoaks.gov.uk/brownfield_register/,2018-12-01
"Gorse Hill Nursery, Gorse Hill, Farningham",,,2019-12-01,,1.3767866,55,55,Emerging Local Plan Ref ST2-50 - Careful design and layout to conserve the character of the AONB. The review of the existing use is to be considered as part of any planning application.,local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,BFR129,https://maps.sevenoaks.gov.uk/brownfield_register/,2018-12-01
"Swanley Village Nursery, Swanley Village Road, Swanley Village",yes,,2019-12-01,,0.27927454,6,6,Emerging Local Plan Ref ST2-25 - Mitigation measures are required to soften the impact on the setting of the conservation area and nearby listed buildings. Retain existing trees and hedges.,local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,BFR119,https://maps.sevenoaks.gov.uk/brownfield_register/,2018-12-01
"Edenbridge & District War Memorial Hospital, Mill Hill, Edenbridge",,,2019-12-01,,0.76289694,30,30,Emerging Local Plan Ref ST2-32 - Redevelopment of site subject to confirmation of health commissioning requirements in relation to the current uses. Replacement facilities to serve the local community to be provided as part of any redevelopment scheme. A heritage assessment is to be submitted as part of any planning application and mitigation measures are required to soften the impact on the setting of the conservation area and nearby listed buildings. Retain existing trees and hedges,local-authority-eng:SEV,owned by a public authority,,,Not Permissioned,,BFR121,https://maps.sevenoaks.gov.uk/brownfield_register/,2018-12-01
