site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Land at, 35 North End, Wisbech, PE13",yes,,2017-12-19,,0.04,11,11,"Erection of 2 x 2-bed houses and 9 flats with balconies comprising of 1 x 3-bed, 3 x 2-bed and 5 x 1-bed with parking under, involving demolition of existing building",local-authority-eng:FEN,not owned by a public authority,2007-09-12,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=JEJ0UJHEO1000,permissioned,full planning permission,BLR0001,https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,2017-12-19
"PILGRIMS OF MARCH, DARTFORD ROAD, MARCH, PE15 8BD",yes,19/12/2019,2019-12-19,,0.32,17,17,"Erection of 17 dwellings comprising; 3 x 1-bed and 3 x 2-bed flats, 6 x 3-bed semi-detached houses, 2 x 4-bed semi-detached houses with integral single garage, 1 x 3-bed detached house and 2 x 4-bed detached houses with integral single garages involving demolition of existing buildings (renewal of planning permission F/YR06/0706/F)",local-authority-eng:FEN,not owned by a public authority,2010-07-05,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=L07EF9HE01U00,permissioned,full planning permission,BLR0002,https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,2017-12-19
"Davern Workwear Ltd, Elliott Road, MARCH, PE15 8QU",yes,,2017-12-19,,0.66,18,18,Erection of 18 dwellings comprising 2 x 3-bed; 8 x 4-bed and 8 x 5-bed dwellings with associated parking involving the demolition of the existing building,local-authority-eng:FEN,not owned by a public authority,2015-05-08,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=N5VNDCHE06P00,permissioned,full planning permission,BLR0003,https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,2017-12-19
"Land East of Davern Workwear Ltd, Elliott Road, MARCH, PE15 8QU",yes,,2017-12-19,,0.48,14,14,"Erection of 14 x 3-storey dwellings comprising; 3 x 5-bed with attached single garages; 4 x 5-bed with associated parking (plot 1 with detached double garage); 3 x 4-bed and 4 x 3-bed all with associated parking, involving part demolition of existing warehouse",local-authority-eng:FEN,not owned by a public authority,2014-12-19,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=N1IC4EHE08000,permissioned,reserved matters approval,BLR0004,https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,2017-12-19
"18, Westfield Road, Manea, MARCH, PE15 0LN",yes,19/12/2019,2017-12-19,,0.17,6,6,Erection of 6 dwellings involving demolition of existing dwelling and replacement fence to No.16 (renewal of planning permission F/YR10/0254/O),local-authority-eng:FEN,not owned by a public authority,2014-05-08,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=MNAPFYHE06P00,permissioned,outline planning permission,BLR0005,https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,2017-12-19
"100, Mill Road, Whittlesey, Cambridgeshire, PE7 1SW",yes,19/12/2019,2017-12-19,,0.49,12,12,"Erection of 12 dwellings with garages comprising; 6 x 3-bed single-storey, 4 x 3-bed 2-storey and 2 x 4-bed 2-storey, involving demolition of existing dwelling and outbuilding",local-authority-eng:FEN,not owned by a public authority,2016-04-29,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=NQ1HMYHE08000,permissioned,full planning permission,BLR0006,https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,2017-12-19
"4-6, Stermyn Street, WISBECH, PE13 1EQ",yes,19/12/2019,2017-12-19,,0.04,9,9,Change of use from Offices to 9 x flats,local-authority-eng:FEN,not owned by a public authority,2016-09-05,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=OAIBI1HE08000,permissioned,other,BLR0007,https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,2017-12-19
"AWARE HOUSE LEARNING DEVELOPMENT AIDS LIMITED, DUKE STREET, WISBECH, CAMBRIDGESHIRE, PE13 2AE",yes,,2017-12-19,,0.21,10,10,"Erection of 10 houses comprising; 4 x 2-bed semi-detached, 4 x 3-bed semi-detached and 2 x 3/4-bed semi-detached with integral car port, associated parking and landscaping including 1.8 metre high walls and close boarded fencing involving demolition of existing warehouse (renewal of planning permission F/YR08/1070/F)",local-authority-eng:FEN,not owned by a public authority,2012-08-28,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=LQ64KOHE01U00,permissioned,full planning permission,BLR0008,https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,2017-12-19
"64, Whitmore Street, 17 and 11 Windmill Street, WHITTLESEY, PE7 1HP",yes,19/12/2019,2017-12-19,,0.49,30,30,"Erection of 30no dwellings comprising of 15 x 2-storey 2-bed, 10 x 2-storey 3-bed, 1 x 2-storey 4-bed, 3 x 3-storey 3-bed and 1 x 2-bed flat with garage block below and associated parking involving demolition of existing dwelling and buildings",local-authority-eng:FEN,not owned by a public authority,2015-01-21,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=MSYJ73HE01U00,permissioned,full planning permission,BLR0009,https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,2017-12-19
"Site Of Former Kingswood Park Residential Home Kingswood Road March Cambridgeshire , PE15 9RT",yes,,2017-12-19,,0.94,22,22,"Erection of 22 dwellings: 2 x 2-storey block of flats comprising of 10 x 1-bed dwellings, and erection of 1 x single-storey 2-bed, 11 x 2-storey 2-bed dwellings, including sheds, refuse store and cycle store involving demolition of existing care home (retrospective) and works to western footpath of Kingswood Road",local-authority-eng:FEN,not owned by a public authority,2013-12-19,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=MTF4I5HE0B200,permissioned,full planning permission,BLR0010,https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,2017-12-19
"The Bell 35, KIRKGATE STREET, WISBECH",yes,,2017-12-19,,0.39,14,14,"Erection 14 houses comprising; 2 x 4-bed detached, 4 x 3/4-bed semi-detached, 4 x 3-bed semi-detached, 2 x 3-bed semi-detached 2 and a half-storey and 2 x 2/3-bed semi-detached with associated garages, parking, bin store and landscaping, alterations to existing accesses and demolition of existing building",local-authority-eng:FEN,not owned by a public authority,2010-04-06,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=KS8EA5HE08000,permissioned,full planning permission,BLR0011,https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,2017-12-19
"Land South West Of Queen Street Close March Cambridgeshire , PE15 8NB",yes,,2017-12-19,,0.16,6,6,"Erection of 6 x 3-storey, 3-bed dwellings with balcony to front and integral garage and 4 x 3-storey, 2-bed dwellings",local-authority-eng:FEN,not owned by a public authority,2015-01-15,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=NE3PAKHE08000,permissioned,reserved matters approval,BLR0012,https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,2017-12-19
Site Of Former 54 Bridge Street Chatteris Cambridgeshire,yes,19/12/2019,2019-12-19,,0.11,5,5,Details reserved by Condition 9 of planning permission F/YR17/1240/F (Erection of 5 x 3-storey 3-bed dwellings and 1 x 2-bed flat involving demolition of existing buildings and alteration to vehicular access) | Site Of Former 54 Bridge Street Chatteris Cambridgeshire,local-authority-eng:FEN,not owned by a public authority,2019-01-10,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=PIHLVUHE0D800,permissioned,reserved matters approval,BLR0013,https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,2017-12-19
"Nene Waterfront and Port, Wisbech",yes,,2017-12-19,,40.03,300,300,"Local Plan allocation for mixed-use regeneration located east of the River Nene and north of the town centre to provide housing, leisure, retail and employment. Sites around the boathouse will include leisure and retail (in addition to housing), and the area to the north (Crab Marsh) will provide employment uses. Local Plan (Policy LP8) identifies site as a broad location for growth",local-authority-eng:FEN,mixed ownership,,,not permissioned,,BLR0014,https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,2017-12-19
"Bricklayers Arms, 9 Station Road, Whittlesey, Peterborough, Cambridgeshire, PE7 1UA",yes,,2017-12-19,,0.31,33,33,Erection of a block of flats (maximum 3-storey) comprising of 14 x 1-bed and 19 x 2-bed and refuse store involving the demolition of existing building within a Conservation Area,local-authority-eng:FEN,not owned by a public authority,2017-12-14,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=OMT4W0HE01U00,permissioned,full planning permission,BLR0015,https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,2017-12-19
"North and south of Eastrea Road, WHITTLESEY, PE7 2AF",yes,,2019-12-19,,5.84,100,100,"Part of a Local Plan strategic allocation. The allocation as a whole is expected to provide in the region of 500 dwellings. This southern parcel will be subject to detailed masterplanning, and could accommodate a mix of uses including residential.",local-authority-eng:FEN,not owned by a public authority,,,not permissioned,,BLR0016,https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,2017-12-19
"Former Westhaven Nursery, Peterborough Road, WHITTLESEY, PE7 1PD",yes,,2019-12-19,,2.66,68,68,"Reserved Matters application relating to detailed matters of appearance, landscaping, layout and scale pursuant to outline permission F/YR14/0183/O - Erection of 68 x 2-storey dwellings comprising of 4 x 1-bed; 20 x 2-bed; 42 x 3-bed; 2 x 4-bed with Public Open Spaces and Play Area | Westhaven Nursery Peterborough Road Whittlesey Cambridgeshire",local-authority-eng:FEN,not owned by a public authority,2018-01-26,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=P3FA61HE01U00,permissioned,reserved matters approval,BLR0017,https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,2017-12-19
"Fenland Park, Lerowe Road, WISBECH, PE13 3QL",yes,19/12/2019,2017-12-19,,1.67,83,83,"Erection of 83 houses comprising; 19 x 4-bed houses, 35 x 3-bed houses 18 x 2-bed houses, 6 x 2-bed apartments and 5 x 1-bed apartments including Public Open Space involving demolition of existing football stands and buildings",local-authority-eng:FEN,not owned by a public authority,2009-01-20,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=JFV3LFHEK1000,permissioned,full planning permission,BLR0018,https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,2017-12-19
