site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Deans Yard, South Road, Baldock",yes,,2019-12-31,,0.32,20,20,Emerging Local Plan allocation.,local-authority-eng:NHE,not owned by a public authority,,,Not permissioned,,POINT(-0.179567 51.986317),BR1,,2017-12-31
"Land at Icknield Way, Baldock",yes,,2019-12-31,,0.52,26,26,Emerging Local Plan allocation.,local-authority-eng:NHE,not owned by a public authority,,,permissioned,,POINT(-0.191748 51.991793),BR2,,2017-12-31
"Former B&Q, at junction of Nightingale and Walsworth Road, Hitchin",yes,,2019-12-31,,0.68,60,60,Emerging Local Plan allocation.,local-authority-eng:NHE,not owned by a public authority,,,Not permissioned,,POINT(-0.266051 51.953582),BR5,,2017-12-31
"Pixmore Centre, Pixmore Avenue, Letchworth",yes,,2019-12-31,,0.39,31,31,Emerging Local Plan allocation.,local-authority-eng:NHE,not owned by a public authority,,,Not permissioned,,POINT(-0.218193 51.981591),BR9,,2017-12-31
"Freeman House, Radburn Way, Letchworth",yes,,2019-12-31,,0.31,8,8,"Reserved Matters application for approval of appearance, landscaping, layout and scale for outline application 16/01613/1 granted 25.08.2016 for residential development comprising of 8 dwellings including new access from Radburn Way following demolition of existing elderly persons' home.",local-authority-eng:NHE,owned by a public authority,2016-08-25,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?keyVal=PWC4FOLKHF000&activeTab=summary,Conditional Permission,outline planning permission,POINT(-0.213363 51.974225),BR10,,2017-12-31
"Foundation House, Icknield Way, Letchworth",yes,,2019-12-31,,0.78,16,16,Prior approval notification - Class O: Change of use from Use Class B1(a) (offices) to Use Class C3 (residential) to provide 9 x 1 bedroom flats and 7 x 2 bedroom flats and 20 car parking spaces.,local-authority-eng:NHE,not owned by a public authority,,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZYV2LKID491&activeTab=summary,permissioned,other,POINT(-0.2177 51.985465),BR11,,2017-12-31
"Glebe Road industrial estate, Letchworth",yes,,2019-12-31,,0.26,9,9,"Erection of 9 x 3 bedroom dwellings following demolition of existing industrial buildings, with all associated landscaping and ancillary works, including creation of new highway and pedestrian access.",local-authority-eng:NHE,not owned by a public authority,,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PJMN5ZLKKGW00,Not permissioned,,POINT(-0.220563 51.985351),BR12,,2017-12-31
"Nursery, Icknield Way, Letchwoth",yes,,2019-12-31,,0.43,8,8,Emerging Local Plan allocation.,local-authority-eng:NHE,not owned by a public authority,,,Not permissioned,,POINT(-0.233765 51.980235),BR14,,2017-12-31
"Site at Birds Hill, Letchworth",yes,,2019-12-31,,0.6,48,48,Emerging Local Plan allocation.,local-authority-eng:NHE,not owned by a public authority,,,Not permissioned,,POINT(-0.219165 51.981558),BR15,,2017-12-31
"Garages, Icknield Way, Letchworth",yes,,2019-12-31,,0.69,25,25,Emerging Local Plan allocation.,local-authority-eng:NHE,not owned by a public authority,,,Not permissioned,,POINT(-0.236274 51.9793),BR16,,2017-12-31
"Former Depot, Icknield Way, Letchworth",yes,,2019-12-31,,0.92,55,55,Emerging Local Plan allocation.,local-authority-eng:NHE,mixed ownership,,,Not permissioned,,POINT(-0.211446 51.985554),BR17,,2017-12-31
"Land at Birds Hill, Letchworth",yes,,2019-12-31,,1.07,86,86,Emerging Local Plan allocation.,local-authority-eng:NHE,not owned by a public authority,,,Not permissioned,,POINT(-0.219302 51.982328),BR18,,2017-12-31
"Anglian Business Park, Orchard Road, Royston",yes,,2019-12-31,,1.19,68,68,"Hybrid application for the residential redevelopment of the Anglian Business Park to provide a total of up to 67 dwellings (of a range of sizes, types and tenures including affordable housing) and associated parking, landscaping, open space and ancillary works",local-authority-eng:NHE,not owned by a public authority,,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?keyVal=PRJWHLLKFNN00&activeTab=summary,pending decision,,POINT(-0.031709 52.053204),BR19,,2017-12-31
"John Barker Place, Westmill, Hitchin",yes,,2019-12-31,,0.71,33,33,"Demolition of existing shops, flats and garages and redevelopment of site with housing retail and community facilities comprising: 15 x two-bed houses, 24 flats (22 x two-bed and 2 x one-bed flats), supermarket (Class A1) and takeaway (Class A5) on ground floor of flat block; associated landscaping, parking and new play area. Provision of new pedestrian crossing and visitor parking on John Barker Place.",local-authority-eng:NHE,not owned by a public authority,2015-02-13,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZYVALKID796&activeTab=summary,Conditional Permission,full planning permission,POINT(-0.292035 51.958383),BR22,,2017-12-31
"Block B, Latchmore Court, Hitchin",yes,,2019-12-31,,0.09,10,10,Change of use from offices (B1 use) and bar / nightclub (A4 use) to 2 x 1 bedroom flats and 11 x 2 bedroom flats.,local-authority-eng:NHE,not owned by a public authority,2015-08-21,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZYV7LKID877&activeTab=summary,permissioned,full planning permission,POINT(-0.279521 51.948948),BR23,,2017-12-31
"Elderley Persons Home, Wratten Road West, Hitchin",yes,,2019-12-31,,0.41,11,11,"11 dwellings together with associated parking and open space, following demolition of existing elderly persons home - Outline application with all matters except access reserved.",local-authority-eng:NHE,not owned by a public authority,2016-08-03,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZYV4LKID792&activeTab=summary,permissioned,outline planning permission,POINT(-0.283658 51.946118),BR25,,2017-12-31
"Railway Sidings, St. Michael's Road, Hitchin",yes,,2019-12-31,,3.86,123,123,Deemed suitable under the SHLAA criteria but unavailable.,local-authority-eng:NHE,not owned by a public authority,,,Not permissioned,,POINT(-0.260784 51.951837),BR30,,2017-12-31
"Bowman's Flour Mill, Ickleford",yes,,2019-12-31,,3.57,71,71,Estimate based on current application but without prejudice to its determination.,local-authority-eng:NHE,not owned by a public authority,,https://pa2.north-herts.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=ZZZYV2LKID605,pending decision,,POINT(-0.280737 51.967274),BR31,,2017-12-31
"Oddysey Health Club, Knebworth",yes,,2019-12-31,,4.01,86,86,"Redevelopment of the site to provide 86 dwellings (12 x 2 bedroom houses, 12 x 3 bedroom houses, 18 x 4 bedroom houses, 25 x one bedroom apartments, and 19 x 2 bedroom apartments), associated landscaping, car-parking, the provision of a large new public open space and the creation of a new vehicular access off the B197 Stevenage Road following demolition of the former indoor bowling building and several ancillary buildings. Rearrangement of the existing car parking provision for existing Odyssey Health and Racquet Club to provide 141 car parking spaces and alterations to existing vehicular access to Odyssey Health Club from Old Knebworth Lane.",local-authority-eng:NHE,not owned by a public authority,2019-05-22,https://pa2.north-herts.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,POINT(-0.191756 51.880974),BR32,,2019-11-28
