site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Alma Street, Wednesbury",,,2016-06-30,,0.52,19,19,,local-authority-eng:SAW,,2012-01-01,,,Other,28,http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,2016-06-30
"Old Cross Street, Tipton",,,2016-06-30,,0.48,14,14,,local-authority-eng:SAW,,2014-09-29,,,full planning permission,265,http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,2016-06-30
"Park Lane West ( South Staffs Depot ), Tipton",,,2017-12-01,,2.95,103,103,,local-authority-eng:SAW,,2012-01-01,,,Other,354,http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,2016-06-30
"Orchard Street, Burnt Tree, Tipton",,,2017-12-01,,0.28,30,30,,local-authority-eng:SAW,,2012-01-01,,,Other,440,http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,2016-06-30
"Dudley Road East (Brades Hall), Brades Hall, Oldbury",,,2017-12-01,,1.85,58,58,43 units completed 15 under construction,local-authority-eng:SAW,,2016-10-07,,,full planning permission,463,http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,2016-06-30
"Birmingham Road, Oldbury",,,2017-12-01,,0.68,41,41,3 complete 2 under construction.,local-authority-eng:SAW,not owned by a public authority,2013-06-21,,,full planning permission,585,http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,2016-06-30
"Hawes Lane, Rowley Regis",,,2016-06-30,,0.56,20,20,,local-authority-eng:SAW,owned by a public authority,2012-01-01,,,Other,764,http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,2016-06-30
"Reservoir Road, Rowley Regis",,,2016-06-30,,0.76,30,30,Part SMBC and part private,local-authority-eng:SAW,,2012-01-01,,,Other,768,http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,2016-06-30
"Cradley Road / Bannister Road, Cradley Heath",,,2016-06-30,,0.52,12,12,,local-authority-eng:SAW,,2016-01-26,,,reserved matters approval,856,http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,2016-06-30
"Beever Road, Great Bridge",,,2016-06-30,,1.01,35,35,,local-authority-eng:SAW,,2012-01-01,,,Other,1170,http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,2016-06-30
"land at Horseley Heath, Alexandra Road, and Lower Church Lane, Tipton",,,2016-06-30,,2.30,60,60,,local-authority-eng:SAW,,2012-01-01,,,Other,1183,http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,2016-06-30
"Peel Street, Tipton",,,2017-12-01,,1.04,58,58,,local-authority-eng:SAW,not owned by a public authority,2014-09-29,,,full planning permission,1186,http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,2016-06-30
former Accles and Pollock Sports Ground Brades Rise Oldbury,,,2017-12-01,,6.36,199,199,"11 not started, 2 under construction",local-authority-eng:SAW,,2016-06-09,,,full planning permission,1189,http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,2017-12-01
Messenger Road Smethwick,,,2017-12-01,,2.94,103,103,"Site nearly complete, 3 units remain",local-authority-eng:SAW,,2013-04-25,,,full planning permission,1193,http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,2017-12-01
"Mill Street, Great Bridge",,,2017-12-01,,0.92,36,36,"12 units completed, 24 under construction",local-authority-eng:SAW,,2016-04-08,,,full planning permission,1203,http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,2016-06-30
"Mill Street, Great Bridge",,,2017-12-01,,0.87,30,30,Allocated part of site,local-authority-eng:SAW,,2012-01-01,,,Other,1203a,http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,2016-06-30
"Elbow Street, Old Hill",,,2017-12-01,,0.72,25,25,,local-authority-eng:SAW,,2012-01-01,,,Other,1376,http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,2016-06-30
"Whitehall Road, Great Bridge",,,2016-06-30,,0.41,16,16,,local-authority-eng:SAW,,2012-01-01,,,Other,1380,http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,2016-06-30
"Bell Street/Dudley Road, Tipton",,,2016-06-30,,0.62,22,22,,local-authority-eng:SAW,,2012-01-01,,,Other,1401,http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,2016-06-30
"St Annes Road, Cradley Heath",,,2017-12-01,,1.13,40,40,,local-authority-eng:SAW,,2012-01-01,,,Other,1436,http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,2016-06-30
"Lower High Street, Cradley Heath",,,2016-06-30,,0.40,26,26,,local-authority-eng:SAW,,2015-03-27,,,full planning permission,1437,http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,2016-06-30
"Social Club Friar Park Farm, Kent Road, Wednesbury",,,2017-12-01,,1.96,69,69,,local-authority-eng:SAW,owned by a public authority,2012-01-01,,,Other,1438,http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,2016-06-30
"John Street North, West Bromwich",,,2017-12-01,,1.47,52,52,,local-authority-eng:SAW,,2012-01-01,,,Other,1440,http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,2016-06-30
"Working Mens Club, Cardigan Close, West Bromwich",,,2016-06-30,,0.14,5,5,,local-authority-eng:SAW,,2012-01-01,,,Other,1443,http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,2016-06-30
