site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"High Road Broxbourne, Broxbourne, EN10 7DD, Broxbourne School",,,2019-11-29,,6.093,,,,local-authority-eng:BRX,owned by a public authority,,,permissioned,,BR01,,
"Park Lane Paradise, Cheshunt, EN7 6TD, Cheshunt Park Farm",,,2019-11-29,,2.238,,,,local-authority-eng:BRX,not owned by a public authority,,,permissioned,,BR02,,
"Rosedale Way, Cheshunt, Waltham Cross, Hertfordshire, EN7 6HR, Fourfields",,,2019-11-29,,0.5224,,,,local-authority-eng:BRX,owned by a public authority,,,permissioned,,BR03,,
"6 Windmill Lane, Cheshunt, EN8 9AA, Wolsey Hall",,,2019-11-29,,0.158,,,,local-authority-eng:BRX,owned by a public authority,,,permissioned,,BR04,,
"Delamare Road, Cheshunt, Cheshunt Lakeside",,,2019-11-29,,12.46,,,,local-authority-eng:BRX,not owned by a public authority,,,not permissioned,,BR05,,
"Bishops College, Churchgate, Cheshunt, EN8 9XG, Broxbourne Borough Council Offices and Car Park",,,2019-11-29,,1.911,,,,local-authority-eng:BRX,owned by a public authority,,,not permissioned,,BR06,,
"Theobalds Lane, Cheshunt, Hertfordshire, EN8 8RU, Cheshunt Football Club",,,2019-11-29,,5.304,,,,local-authority-eng:BRX,owned by a public authority,,,not permissioned,,BR07,,
"577-579 Goffs Lane, Goffs Oak, EN7 5HJ, South of Goffs Lane",,,2019-11-29,,1.883,,,,local-authority-eng:BRX,not owned by a public authority,,,not permissioned,,BR08,,
"104 Cuffley Hill, Goffs Oak, EN7 5EY, CG Edwards",,,2019-11-29,,1.208,,,,local-authority-eng:BRX,not owned by a public authority,,,not permissioned,,BR09,,
"Rye Road, Hoddesdon, EN11, Turnford Surfacing Site",,,2019-11-29,,0.5787,,,,local-authority-eng:BRX,not owned by a public authority,,,not permissioned,,BR10,,
"Lord Street, Hoddesdon, EN11 8NL, Rosehill Bowls Club",,,2019-11-29,,0.3019,,,,local-authority-eng:BRX,not owned by a public authority,,,not permissioned,,BR11,,
"Essex Road, Hoddesdon, EN11 0BX, Oaklands Yard",,,2019-11-29,,0.908,,,,local-authority-eng:BRX,not owned by a public authority,,,permissioned,,BR12,,
"Amwell Street, Hoddesdon, EN11 8TS, 19 Amwell Street and Scania House",,,2019-11-29,,0.3858,,,,local-authority-eng:BRX,not owned by a public authority,,,not permissioned,,BR13,,
"Police Station, High Street, Hoddesdon, EN11 8BJ, Former Hoddesdon Police Station",,,2019-11-29,,0.321,,,,local-authority-eng:BRX,owned by a public authority,,,not permissioned,,BR14,,
