site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"18 Church Road, Fleet, Hampshire, GU51 3RH",,20/12/2018,2017-12-22,,0.08,10,10,Demolition of existing office block at 18 Church Road and erection of 10 apartments,local-authority-eng:HAT,not owned by a public authority,2015-06-19,,permissioned,full planning permission,POINT(-0.840016 51.282478),15/00275/FUL,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"Consort House, 46-48 Albert Street, Fleet, Hampshire, GU51 3RL",,20/12/2018,2017-12-22,,0.04,7,6,Change of use from B1 to C3 (7 dwgs). Previous approval 16/00032/PRIOR (6 dwgs) granted 2016-03-15.,local-authority-eng:HAT,not owned by a public authority,2016-05-26,,permissioned,other,POINT(-0.839038 51.282567),16/00796/PRIOR,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"115-123 Fleet Road, Fleet, Hampshire, GU51 3PD",,20/12/2018,2017-12-22,,0.14,6,6,"Change of use of B1a offices to 6 flats. Previous approval 16/03413/PRIOR for Change of use of ground floor (part), 1st floor (part) and 2nd floor (part) from Use Class B1a offices to 12 flats (8 x 1 bedroom and 4 x 2 bedroom) granted 2017-02-02.",local-authority-eng:HAT,not owned by a public authority,2017-05-30,,permissioned,other,POINT(-0.8383 51.283972),17/00828/PRIOR,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"111-113 Fleet Road, Fleet, Hampshire, GU51 3PD",,20/12/2018,2017-12-22,,0.1,12,12,Change of use of 1st and 2nd floors from Use Class B1a offices to 12 flats (10 x 1 bedroom and 2 x 2 bedroom),local-authority-eng:HAT,not owned by a public authority,2017-02-02,,permissioned,other,POINT(-0.837967 51.284112),16/03411/PRIOR,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"Former Auxiliary Stores Unit, Former Queen Elizabeth Barracks, Naishes Lane, Church Crookham, Hampshire, GU52 8DB",,20/12/2018,2017-12-22,,0.75,16,16,Redevelopment of the site to provide 16 Dwellings,local-authority-eng:HAT,not owned by a public authority,2015-07-31,,permissioned,full planning permission,POINT(-0.829882 51.256308),15/00828/FUL,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"Winkworth Business Park, London Road, Hartley Wintney, Hook, Hampshire, RG27 8HY",,20/12/2018,2017-12-22,,0.5,5,5,Reserved Matters 15/02201/REM granted for erection of 5 dwellings,local-authority-eng:HAT,not owned by a public authority,2016-01-08,,permissioned,reserved matters approval,POINT(-0.92314 51.292094),14/01093/OUT,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"32 Reading Road South, Fleet, Hampshire, GU52 7QL",,20/12/2018,2017-12-22,,0.03,6,6,Conversion of existing B2 premises to 6 apartments,local-authority-eng:HAT,not owned by a public authority,2016-01-12,,permissioned,full planning permission,POINT(-0.844255 51.277538),15/02225/FUL,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"Land To Rear Of, Chantryland, New Road, Eversley, Hook, Hampshire, RG27 0NX",yes,20/12/2018,2017-12-22,,0.36,6,6,"Demolition of Chantryland and erection of one 5 bedroom, two 4 bedroom and three 2 bedroom houses. Under construction at April 2019.",local-authority-eng:HAT,not owned by a public authority,2015-02-24,,permissioned,full planning permission,POINT(-0.859831 51.344999),14/02942/FUL,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"Landata House, Station Road, Hook, Hampshire, RG27 9PE",,20/11/2019,2017-12-22,,0.55,78,78,Redevelopment of the site to provide 78 residential flats. Development complete in 2019.,local-authority-eng:HAT,not owned by a public authority,2016-03-23,,permissioned,full planning permission,POINT(-0.961103 51.278094),15/01603/FUL,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"Bartley House, Station Road, Hook, Hampshire, RG27 9JF",yes,20/11/2019,2019-11-20,,0.6,102,102,Demolition of office building and redevelopment to provide 4 x blocks containing a total of 102 apartments (46 x 1 bed and 56 x 2-bed). Under construction at April 2019.,local-authority-eng:HAT,not owned by a public authority,2016-05-31,,permissioned,full planning permission,POINT(-0.96069 51.277317),16/03378/FUL,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
