site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"St Martin's Hospital, Canterbury",yes,,2017-11-23,,6.39,163,163,Strategic Allocation in Local Plan. Allocated for 164 Units,local-authority-eng:CAT,,,,not permissioned,,BR-002,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=616725,157695,27700&scale=2000",2017-11-01
"Land Adjacent to Canterbury West Station, Canterbury",yes,,2017-11-23,,0.22,20,20,Existing Allocation in Local Plan. Allocated for erection of 20 dwellings,local-authority-eng:CAT,mixed ownership,,,not permissioned,,BR-004,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614654,158485,27700&scale=500",2017-11-01
"Kingsmead Depot, Kingsmead Road, Canterbury",yes,,2017-11-23,,3.85,32,32,Existing Allocation in Local Plan. Full Application is pending decision. Demolition of existing buildings and erection of 40 dwellings,local-authority-eng:CAT,mixed ownership,,,pending decision,,BR-005,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=615399,158576,27700&scale=2000",2017-11-01
"Former Employment Exchange, St Johns Lane, Canterbury",,,2017-11-23,,0.08,24,24,Existing Allocation in Local Plan. Allocated for 24 Dwellings,local-authority-eng:CAT,,,,not permissioned,,BR-006,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614781,157530,27700&scale=500",2017-11-01
"Canterbury East Station (North side) Car Park, Canterbury",yes,,2017-11-23,,0.48,24,24,Existing Allocation in Local Plan. Allocated for erection of 24 dwellings,local-authority-eng:CAT,,,,not permissioned,,BR-007,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614832,157229,27700&scale=1000",2017-11-01
"Northgate Car Park, Norhgate, Canterbury",,,2017-11-23,,0.21,21,21,Existing Allocation in Local Plan. Allocated for erection of 21 dwellings,local-authority-eng:CAT,mixed ownership,,,not permissioned,,BR-008,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=615305,158415,27700&scale=500",2017-11-01
"Castle Street Car Park, Canterbury",,,2017-11-23,,0.28,54,54,Existing Allocation in Local Plan. Allocated for erection of 54 dwellings,local-authority-eng:CAT,owned by a public authority,,,not permissioned,,BR-009,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614604,157429,27700&scale=1000",2017-11-01
"BT Car park, Upper Chantry Lane, Canterbury",yes,,2017-11-23,,0.43,20,20,Existing Allocation in Local Plan. Allocated for erection of 20 dwellings,local-authority-eng:CAT,,,,not permissioned,,BR-010,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=615338,157302,27700&scale=1000",2017-11-01
"Holmans Meadow Car Park, Dover Street, Canterbury",,,2017-11-23,,0.54,20,20,Existing Allocation in Local Plan. Allocated for erection of 20 dwellings,local-authority-eng:CAT,owned by a public authority,,,not permissioned,,BR-011,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=615144,157450,27700&scale=1000",2017-11-01
"Rosemary Lane Car Park, Rosemary Lane, Canterbury",yes,,2017-11-23,,0.27,20,20,Existing Allocation in Local Plan. Allocated for erection of 20 dwellings,local-authority-eng:CAT,owned by a public authority,,,not permissioned,,BR-012,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614612,157566,27700&scale=500",2017-11-01
"White Horse Lane, Canterbury",yes,,2017-11-23,,0.19,10,10,Existing Allocation in Local Plan. Allocated for erection of 10 dwellings,local-authority-eng:CAT,mixed ownership,,,not permissioned,,BR-014,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614836,157794,27700&scale=1000",2017-11-01
"Ivy Lane Car Park, Ivy Lane, Canterbury",yes,,2017-11-23,,0.08,10,10,Existing Allocation in Local Plan. Allocated for erection of 10 dwellings,local-authority-eng:CAT,owned by a public authority,,,not permissioned,,BR-015,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=615443,157600,27700&scale=500",2017-11-01
"Hawks Lane Car Park, Hawks Lane, Canterbury",yes,,2017-11-23,,0.03,9,9,Existing Allocation in Local Plan. Allocated for 9 dwellings,local-authority-eng:CAT,owned by a public authority,,,not permissioned,,BR-016,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614823,157744,27700&scale=500",2017-11-01
"St Radigunds Car Park, St Radigunds Street, Canterbury",,,2017-11-23,,0.07,7,7,Existing Allocation in Local Plan. Allocated for 7 dwellings,local-authority-eng:CAT,owned by a public authority,,,not permissioned,,BR-017,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=615042,158292,27700&scale=500",2017-11-01
"The Garth, St Stephens Road, Canterbury",yes,,2017-11-23,,0.14,12,12,Existing Allocation in Local Plan. Proposed three storey building containing 12 two-bedroom apartments.,local-authority-eng:CAT,,2017-06-23,,permissioned,full planning permission,BR-018,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614873,158392,27700&scale=500",2017-11-01
"St Johns Lane Car Park, St Johns Lane, Canterbury",,,2017-11-23,,0.06,5,5,Existing Allocation in Local Plan. Allocation for erection of 5 dwellings,local-authority-eng:CAT,mixed ownership,,,not permissioned,,BR-019,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614745,157561,27700&scale=500",2017-11-01
"Garage Site at Kings Road/Park Road Junction, Herne Bay",,,2017-11-23,,0.13,43,43,Existing Allocation in Local Plan. Allocated for 43 dwellings,local-authority-eng:CAT,,,,not permissioned,,BR-020,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=617703,168002,27700&scale=500",2017-11-01
"Land at Herne Bay Station, Herne Bay",yes,,2017-11-23,,0.58,35,35,Existing Allocation in Local Plan. Erection of 35 dwellings,local-authority-eng:CAT,,,,not permissioned,,BR-021,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=617030,167446,27700&scale=1000",2017-11-01
"Central Development Area, Herne Bay",,,2017-11-23,,3.7,56,46,Part Of Herne Bay Action Plan HB1,local-authority-eng:CAT,mixed ownership,,,not permissioned,,BR-022,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=617716,168129,27700&scale=1000",2017-11-01
"Beach Street, Herne Bay",yes,,2017-11-23,,0.33,19,14,Part Of Herne Bay Action Plan HB2,local-authority-eng:CAT,mixed ownership,,,not permissioned,,BR-023,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=617697,168335,27700&scale=1000",2017-11-01
"Herne Bay Bus Depot, Herne Bay",yes,,2017-11-23,,0.52,30,20,Part Of Herne Bay Action Plan HB3. Full Application pending decision,local-authority-eng:CAT,,,,pending decision,,BR-024,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=617565,168174,27700&scale=1000",2017-11-01
"Tankerton Road Car Park & Garage, Whitstable",,,2017-11-23,,0.19,17,17,Existing Allocation in Local Plan. Allocated for 17 dwellings,local-authority-eng:CAT,owned by a public authority,,,not permissioned,,BR-025,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=612346,167172,27700&scale=500",2017-11-01
"124 & Adjoining Middle Wall, Whitstable",,,2017-11-23,,0.15,7,7,Existing Allocation in Local Plan. Allocated for 7 dwellings,local-authority-eng:CAT,mixed ownership,,,not permissioned,,BR-026,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=610644,166359,27700&scale=500",2017-11-01
"The Tile Warehouse and Former Boat Storage Yard, Sea Street/Sea Wall, Whitstable, CT5 1AN",yes,,2017-11-23,,0.16,8,8,Existing Allocation in Local Plan. Demolition of existing tile warehouse and mixed use redevelopment. Erection of 8 residential townhouses,local-authority-eng:CAT,,2017-07-19,,permissioned,full planning permission,BR-027,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=610638,166828,27700&scale=500",2017-11-01
"Herne Bay Court, Canterbury Road, Herne Bay, CT6 5TD",yes,,2017-11-23,,3.76,157,157,Erection of retirement village,local-authority-eng:CAT,,2014-12-03,,permissioned,full planning permission,BR-029,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=618210,167173,27700&scale=2000",2017-11-01
"Land at Gordon Road, Wincheap, CT1 3PP",yes,,2017-11-23,,0.11,14,14,Following demolition of industrial building: erection of block of 4 one-bedroom flats and 4 two-bed flats; and a separate block of 2 two-bed flats and 4 one-bed flats,local-authority-eng:CAT,,2014-05-12,,permissioned,full planning permission,BR-031,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614675,157207,27700&scale=500",2017-11-01
"108 High Street, Herne Bay, CT6 5JY",yes,,2017-11-23,,0.03,6,6,Conversion of upper floors from commercial and associated residential accommodation to provide 6 one-bedroom flats.,local-authority-eng:CAT,,2014-03-04,,permissioned,full planning permission,BR-032,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=617707,168203,27700&scale=500",2017-11-01
"Site of Former Sturry Road Social Club, East Street, Canterbury, CT1 1EE",yes,,2017-11-23,,0.26,10,10,Erection of 10 bungalows,local-authority-eng:CAT,owned by a public authority,2017-10-16,,permissioned,full planning permission,BR-034,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=616452,159095,27700&scale=1000",2017-11-01
"Land at Belmont Road, Whitstable, CT5 1QJ",yes,,2017-11-23,,0.27,10,10,"Demolition of industrial buildings and erection of 10 dwellings with associated garaging, parking and landscaping.",local-authority-eng:CAT,,2015-10-15,,permissioned,full planning permission,BR-035,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=610998,166142,27700&scale=1000",2017-11-01
