site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
Short Street Community Infants School,yes,,2017-09-29,,0.50,15,15,Suitable Brownfield Site taken from the SHLAA (SHLAA 26),local-authority-eng:EST,owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,ESBC-BR1,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
Coors Middle Yard,yes,,2017-09-29,,9.08,272,272,Suitable Brownfield Site taken from the SHLAA (SHLAA 71) and also Allocated in the Adopted Local Plan 2012-2031,local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,ESBC-BR2,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
Coors High Street,yes,,2017-09-29,,2.91,212,212,Site Allocated in the Adopted Local Plan 2012-2031,local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,ESBC-BR3,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
Bargates,yes,,2017-09-29,,2.64,138,138,Site Allocated in the Adopted Local Plan 2012-2031 - Application due to be submitted summer 2017,local-authority-eng:EST,owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,ESBC-BR4,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
Branston Depot,,,2017-09-29,,19.27,483,483,Site Allocated in the Adopted Local Plan 2012-2031 - Resolution to approve 27/08/2013 subject to S106 legal agreement. Outline planning application for up to 483 dwellings (excluding conversion),local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,pending decision,outline planning permission,ESBC-BR5,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
Derby Road Burton,yes,,2017-09-29,,8.09,250,250,Site Allocated in the Adopted Local Plan 2012-2031,local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,ESBC-BR6,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
JCB Pinfold Street,yes,,2017-09-29,,6.75,257,257,"Site Allocated in the Adopted Local Plan 2012-2031 - Residential Part of the Site Not Started, Retail Part complete (Outline Planning permission granted 09/08/2013). Application under Section 73 of the Town and Country Planning Act 1990 for an outline application for a mixed use development including the erection of a maximum of 257 dwellings",local-authority-eng:EST,not owned by a public authority,2014-10-03,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,Other,ESBC-BR7,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
Brookside Business Park,,,2017-09-29,,4.40,90,90,Site Allocated in the Adopted Local Plan 2012-2031 - Resolution to Approve – 22/09/2015 subject to S106 legal agreement. Outline application for a mixed use development for up to 90 residential dwellings,local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,pending decision,outline planning permission,ESBC-BR8,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
Churnet Farm Rocester,yes,,2017-09-29,,0.52,90,90,Site Allocated in the Adopted Local Plan 2012-2031 (only part of the allocated site is Brownfield so the site area has been amended to reflect this) - Applications totalling 90 units submitted in May 2017 to the LPA.. Erection of 70 new dwellings and demolition of all existing buildings and erection of 20 dwellings,local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,Other,ESBC-BR9,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
Former Alumasc Grundy Ltd Hawkins Lane,yes,,2017-09-29,,4.25,204,204,"Site historically a SHLAA site, removed as was being retained for employment use (i.e.: Tesco Store). Residential application with LPA awaiting determination (P/2016/01847). Erection of 204 dwellings, comprising 100 no. affordable dwellings",local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,pending decision,full planning permission,ESBC-BR10,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
Land to the rear of 2 Harbury Street,yes,,2017-09-29,,0.37,14,14,Site historically a SHLAA site - Resolution to Approve – 17/01/2017 subject to S106 legal agreement. Outline application for the erection of up to 14 dwellings,local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,pending decision,outline planning permission,ESBC-BR11,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
Imex Business Park,yes,,2017-09-29,,2.21,66,66,Site historically a SHLAA site - Site not fully occupied,local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,ESBC-BR12,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
Mead Works 137-139 Horninglow Street,yes,,2017-09-29,,0.26,8,8,"Site historically a SHLAA site - Site vacant, Extention to time limit application for dwellings never implemented (Full Application approved 19/01/2010 - PA/00560/068/CLF). Erection of 12 dwellings",local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,ESBC-BR13,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
Goat Maltings,,,2017-09-29,,0.19,60,60,"Site historically a SHLAA site - Site vacant (PA/07932/027 - 2006 Application for the conversion of the Goat Maltings to 60 apartments , never implemented). Conversion of the Goat Maltings building to form 60 apartments",local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,ESBC-BR14,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
Burton Beer Mats,,,2017-09-29,,0.28,8,8,Site historically a SHLAA site - Site vacant,local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,ESBC-BR15,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
Derby Street Auction Rooms,,,2017-09-29,,0.22,6,6,"Site historically a SHLAA site - Site vacant (P/2011/00272/MB - 2011 Application for the erection of a 61 bedroomed residential nursing home (Class C2) , never implemented)",local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,ESBC-BR16,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
60-62 Queen Street,,,2017-09-29,,0.10,3,3,"Site historically a SHLAA site - Site currently occupied (OU/06274/014 - 2007 Application for Outline application for residential development including means of access, never implemented)",local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,ESBC-BR17,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
Uttoxeter Highways Depot,,,2017-09-29,,0.87,30,30,"Site historically a SHLAA site - Site could become vacant as new recycling centre now open (P/2010/01298/JPM - 2010 Application for the erection of upto 30 dwellings, never implemented). Outline application for the erection of up-to 30 dwellings",local-authority-eng:EST,owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,ESBC-BR18,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
132 Derby Street Burton,yes,,2017-09-29,,0.13,8,8,Site included in the Housing Permissions - Not yet commenced. Conversion of existing buildings to form 8 dwellings,local-authority-eng:EST,not owned by a public authority,2015-03-30,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,ESBC-BR19,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
36 Derby Road Burton,yes,,2017-09-29,,0.10,10,10,Site included in the Housing Permissions - Not yet commenced. Erection of 7 dwellings and conversion and extension of existing building to form 3 flats,local-authority-eng:EST,not owned by a public authority,2015-01-30,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,ESBC-BR20,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
Proposed Residential Development Victoria Crescent,yes,,2017-09-29,,0.91,47,47,"Site included in the Housing Permissions - Under Construction but no residential completions on site yet. Demolition of existing warehouse building, storage tanks and electricity sub-station to facilitate the erection of 47 dwellings",local-authority-eng:EST,not owned by a public authority,2017-01-24,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,ESBC-BR21,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
43 High Street Burton,yes,,2017-09-29,,0.02,8,8,Site included in the Housing Permissions - Under Construction but no residential completions on site yet,local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,,ESBC-BR22,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
The Refinery,yes,,2017-09-29,,0.04,10,10,Site included in the Housing Permissions - Under Construction but no residential completions on site yet,local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,,ESBC-BR23,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
