site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
7 City Road; Stathern,yes,,2017-12-31,,0.24,1,1,Ownership unknown by organisation; current use is domestic at the time of application; last use was garden; checked on google; site has one dwelling.. One two-bedroomed dormer bungalow with parking for 2 cars,local-authority-eng:MEL,,2016-05-09,https://pa.melton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NRMO6SKO00G00,permissioned,outline planning permission,15/00569/OUT,https://arcg.is/1CDCS,2017-12-31
26 Chuch Lane; Long Clawson,yes,,2017-12-31,,0.26,4,4,Ownership unknown by organisation; demolition of existing bungalow in application; brownfield. Demolition of existing bungalow; development of site to include 4 residential properties and improvements to site access road.,local-authority-eng:MEL,,2008-10-17,https://pa.melton.gov.uk/online-applications/applicationDetails.do?keyVal=K5Y2ZCKO00K00&activeTab=summary,permissioned,outline planning permission,08/00703/OUT,https://arcg.is/1CDCS,2017-12-31
1 Old Mill House; Branston Road; Eaton,yes,,2017-12-31,,0.27,1,1,Ownership unknown by organisation; stables considered PDL under various case laws and appeals. Conversion of an existing stable block to single dwelling,local-authority-eng:MEL,,2017-10-23,https://pa.melton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ORY4NCKOJGH00,permissioned,full planning permission,17/00784/FUL,https://arcg.is/1CDCS,2017-12-31
War Memorial Hospital; Ankle Hill; Melton Mowbray,yes,,2017-12-31,,0.3,6,6,Ownership unknown by organisation. Application for 6 private dwelling houses.,local-authority-eng:MEL,,2017-04-13,https://pa.melton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OI2NF2KOIEW00,permissioned,full planning permission,16/00931/FUL,https://arcg.is/1CDCS,2017-12-31
The Spinney; Thorpe Satchville Road; Kirby Bellars,yes,,2017-12-31,,0.33,1,1,Ownership unknown by organisation. Replacement dwelling.,local-authority-eng:MEL,,2016-01-04,https://pa.melton.gov.uk/online-applications/applicationDetails.do?keyVal=NXG237KOGQ900&activeTab=summary,permissioned,full planning permission,15/00889/FUL,https://arcg.is/1CDCS,2017-12-31
The Rectory; 1 Boyers Orchard; Harby,,,2017-12-31,,0.34,11,11,Unknown ownership; residential and leisure in SHLAA 2016; keep,local-authority-eng:MEL,,,,not permissioned,,MBC/023/15,https://arcg.is/1CDCS,2017-12-31
81 Burton Road; Melton Mowbray,yes,,2017-12-31,,0.34,9,9,Ownership unknown by organisation. Removal of existing building (contains 5 flats) + felling of 6 trees / 2 shrubs under group TPO. Erection of 9 new dwellings (2 x semi-detached pairs + 5 x detached); with new access to be formed from Burton Road.,local-authority-eng:MEL,,2015-02-06,https://pa.melton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N79HT3KO00G00,permissioned,full planning permission,14/00496/FUL,https://arcg.is/1CDCS,2017-12-31
Ashby Folville Lodge; Folville Street/Station Road; Ashby Folville,yes,,2017-12-31,,0.34,2,2,Ownership unknown by organisation. Conversion; remodelling and extension of single residential dwelling into two separate residential dwellings. Part demolition required to separate building.,local-authority-eng:MEL,,2016-05-27,https://pa.melton.gov.uk/online-applications/applicationDetails.do?keyVal=O4JM09KO0FP00&activeTab=summary,permissioned,full planning permission,16/00202/FUL,https://arcg.is/1CDCS,2017-12-31
33 Fair Acre; Paradise Lane; Old Dalby,yes,,2017-12-31,,0.36,4,4,Ownership unknown by organisation. Demolition of existing 4 bed property and separate garage and the construction of new 4 bed property and connected garage and car port.,local-authority-eng:MEL,,2015-07-01,https://pa.melton.gov.uk/online-applications/applicationDetails.do?keyVal=NO6SVMKO00K00&activeTab=summary,permissioned,full planning permission,15/00357/FUL,https://arcg.is/1CDCS,2017-12-31
Paradise Lodge; 44 Main Road; Old Dalby,yes,,2017-12-31,,0.37,1,1,Ownership unknown by organisation. Proposed replacement dwelling and removal of trees.,local-authority-eng:MEL,,2016-11-14,https://pa.melton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OD530YKO0FP00,permissioned,full planning permission,16/00622/FUL,https://arcg.is/1CDCS,2017-12-31
Silverdale; Scalford Road; Melton Mowbray,,,2017-12-31,,0.4,10,10,Single ownership; 08/00249/OUT (permitted); MEL5,local-authority-eng:MEL,owned by a public authority,,https://pa.melton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=JXPSSTKO00G00,not permissioned,,MBC/037/13 (MEL5 in submitted Plan),https://arcg.is/1CDCS,2017-12-31
Covert Farm; Gipsy Nook; Stonesby,yes,,2017-12-31,,0.42,1,1,Ownership unknown by organisation. Demolition of dwelling; construction of new single dwelling and garage.,local-authority-eng:MEL,,2016-10-17,https://pa.melton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OANWMGKOHPH00,permissioned,full planning permission,16/00502/FUL,https://arcg.is/1CDCS,2017-12-31
25 Broad View; Manor Road; Easthorpe,yes,,2017-12-31,,0.43,2,2,Ownership unknown by organisation. Demolition of existing two storey chalet bungalow and erection of new two storey replacement dwelling,local-authority-eng:MEL,,2015-04-23,https://pa.melton.gov.uk/online-applications/applicationDetails.do?keyVal=NK89VWKO00K00&activeTab=summary,permissioned,full planning permission,15/00135/FUL,https://arcg.is/1CDCS,2017-12-31
Greenwood Stock Boxes Ltd; Nottingham Road; Nether Broughton,yes,,2017-12-31,,0.46,10,10,Ownership unknown by organisation. Erection of ten new dwellings and alteration to existing access to replace existing buildings - Amended Plans: 1. Roof dormer windows removed to 3 dwellings; 2. area of open space defined; 3. the design to plot 1 revised.,local-authority-eng:MEL,,2017-10-23,https://pa.melton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OC212KKO0FP00,permissioned,full planning permission,16/00577/FUL,https://arcg.is/1CDCS,2017-12-31
Former Cheese producing dairy; Langar Lane; Harby,yes,,2017-12-31,,0.5,10,10,Ownership unknown by organisation; permission granted; brownfield in LP assessments. Demolition of existing buildings; erection of 10 dwellings; formation of accesses. HYBRID APPLICATION:Plots 1-6 - full planning application Plots 7-10 - outline planning application with all matters reserved apart from access.,local-authority-eng:MEL,not owned by a public authority,2016-07-01,https://pa.melton.gov.uk/online-applications/applicationDetails.do?keyVal=NY9H6EKO0FH00&activeTab=summary,permissioned,full planning permission,MBC/134/13 (HAR2 in submitted Plan),https://arcg.is/1CDCS,2017-12-31
Beebys Yard; Burton Street; Melton Mowbray,,,2017-12-31,,0.5,20,20,Single ownership; 08/00326/FUL (status unknown). Conversion of existing buildings to form 7 one and two bed terraced houses and erection 4 two bedroom terraced dwellings.,local-authority-eng:MEL,not owned by a public authority,,https://pa.melton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=JYY7ZOKO00K00,pending decision,,MBC/135/13,https://arcg.is/1CDCS,2017-12-31
Wycliffe House; Snow Hill; Melton Mowbray,,,2017-12-31,,0.5,15,15,Single ownership; partially brownfield. Demolition of existing buildings and erection of 24 residential units in 4 blocks together with an access road; parking and landscaping.,local-authority-eng:MEL,not owned by a public authority,,https://pa.melton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=J7P34HKOK0000,not permissioned,,MBC/136/13,https://arcg.is/1CDCS,2017-12-31
Rydal Manor; Kirby Lane; Eye Kettleby,yes,,2017-12-31,,0.5,6,6,Ownership unknown by organisation; partially brownfield; western area is the landowners residence Rydale Manor; barn and stable block; rest is not brownfield. Outline planning permission for 6 new dwellings and renovation of existing barn and conversion of Rydal Manor into 2 dwellings with associated garaging (all matters reserved).,local-authority-eng:MEL,,2017-01-19,https://pa.melton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OGBOQTKOI8J00,permissioned,full planning permission,16/00838/OUT,https://arcg.is/1CDCS,2017-12-31
Top End Cattle Market; Melton Mowbray,yes,,2017-12-31,,0.79,26,26,Single ownership; MEL4 - Brownfield Site. Within built up area of town in close proximity to services and facilities and scores well in the site assessment scoring. Site is recommended for allocation.,local-authority-eng:MEL,owned by a public authority,,,not permissioned,,MBC/021/17,https://arcg.is/1CDCS,2017-12-31
3 Eastwell Hall; Hall Lane; Eastwell,yes,,2017-12-31,,1,3,3,Ownership unknown by organisation. Conversion of buildings to create three dwellings acceptable in principle. Access via the removal of the link building between properties 2 and 3,local-authority-eng:MEL,,2017-06-21,https://pa.melton.gov.uk/online-applications/applicationDetails.do?keyVal=OJ3OQIKOIID00&activeTab=summary,permissioned,full planning permission,17/00001/FUL,https://arcg.is/1CDCS,2017-12-31
