site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Hadrian Road (land south of Metro line), Wallsend",,,2017-12-22,,1.15,18,18,,local-authority-eng:NTY,mixed ownership,,,not permissioned,,1,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Cedar Grove Block, High Street East, Wallsend",,,2017-12-22,,0.7,32,19,,local-authority-eng:NTY,mixed ownership,,,not permissioned,,2,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Langdale Centre, Langdale Gardens, Howdon",,,2017-12-22,,1.43,39,39,,local-authority-eng:NTY,owned by a public authority,,,not permissioned,,38,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Land at Martin Road, Howdon",,,2017-12-22,,0.12,4,4,,local-authority-eng:NTY,not owned by a public authority,,,not permissioned,,48,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Howdon Green, Willington Quay",,,2017-12-22,,3.54,83,83,Residential development for 83 dwellings and details of proposed access,local-authority-eng:NTY,not owned by a public authority,2017-05-10,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=K9T2DZBH09700,permissioned,outline planning permission,58,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"West Chirton South, Norham Road, North Shields",yes,,2017-12-22,,28.95,400,400,Outline planning permission for the demolition existing buildings and redevelopment of the site for up to 400 residential dwellings including access.,local-authority-eng:NTY,mixed ownership,2016-06-17,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N81JHFBHGUN00,pending decision,outline planning permission,63,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
Backworth Business Park,yes,,2017-12-22,,4.73,65,65,,local-authority-eng:NTY,mixed ownership,,,not permissioned,,66,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Foxhunters Industrial Estate, Hillheads Road, Whitley Bay",,,2017-12-22,,2.72,61,61,,local-authority-eng:NTY,mixed ownership,,,not permissioned,,67,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"201-225 High Street East, Wallsend",,,2017-12-22,,0.16,5,5,,local-authority-eng:NTY,not owned by a public authority,,,not permissioned,,79,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Forest Hall Delivery Office, Station Road, Forest Hall",,,2017-12-22,,0.16,5,5,,local-authority-eng:NTY,not owned by a public authority,,,not permissioned,,81,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Tynemouth Jubilee Infirmary, Hawkey's Lane, North Shields",,,2017-12-22,,1.48,40,40,,local-authority-eng:NTY,owned by a public authority,,,not permissioned,,83,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Land at 26-37 Clive Street, North Shields",,,2017-12-22,,0.3,9,9,,local-authority-eng:NTY,not owned by a public authority,,,not permissioned,,85,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Percy Main Bus Depot, Norham Road, North Shields",,,2017-12-22,,0.45,12,12,,local-authority-eng:NTY,not owned by a public authority,,,not permissioned,,91,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Grieves Row, Dudley",yes,,2017-12-22,,1.94,88,53,,local-authority-eng:NTY,not owned by a public authority,,,not permissioned,,95,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Fenwick's Pit, East Holywell",yes,,2017-12-22,,4.43,18,18,Residential development for 18 dwellings,local-authority-eng:NTY,not owned by a public authority,2016-07-26,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NSYZYABH0GZ00,permissioned,full planning permission,112,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Former Grange Interiors Building, Bird Street, North Shields",yes,,2017-12-22,,0.54,32,32,Pending decision on outline application with all matters reserved for the development of 35no. residential units,local-authority-eng:NTY,mixed ownership,,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OGUF8XBH0I300,not permissioned,,116,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Land at Rising Sun adjacent to Sports Ground, Kings Road North, Wallsend",,,2017-12-22,,0.23,7,7,,local-authority-eng:NTY,owned by a public authority,,,not permissioned,,162,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Land at Coble Dene, Royal Quays, North Shields",,,2017-12-22,,0.24,7,7,,local-authority-eng:NTY,owned by a public authority,,,not permissioned,,198,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Site at Coquet Avenue (Former site of Marine Park and Cocquet Park First School), Whitley Bay",,,2017-12-22,,0.59,94,94,"Submission of reserved matters for development of 78 apartments and 16 houses including details of appearance, scale, parking, refuse storage and landscaping pursuant to outline planning permission reference 06/03648/OUT.",local-authority-eng:NTY,not owned by a public authority,2008-01-30,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=JS4ABDBH09700,permissioned,reserved matters approval,219,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Land south of Whitley Road, Benton",yes,,2017-12-22,,2.25,51,51,Outline application for erection of 51 dwellings and creation of an additional 18 drop off spaces on Tyneview Road,local-authority-eng:NTY,owned by a public authority,2012-06-06,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,outline planning permission,223,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Fleur De Lis, Dock Road Industrial Estate, North Shields",yes,,2017-12-22,,0.14,8,8,Proposed residential development of 8 no. three bedroom house,local-authority-eng:NTY,not owned by a public authority,2016-11-29,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OEH2HHBHH5400,permissioned,full planning permission,233,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Linskill Mews, Linskill Terrace, North Shields",,,2017-12-22,,0.17,9,9,Construction of 9no 3 bed three storey terraced townhouses including associated parking,local-authority-eng:NTY,not owned by a public authority,2012-07-11,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=LUE1BGBH09700,permissioned,outline planning permission,249,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Bawtry Court, Broomfield Avenue, Wallsend",,,2017-12-22,,0.22,13,13,The demolition of the existing sheltered scheme and building of 14 two bedroom flats,local-authority-eng:NTY,owned by a public authority,2007-12-27,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=JP8ISTBHEC000,permissioned,outline planning permission,260,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Land at Western Terrace, Dudley",,,2017-12-22,,0.3,15,9,"Erection of 20 residential dwellings, 5no 3 bedroom properties and 15no 2 bedroom properties with associated parking and landscaping",local-authority-eng:NTY,not owned by a public authority,2017-04-04,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OEBTIBBHIDG00,permissioned,full planning permission,261,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
