site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Tesco Car Park, Gainsborough",,,2019-03-31,,0.36,25,25,Allocated in CLLP,local-authority-eng:WLI,,,,not permissioned,,1,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Site between Wembley/Hickman Street, Gainsborough",,,2019-03-31,,0.81,34,34,Allocated in CLLP,local-authority-eng:WLI,,,,not permissioned,,2,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"West of Primrose Street, Gainsborough",,,2019-03-31,,2.22,83,83,Allocated in CLLP,local-authority-eng:WLI,,,,not permissioned,,3,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Land enclosed by Thornton Street, Bridge Sreet, King Street and Bridge Road, Gainsborough",,,2019-03-31,,0.58,25,25,Allocated in CLLP,local-authority-eng:WLI,,,,not permissioned,,4,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Middlefield School of Technology, Middlefield Lane, Gainsborough",yes,,2019-03-31,,3.98,112,112,Allocated in CLLP,local-authority-eng:WLI,,,,not permissioned,,5,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Sinclairs, Ropery Road, Gainsborough",,,2019-03-31,,3.03,114,114,Allocated in CLLP,local-authority-eng:WLI,,,,not permissioned,,6,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Land north of Northholme, Gainsborough",yes,,2019-03-31,,0.93,53,53,Allocated in CLLP,local-authority-eng:WLI,,2011-07-15,,permissioned,full planning permission,7,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Land between North Street and Church Street, Gainsborough",,,2019-03-31,,0.18,48,48,Allocated in CLLP - Site has planning permission (137322) for a temporary car park (3 years) which expires 10/04/2021,local-authority-eng:WLI,,,,not permissioned,,8,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Land at Spring Gardens (Marshalls Rise), Gainsborough",yes,,2019-03-31,,0.29,39,39,Allocated in CLLP,local-authority-eng:WLI,,2017-10-13,,permissioned,full planning permission,9,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2018-12-21
"Neighbourhood Plan Allocation D - All Saints Lane, Nettleham",yes,,2019-03-31,,0.38,30,30,Allocated in CLLP,local-authority-eng:WLI,,,,not permissioned,,10,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Gateway Riverside Housing Zone, Gainsborough",yes,,2019-03-31,,3.96,220,220,Allocated in CLLP,local-authority-eng:WLI,,2018-09-28,,permissioned,full planning permission,11,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Town Centre Riverside Housing Zone A, Gainsborough",,,2019-03-31,,1.72,73,73,Allocated in CLLP,local-authority-eng:WLI,,,,not permissioned,,12,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Town Centre Riverside Housing Zone B, Gainsborough",,,2019-03-31,,1.57,55,55,Allocated in CLLP,local-authority-eng:WLI,,,,not permissioned,,13,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Amp Rose Housing Zone, Gainsborough",,,2019-03-31,,2.28,78,78,Allocated in CLLP,local-authority-eng:WLI,,,,not permissioned,,14,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"The Old Scrapyard, Stow Road, Ingham",yes,,2019-03-31,,1.80,35,35,,local-authority-eng:WLI,,2016-02-10,,permissioned,full planning permission,15,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Land between 27 and 31 Union Street, Market Rasen",yes,,2019-03-31,,0.08,6,6,,local-authority-eng:WLI,,2016-04-22,,permissioned,full planning permission,16,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"22 North Marsh Road, Gainsborough",yes,,2019-03-31,,0.19,24,24,,local-authority-eng:WLI,,2016-07-28,,permissioned,full planning permission,19,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2018-12-21
"The Mill, Whitegate Hill, Caistor",yes,,2019-03-31,,0.65,8,8,,local-authority-eng:WLI,,2018-05-23,,permissioned,reserved matters approval,20,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2018-12-21
"Officers Mess, Brookenby Business Park, Binbrook, Brookenby",yes,,2019-03-31,,2.09,9,9,,local-authority-eng:WLI,,2018-05-09,,permissioned,reserved matters approval,22,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Gleadells Wharf, Bridge Street, Gainsborough",,,2019-03-31,,0.16,14,14,,local-authority-eng:WLI,,2016-02-04,,permissioned,full planning permission,23,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Peacock Hotel, Corringham Road, Gainsborough",yes,,2019-03-31,,0.80,23,23,,local-authority-eng:WLI,,2016-11-18,,permissioned,full planning permission,24,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"George Hotel, 15 Main Road, Langworth",yes,,2019-03-31,,2.02,23,23,,local-authority-eng:WLI,,2016-05-23,,permissioned,reserved matters approval,25,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Land At Sunnyside, Caenby Road, Glentham",yes,,2019-03-31,,0.37,6,6,,local-authority-eng:WLI,,2016-09-09,,permissioned,reserved matters approval,26,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"The Beckett School, Whites Wood Lane, Gainsborough",yes,,2019-03-31,,0.65,25,25,,local-authority-eng:WLI,,2019-01-23,,permissioned,reserved matters approval,27,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2018-12-21
"Land off, Hersey Road, Caistor",yes,,2019-03-31,,0.26,10,10,,local-authority-eng:WLI,,2018-03-05,,permissioned,full planning permission,29,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2018-12-21
"Queensway, Sturton by Stow",yes,,2019-03-31,,0.27,8,8,,local-authority-eng:WLI,,2018-09-10,,permissioned,full planning permission,30,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
