site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
Ebbsfleet Central including car parks and land east of International Way,,,2019-12-16,,31.92,3382,1000,,local-authority-eng:DAR,not owned by a public authority,2003-11-01,,permissioned,outline planning permission,1,https://www.dartford.gov.uk/__data/assets/pdf_file/0006/885849/001-Ebbsfleet-Central-BLR2019.pdf,2017-12-19
"Rear of Two Brewers, 33 Lowfield Street, Dartford DA1 1EW",yes,,2019-12-16,,0.04,11,11,,local-authority-eng:DAR,not owned by a public authority,2015-05-26,https://publicaccess.dartford.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N5BF90BQ9N000,permissioned,full planning permission,4,"https://www.dartford.gov.uk/__data/assets/pdf_file/0008/885851/004-Two-Brewers,-Lowfield-Street-BLR2019.pdf",2017-12-19
"St Marys Church Hall, Church Hill, Stone, DA9 9BP",yes,,2019-12-16,,0.1,6,6,,local-authority-eng:DAR,not owned by a public authority,2018-11-09,https://publicaccess.dartford.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PDGD5VBQ00L00,permissioned,reserved matters approval,5,https://www.dartford.gov.uk/__data/assets/pdf_file/0012/885855/005-St-Marys-Church-Hall-BLR2019.pdf,2017-12-19
"Land Adjacent To The Rear Of 1-12 Cressener Place, Burnham Road, Dartford",yes,,2019-12-16,,0.14,5,5,,local-authority-eng:DAR,not owned by a public authority,2016-12-16,https://publicaccess.dartford.gov.uk/online-applications/applicationDetails.do?keyVal=O7DEOJBQGO900&activeTab=summary,permissioned,full planning permission,8,https://www.dartford.gov.uk/__data/assets/pdf_file/0007/885859/008-Land-Adjacent-To-The-Rear-Of-1-12-Cressener-Place-BLR2019.pdf,2017-12-19
"Steam Crane Wharf, Lower Hythe Street, Dartford",,,2019-12-16,,0.48,30,19,,local-authority-eng:DAR,not owned by a public authority,,,not permissioned,,10,"https://www.dartford.gov.uk/__data/assets/pdf_file/0008/885860/010-Steam-Crane-Wharf,-Lower-Hythe-Street-BLR2019.pdf",2017-12-19
"Land East Of Lowfield Street, Dartford",yes,,2019-12-16,,2.55,548,548,,local-authority-eng:DAR,not owned by a public authority,2017-09-07,https://publicaccess.dartford.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OHKJDCBQMMW00,permissioned,full planning permission,14,https://www.dartford.gov.uk/__data/assets/pdf_file/0009/885861/014-Land-East-of-Lowfield-Street-BLR2019.pdf,2017-12-19
"Former Croxton and Garry Site, Tiltman Avenue, Swanscombe",yes,,2017-12-19,,2.57,220,220,,local-authority-eng:DAR,not owned by a public authority,2018-12-12,http://applications.ebbsfleetdc.org.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OVFNE0UAKRW00,permissioned,outline planning permission,15,https://www.dartford.gov.uk/__data/assets/pdf_file/0011/885863/015-Former-Croxton-and-Garry-BLR2019.pdf,2017-12-19
"Station Approach, Dartford DA1 1BP",,,2019-12-16,,1.76,274,106,,local-authority-eng:DAR,mixed ownership,,,not permissioned,,17,https://www.dartford.gov.uk/__data/assets/pdf_file/0004/885865/017-Station-Approach-BLR2019.pdf,2017-12-19
"Thames Europort (Dartford International Ferry Terminal), Clipper Boulevard, Dartford",yes,2019-12-16,2017-12-19,,17.93,,,,local-authority-eng:DAR,not owned by a public authority,,,not permissioned,,18,,2017-12-19
"Glentworth Club Site, 154 Lowfield Street, Dartford DA1 1JB",,,2019-12-16,,0.55,31,10,,local-authority-eng:DAR,not owned by a public authority,,,not permissioned,,19,https://www.dartford.gov.uk/__data/assets/pdf_file/0005/885866/019-Glentworth-Club-BLR2019.pdf,2017-12-19
