site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Land Bounded By Somerleyton Road, Coldharbour Lane And Railway",yes,,2017-12-15,,1.61,304,304,"Lambeth Local Plan allocated site (Site 14). �Demolition of existing buildings (with the exception of Carlton Mansions) and redevelopment to provide a residential-led, mixed use development comprising 304 new dwellings and non-residential uses including a theatre (Sui Generis) and employment, retail and community uses (Use class B1/D1/A1/A2).�",local-authority-eng:LBH,mixed ownership,2017-03-23,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NUTFJUBO0I800|https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NZRAVLBOJME00,permissioned,full planning permission,BLR001,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
Higgs Industrial Estate,yes,,2017-12-16,,0.5,124,124,Demolition of existing buildings. Mixed-use redevelopment providing five new build blocks (between 5 and 8 storeys in height) comprising class B1 and B2 floorspace and 124 residential units.,local-authority-eng:LBH,not owned by a public authority,2015-06-26,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NK2VQDBO0GI00,permissioned,full planning permission,BLR002,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
Fenwick Estate South,yes,,2017-12-17,,0.47,55,55,"Demolition of existing buildings and site clearance works to provide 55 social rented units (Use Class C3), a replacement community hall (Use Class D1), associated landscaping and parking.",local-authority-eng:LBH,owned by a public authority,2017-02-10,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NUTTNKBO0IB00,permissioned,full planning permission,BLR003,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
"The Livity School, Mandrell Road",yes,,2017-12-18,,0.47,43,43,Re-development of the site comprising the demolition of existing buildings and the erection of a 3 storey development to provide 43 residential units,local-authority-eng:LBH,owned by a public authority,2014-03-24,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MAWRH6BO05N00,permissioned,full planning permission,BLR004,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
12-20 Wyvil Road,yes,,2017-12-19,,0.38,278,278,"Part of Lambeth Local Plan allocated site (Site 11). �Demolition of existing buildings and redevelopment of the site to provide a residential-led mixed-use development in a part 1/part 5/part 35/36 storey building to the North/North East and an 8 storey building to the South (fronting onto Wyvil Road) comprising 278 residential units, office and retail floorspace.�",local-authority-eng:LBH,not owned by a public authority,2017-09-06,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OCIUJFBO0GI00,permissioned,full planning permission,BLR005,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
93 King's Avenue,yes,,2017-12-20,,0.29,5,5,"Redevelopment of the land to the rear of Peter's Court involving relocation of the sub-station, the demolition of the existing disused garages and erection of five three-storey, 3 bedroom mews-style houses.",local-authority-eng:LBH,not owned by a public authority,2017-06-27,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ONMVRYBOGKM00,permissioned,full planning permission,BLR006,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
"Olive Morris House, 18 Brixton Hill",yes,,2017-12-21,,0.28,74,74,"�Demolition of the existing council offices and the erection of a part 6, part 7 storey building comprising 74 residential units (Use Class C3) along with commercial floorspace (flexible A1/B1/D1/D2 use classes) at ground and basement levels plus an energy centre, car and cycle parking and a service bay at basement level, roof level installations and associated works.�",local-authority-eng:LBH,owned by a public authority,2015-10-15,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NMX66CBOJX200,permissioned,full planning permission,BLR007,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
363-365 Clapham Road,yes,,2017-12-22,,0.23,28,28,"�Demolition of 365 Clapham Road, and warehouse structure and northern wing of 363 Clapham Road. Refurbishment of Listed Building at 363 Clapham Road including mansard roof extension to create 1 x 1 bed, 1 x 2 bed and 1 x 3 bed flats. Erection of replacement buildings to either side of 363 Clapham Road to provide a further 2 x 1 bed, 3 x 2 bed, 2 x 3 bed residential units. Erection of new building to the rear of 363-365 Clapham Road providing B1 office space at ground and lower ground floor level. Upper floors to comprise 6 x 1 bed, 10 x 2 bed, and 2 x 3 bed flats.�",local-authority-eng:LBH,not owned by a public authority,2016-08-19,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O347R3BOHZ300,permissioned,full planning permission,BLR008,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
"Texaco Garage, 36-46 Albert Embankment",yes,,2017-12-23,,0.19,166,166,"Demolition of all structures associated with the petrol filling station and redevelopment of the site to provide a residential-led, mixed use development, comprising the retention and refurbishment of Vintage house and development of ground plus 24 storeys in the form of two towers, linked at ground to fifth floor, and consisting of retail/restaurant use (Use Class A1/A3), office (Use Class B1) and 166 residential units.",local-authority-eng:LBH,not owned by a public authority,2017-10-13,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O2AEV2BO0GI00,permissioned,full planning permission,BLR009,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
340A Clapham Road,yes,,2017-12-24,,0.19,62,62,"�Redevelopment of the site involving demolition of existing building and erection of a building up to 9 storeys in height plus basement level to provide offices (Use Class B1) at lower ground and ground floor, a cafe (Use Class A1) at ground floor and 62 residential units (Use Class C3) at upper floor levels.�",local-authority-eng:LBH,not owned by a public authority,2017-06-21,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OH7S7DBOFLE00,permissioned,full planning permission,BLR010,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
18-18A Palace Road,yes,,2017-12-25,,0.13,11,11,Redevelopment of the site involving the demolition of the existing former Care Home and erection of a 3 storey building to provide 11 residential units,local-authority-eng:LBH,not owned by a public authority,2017-09-15,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ODWH22BOIPH00,permissioned,full planning permission,BLR011,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
151 Palace Road,yes,,2017-12-26,,0.09,9,9,"�Demolition of the existing B1 unit and erection of a part 3 and part 4 storey building to provide a B1 unit at basement and ground level, and 9 residential dwellings above.�",local-authority-eng:LBH,not owned by a public authority,2017-09-20,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OQEK6SBOKBH00,permissioned,full planning permission,BLR012,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
"Canterbury Hotel, 8 Canterbury Crescent",yes,,2017-12-27,,0.08,37,37,Part of Lambeth Local Plan allocated site (Site 15). Demolition of the existing public house and redevelopment to provide a mixed-use development comprising 37 residential dwellings (Use Class C3) and flexible commercial floorspace (A1/A2/A3/B1/D1) in a nine storey building.,local-authority-eng:LBH,not owned by a public authority,2016-11-29,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NZCSTDBO0I800,permissioned,full planning permission,BLR013,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
85 Brixton Hill,yes,,2017-12-28,,0.06,7,7,Erection of a six storey building including lower ground level and mansard roof to provide seven self contained flats.,local-authority-eng:LBH,not owned by a public authority,2017-06-15,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OEBQZMBOJAK00,permissioned,full planning permission,BLR014,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
Land rear of 77-79 Westow Hill,yes,,2017-12-29,,0.04,8,8,Erection of a part two storey and part three storey building to provide 8 self-contained residential units with associated communal amenity area.,local-authority-eng:LBH,not owned by a public authority,2015-08-03,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NP20P2BOMEG00,permissioned,full planning permission,BLR015,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
"Rising Sun House, 133 Vauxhall Street",yes,,2017-12-30,,0.03,9,9,Demolition of existing building and the erection of six storey block providing a total of 15 Class C3 units.,local-authority-eng:LBH,not owned by a public authority,2017-10-13,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OFRL0QBOL9X00,permissioned,full planning permission,BLR016,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
44 Clapham Common South Side,yes,,2017-12-31,,1.41,293,293,"�Demolition of the existing buildings and the redevelopment of the site incorporating the erection of six buildings ranging from four to 10 storeys above ground plus landscaped gardens and public square. Mixed-use scheme comprises a waste transfer facility at basement level, B1 office accommodation, A3 caf� and up to 297 residential units.�",local-authority-eng:LBH,not owned by a public authority,,,pending decision,,BLR017,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
260 Knight's Hill,,,2017-12-15,,0.11,6,6,"�Erection of two 3-storey terraces with basement level and roof terrace level, providing 6 dwelling houses together with an attached commercial unit to one of the terraces.�",local-authority-eng:LBH,not owned by a public authority,,,pending decision,,BLR018,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
"John Vetch House, Elms Road",yes,,2017-12-15,,0.09,7,7,Demolition of the existing building and garages for the construction of a residential building with 15 dwellings with highway access and associated works,local-authority-eng:LBH,not owned by a public authority,,,pending decision,,BLR019,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
2-7 Stockwell Green,yes,,2017-12-15,,0.09,24,24,"�Demolition of the existing building and erection of a new building between two and six storeys in height, to provide a mixed-use scheme comprising of retail floorspace at ground floor and 24 residential units comprising of 10 x 1 bed, 10 x 2 beds and 4 x 3 beds across the development and associated landscaping.�",local-authority-eng:LBH,not owned by a public authority,,,pending decision,,BLR020,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
"Land to rear of Viking House, Denmark Road",yes,,2017-12-15,,0.08,8,8,Erection of a 2 storey building to provide 4 x 3 bed dwelling houses and 4 x 1 bed apartments to land at the rear of Viking House.,local-authority-eng:LBH,not owned by a public authority,,,pending decision,,BLR021,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
184 Larkhall Lane,yes,,2017-12-15,,0.06,14,14,"�Demolition of existing vacant public house and erection of a five storey (plus basement) building to provide a ground floor/basement commercial unit (Use Class A1, A2, A3 or A4) and 14 residential units above.�",local-authority-eng:LBH,not owned by a public authority,,,pending decision,,BLR022,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
143-149 Railton Road,,,2017-12-15,,0.04,10,10,Demolition of existing vacant health centre and erection of 3 storey building with additional mansard roof level to provide 10 self-contained flats (Use Class C3).,local-authority-eng:LBH,not owned by a public authority,,,pending decision,,BLR023,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
2-4 Hercules Road,yes,,2017-12-15,,0.02,6,6,Demolition of 2 existing properties (2 & 4 Hercules Road) and construction of eight storey development with two basement levels to create flexible retail use at ground and basement level and 8 residential dwellings above.,local-authority-eng:LBH,not owned by a public authority,,,pending decision,,BLR024,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
Central Hill Estate,,,2017-12-15,,6.86,503,503,Redevelopment of Central Hill Estate to provide additional homes.,local-authority-eng:LBH,owned by a public authority,,,not permissioned,,BLR025,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
Cressingham Gardens,,,2017-12-15,,4.2,159,159,Redevelopment of Cressingham Gardens Estate to provide additional homes.,local-authority-eng:LBH,owned by a public authority,,,not permissioned,,BLR026,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
Fenwick Estate,,,2017-12-15,,3.15,236,236,Redevelopment of Fenwick Estate to provide additional homes.,local-authority-eng:LBH,owned by a public authority,,,not permissioned,,BLR027,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
Westbury Estate,,,2017-12-15,,2.81,232,232,Lambeth Housing Zone site. Redevelopment of Westbury Estate to provide additional homes.,local-authority-eng:LBH,owned by a public authority,,,not permissioned,,BLR028,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
Hemans Estate,,,2017-12-15,,1.91,21,21,Lambeth Housing Zone site. Redevelopment of Hemans Estate to provide additional homes.,local-authority-eng:LBH,owned by a public authority,,,not permissioned,,BLR029,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
South Lambeth Estate,,,2017-12-15,,1.86,219,219,Lambeth Housing Zone site. Redevelopment of South Lambeth Estate to provide additional homes.,local-authority-eng:LBH,owned by a public authority,,,not permissioned,,BLR030,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
"Tesco, 263-275 Kennington Lane",,,2017-12-15,,1.31,248,248,Mixed use Redevelopment to include replacement supermarket,local-authority-eng:LBH,not owned by a public authority,,,not permissioned,,BLR031,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
Knight's Walk Estate,,,2017-12-15,,0.93,60,60,Lambeth Housing Zone site. Redevelopment of Knight's Walk Estate to provide additional homes.,local-authority-eng:LBH,owned by a public authority,,,not permissioned,,BLR032,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
Pope's Road,,,2017-12-15,,0.47,150,150,"Part of Lambeth Local Plan allocated site (Site 15) and Lambeth Housing Zone site. Mixed-use development with retail, commercial, community, leisure, residential and town centre car and cycle parking.",local-authority-eng:LBH,owned by a public authority,,,not permissioned,,BLR033,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
Fitch Court,,,2017-12-15,,0.34,18,18,Lambeth Housing Zone site. Redevelopment of Fitch Court to provide additional homes.,local-authority-eng:LBH,owned by a public authority,,,not permissioned,,BLR034,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
