site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Hadrian Road (land south of Metro line), Wallsend",,,2020-04-15,,1.15,18,18,,local-authority-eng:NTY,mixed ownership,,,not permissioned,,1,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Cedar Grove Block, High Street East, Wallsend",,,2020-04-15,,0.7,32,19,,local-authority-eng:NTY,mixed ownership,,,not permissioned,,2,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Langdale Centre, Langdale Gardens, Howdon",,,2020-04-15,,1.43,39,39,,local-authority-eng:NTY,owned by a public authority,,,not permissioned,,38,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Land at Martin Road, Howdon",,31/12/2019,2020-04-15,,0.12,4,4,,local-authority-eng:NTY,not owned by a public authority,,,not permissioned,,48,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Howdon Green, Willington Quay",,,2020-04-15,,3.54,83,83,,local-authority-eng:NTY,not owned by a public authority,2017-05-10,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=K9T2DZBH09700,permissioned,outline planning permission,58,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"West Chirton South, Norham Road, North Shields",yes,,2020-04-15,,28.95,399,399,,local-authority-eng:NTY,mixed ownership,2019-07-17,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?keyVal=PJVZ2YBHH3B00&activeTab=summary,permissioned,reserved matters approval,63,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
Backworth Business Park,yes,,2020-04-15,,4.73,65,65,,local-authority-eng:NTY,mixed ownership,,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=PB181QBHIUW00,pending decision,,66,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Foxhunters Industrial Estate, Hillheads Road, Whitley Bay",,,2020-04-15,,2.72,61,61,,local-authority-eng:NTY,mixed ownership,,,not permissioned,,67,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"201-225 High Street East, Wallsend",,,2020-04-15,,0.16,5,5,,local-authority-eng:NTY,not owned by a public authority,,,not permissioned,,79,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Forest Hall Delivery Office, Station Road, Forest Hall",,,2020-04-15,,0.16,5,5,,local-authority-eng:NTY,not owned by a public authority,,,not permissioned,,81,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Tynemouth Jubilee Infirmary, Hawkey's Lane, North Shields",,,2020-04-15,,1.48,40,40,,local-authority-eng:NTY,owned by a public authority,,,not permissioned,,83,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Land at 26-37 Clive Street, North Shields",,,2020-04-15,,0.3,50,50,,local-authority-eng:NTY,not owned by a public authority,2019-07-09,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=PPBR07BH0GZ00,permissioned,full planning permission,85,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Percy Main Bus Depot, Norham Road, North Shields",,,2020-04-15,,0.45,12,12,,local-authority-eng:NTY,not owned by a public authority,,,not permissioned,,91,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Grieves Row, Dudley",yes,,2020-04-15,,1.94,88,53,,local-authority-eng:NTY,not owned by a public authority,,,not permissioned,,95,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Fenwick's Pit, East Holywell",yes,,2020-04-15,,4.43,18,18,,local-authority-eng:NTY,not owned by a public authority,2016-07-26,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NSYZYABH0GZ00,permissioned,full planning permission,112,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Former Grange Interiors Building, Bird Street, North Shields",yes,,2020-04-15,,0.54,35,35,,local-authority-eng:NTY,mixed ownership,2018-01-03,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OGUF8XBH0I300,not permissioned,full planning permission,116,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Land at Rising Sun adjacent to Sports Ground, Kings Road North, Wallsend",,,2020-04-15,,0.23,7,7,,local-authority-eng:NTY,owned by a public authority,,,not permissioned,,162,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Land at Coble Dene, Royal Quays, North Shields",,31/12/2019,2020-04-15,,0.24,7,7,,local-authority-eng:NTY,owned by a public authority,,,not permissioned,,198,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Site at Coquet Avenue (Former site of Marine Park and Cocquet Park First School), Whitley Bay",,,2020-04-15,,0.59,94,94,,local-authority-eng:NTY,not owned by a public authority,,,not permissioned,,219,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Land south of Whitley Road, Benton",yes,31/12/2019,2020-04-15,,2.25,51,51,,local-authority-eng:NTY,owned by a public authority,2012-06-06,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,outline planning permission,223,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Fleur De Lis, Dock Road Industrial Estate, North Shields",yes,15/04/2020,2020-04-15,,0.14,8,8,,local-authority-eng:NTY,not owned by a public authority,2016-11-29,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OEH2HHBHH5400,permissioned,full planning permission,233,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Linskill Mews, Linskill Terrace, North Shields",,,2020-04-15,,0.17,9,9,,local-authority-eng:NTY,not owned by a public authority,2017-07-21,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=OPYB88BHGHE00,permissioned,outline planning permission,249,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Bawtry Court, Broomfield Avenue, Wallsend",,31/12/2019,2020-04-15,,0.22,13,13,,local-authority-eng:NTY,owned by a public authority,2007-12-27,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=JP8ISTBHEC000,permissioned,outline planning permission,260,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Pioneer Social Club, Seghill Road Ends, Dudley",,,2020-04-15,,0.15,12,5,allocated for ?residential development for the purposes of section 59A of the Town and Country Planning Act 1990 (permission in principle),local-authority-eng:NTY,not owned by a public authority,2020-04-14,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?keyVal=PWZW3UBH09D00&activeTab=summary,permissioned,permission in principle,266,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
Stephenson Industrial Estate East,,,2020-04-15,,4.88,110,110,,local-authority-eng:NTY,mixed ownership,,,not permissioned,,277,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
