site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
Plot ND6 Temple Quay North Temple Gate Bristol,yes,,2018-12-19,,7.36,78,78,78 dwellings,local-authority-eng:BST,mixed ownership,2009-07-07,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=0101606P,permissioned,reserved matters approval,01/01606/P,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=0101606P,2017-12-19
Adjacent 1 South Liberty Lane Ashton Bristol BS3 2SJ,yes,,2018-12-19,,0.06,4,4,4 dwellings,local-authority-eng:BST,,2004-01-29,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=0102588F,permissioned,full planning permission,01/02588/F,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=0102588F,2018-12-19
Former Courage Brewery Counterslip Redcliff Bristol,yes,,2018-12-19,,2.28,201,201,201 dwellings,local-authority-eng:BST,mixed ownership,2006-11-21,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=HYMYT5DNDD000,permissioned,full planning permission,04/02177/F,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=HYMYT5DNDD000,2017-12-19
Redfield Post Office Chalks Road Bristol BS5 9EW,yes,,2018-12-19,,0.04,8,8,8 dwellings,local-authority-eng:BST,,2007-10-15,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=I4G002DN2D000,permissioned,reserved matters approval,04/03995/P,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=I4G002DN2D000,2018-12-19
Land At Wapping Wharf Wapping Road Bristol,yes,,2018-12-19,,4.19,468,468,468 dwellings,local-authority-eng:BST,mixed ownership,2016-12-23,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=I520C3DNGC000,permissioned,reserved matters approval,04/04126/P,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=I520C3DNGC000,2017-12-19
3-5 Bushy Park Bristol BS4 2EG,yes,,2018-12-19,,0.10,8,8,8 dwellings,local-authority-eng:BST,,2011-07-22,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=I9H9KLDN98000,permissioned,full planning permission,04/05284/F,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=I9H9KLDN98000,2018-12-19
81-93 Fishponds Road Eastville Bristol BS5 6PN,yes,,2017-12-19,,0.10,21,21,21 Dwellings,local-authority-eng:BST,,2006-02-13,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=IPZY0IDN3J000,permissioned,full planning permission,05/04521/F,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=IPZY0IDN3J000,2017-12-19
100 - 110 North Street Bedminster Bristol BS3 1HF,yes,,2018-12-19,,0.07,22,22,22 dwellings,local-authority-eng:BST,,2007-03-21,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=JAXIXDDNIM000,permissioned,full planning permission,06/05456/F,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=JAXIXDDNIM000,2018-12-19
The Harbour Centre 100 Gloucester Road Avonmouth Bristol BS11 9AQ,yes,,2018-12-19,,0.31,23,23,23 dwellings,local-authority-eng:BST,,2010-02-04,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=JD6Z9ADNIM000,permissioned,reserved matters approval,07/00557/P,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=JD6Z9ADNIM000,2018-12-19
Former Avonmouth Bus Depot Avonmouth Road Bristol BS11 9LP,yes,,2018-12-19,,0.20,23,23,23 dwellings,local-authority-eng:BST,,2012-11-21,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=JIFTQCDN0DD00,permissioned,full planning permission,07/02235/F,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=JIFTQCDN0DD00,2018-12-19
