site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"55-77 Lichfield Street, Wolverhampton City Centre",,,2018-05-22,,0.122,,,,local-authority-eng:WLV,,,,Other Commitment,,P53,,
"Springvale Sports and Social Club, Millfields Road",,,2018-05-22,,2.857,,,,local-authority-eng:WLV,,,,Other Commitment,,P54,,
"Telecom House, Church Street, Wolverhampton City Centre",,,2018-05-22,,0.55,,,,local-authority-eng:WLV,,,,permissioned,,39360,,
Land at Sweetbriar Road / Pump Street,,,2018-05-22,,0.16,,,,local-authority-eng:WLV,,,,permissioned,,39340,,
"Fmr Ettingshall Primary School, Herbert Street",,,2018-05-22,,1.1,,,,local-authority-eng:WLV,,,,permissioned,,39330,,
"Fmr Bilston Leisure Centre, Prouds Lane, Bilston",,,2018-05-22,,0.89,,,,local-authority-eng:WLV,,,,permissioned,,39320,,
"The Manse, Leacroft Avenue",,,2018-05-22,,0.34,,,,local-authority-eng:WLV,,,,pending decision,,39310,,
Garage Site Behind 23 To 33 Beach Avenue Wolverhampton West Midlands,,,2018-05-22,,0.1,,,,local-authority-eng:WLV,,,,pending decision,,39280,,
Land Formerly 37 - 39 Brooklands Parade Wolverhampton West Midlands WV1 2ND,,,2018-05-22,,0.1,,,,local-authority-eng:WLV,,,,permissioned,,39260,,
Medical Massage 37 Thornley Street Wolverhampton West Midlands WV1 1JP,,,2018-05-22,,0.006,,,,local-authority-eng:WLV,,,,permissioned,,39230,,
651 Stafford Road Wolverhampton West Midlands WV10 6QG,,,2018-05-22,,0.03,,,,local-authority-eng:WLV,,,,permissioned,,39220,,
National Childrens Home 83 Compton Road Wolverhampton West Midlands WV3 9QH,,,2018-05-22,,0.2,,,,local-authority-eng:WLV,,,,permissioned,,39200,,
73 Bellamy Lane Wolverhampton WV11 1LH,,,2018-05-22,,0.04,,,,local-authority-eng:WLV,,,,permissioned,,39170,,
Primeco Limited 66 - 70 Lichfield Street City Centre Wolverhampton West Midlands WV1 1DB,,,2018-05-22,,0.1,,,,local-authority-eng:WLV,,,,permissioned,,39140,,
138 Penn Road Wolverhampton WV3 0DZ,,,2018-05-22,,0.03,,,,local-authority-eng:WLV,,,,permissioned,,39110,,
Land Between 79A Harrowby Road And Harrowby Road Allotment Site Fordhouses WV10 6EP,,,2018-05-22,,0.1,,,,local-authority-eng:WLV,,,,permissioned,,39100,,
Little Orchard Perton Road Wolverhampton West Midlands WV6 8DP,,,2018-05-22,,0.37,,,,local-authority-eng:WLV,,,,permissioned,,39070,,
10 Lever Street Wolverhampton West Midlands WV2 1AL,,,2018-05-22,,0.01,,,,local-authority-eng:WLV,,,,permissioned,,39050,,
38 Rupert Street Wolverhampton West Midlands WV3 9NS,,,2018-05-22,,0.057,,,,local-authority-eng:WLV,,,,permissioned,,39030,,
Flat 1 110 Hurst Road Lanesfield Wolverhampton West Midlands WV14 9EU,,,2018-05-22,,0.03,,,,local-authority-eng:WLV,,,,permissioned,,39020,,
Bramerton Childrens Residential Home 17 Bramerton Close Wolverhampton West Midlands WV11 1RT,,,2018-05-22,,0.04,,,,local-authority-eng:WLV,,,,permissioned,,39010,,
The Former British Legion Club Penn Road Wolverhampton West Midlands WV4 5LZ,,,2018-05-22,,0.4,,,,local-authority-eng:WLV,,,,permissioned,,39000,,
The Otter And Vixen Old Fallings Lane Wolverhampton West Midlands WV10 8BN,,,2018-05-22,,0.246,,,,local-authority-eng:WLV,,,,pending decision,,38990,,
"Land adj 12 Lloyd Hill, Lower Penn",,,2018-05-22,,0.1,,,,local-authority-eng:WLV,,,,permissioned,,38970,,
Northwood Park Lodge Northwood Park Road Wolverhampton West Midlands WV10 8EU,,,2018-05-22,,0.05,,,,local-authority-eng:WLV,,,,permissioned,,38960,,
133 Park Street South Wolverhampton West Midlands WV2 3JF,,,2018-05-22,,0.02,,,,local-authority-eng:WLV,,,,permissioned,,38950,,
368 - 370 Dudley Road Wolverhampton WV2 3AY,,,2018-05-22,,0.04,,,,local-authority-eng:WLV,,,,permissioned,,38940,,
Upper Floors 27 And 28 Market Street Wolverhampton West Midlands WV1 3AG,,,2018-05-22,,0.02,,,,local-authority-eng:WLV,,,,permissioned,,38930,,
23 Chetwynd Road Wolverhampton West Midlands WV2 4NZ,,,2018-05-22,,0.02,,,,local-authority-eng:WLV,,,,permissioned,,38920,,
Woodend Post Office 80 Lower Prestwood Road Wolverhampton West Midlands WV11 1JP,,,2018-05-22,,0.02,,,,local-authority-eng:WLV,,,,permissioned,,38910,,
"Hotel rear of The Old White Rose PH, 20 Lichfield St, Bilston WV14 0EB",,,2018-05-22,,0.03,,,,local-authority-eng:WLV,,,,permissioned,,38900,,
1-3 St Johns Street Wolverhampton WV1 3NS,,,2018-05-22,,0.01,,,,local-authority-eng:WLV,,,,permissioned,,38890,,
"Land North And South Of Lane Street, Bradley WV14 8UP",,,2018-05-22,,0.392,,,,local-authority-eng:WLV,,,,pending decision,,38880,,
19 Raynor Road Wolverhampton West Midlands WV10 9QY,,,2018-05-22,,0.05,,,,local-authority-eng:WLV,,,,permissioned,,38870,,
13 - 15 Connaught Road Stowlawn Wolverhampton West Midlands WV14 6NU,,,2018-05-22,,0.05,,,,local-authority-eng:WLV,,,,permissioned,,38860,,
"58-60 Lichfield Street, City Centre",,,2018-05-22,,0.03,,,,local-authority-eng:WLV,,,,permissioned,,38490,,
Land North West Of Bilston Urban Village Medical Centre Bankfield Road Wolverhampton West Midlands,,,2018-05-22,,0.01,,,,local-authority-eng:WLV,,,,permissioned,,38830,,
187 Leicester Street Wolverhampton West Midlands WV6 0PP,,,2018-05-22,,0.01,,,,local-authority-eng:WLV,,,,permissioned,,38820,,
436 Lichfield Road Wolverhampton West Midlands WV11 3HF,,,2018-05-22,,0.05,,,,local-authority-eng:WLV,,,,permissioned,,38810,,
"Mount Court, Mount Road",,,2018-05-22,,0.1,,,,local-authority-eng:WLV,,,,Completed During 2016/17,,38500,,
5 Waterloo Road Wolverhampton WV1 4DJ,,,2018-05-22,,0.03,,,,local-authority-eng:WLV,,,,permissioned,,38800,,
Former Wood Hayes Pub Land North Of 434 Wood End Road Wolverhampton WV11 1YG,,,2018-05-22,,0.122,,,,local-authority-eng:WLV,,,,permissioned,,38790,,
76 Finchfield Road West Wolverhampton West Midlands WV3 8BA,,,2018-05-22,,0.26,,,,local-authority-eng:WLV,,,,permissioned,,38780,,
Land Behind 77 To 91 D'Urberville Road Wolverhampton West Midlands,,,2018-05-22,,0.228,,,,local-authority-eng:WLV,,,,permissioned,,38770,,
5 Grove Lane Wolverhampton West Midlands WV6 8NH,,,2018-05-22,,0.08,,,,local-authority-eng:WLV,,,,permissioned,,38760,,
"Samson And Lion (land), Newbolt Road Wolverhampton West Midlands WV14 7NP",,,2018-05-22,,0.06,,,,local-authority-eng:WLV,,,,permissioned,,38752,,
466 Dudley Road Wolverhampton West Midlands WV2 3AF,,,2018-05-22,,0.02,,,,local-authority-eng:WLV,,,,permissioned,,38740,,
New Cross Car Park Wolverhampton Road Heath Town Wolverhampton West Midlands,,,2018-05-22,,0.45,,,,local-authority-eng:WLV,,,,pending decision,,38730,,
Building Behind 50 Lichfield Street Wheelers Fold Wolverhampton West Midlands,,,2018-05-22,,0.01,,,,local-authority-eng:WLV,,,,permissioned,,38720,,
"The Angel Car Park, High Street, Wednesfield",,,2018-05-22,,0.05,,,,local-authority-eng:WLV,,,,permissioned,,38710,,
88A Great Brickkiln Street Wolverhampton WV3 0PU,,,2018-05-22,,0.02,,,,local-authority-eng:WLV,,,,permissioned,,38690,,
Martin And Co 11 Waterloo Road Wolverhampton West Midlands WV1 4DJ,,,2018-05-22,,0.06,,,,local-authority-eng:WLV,,,,permissioned,,38680,,
29 Vicarage Road All Saints Wolverhampton WV2 1BZ,,,2018-05-22,,0.006,,,,local-authority-eng:WLV,,,,permissioned,,38670,,
Coniston House Chapel Ash Wolverhampton WV3 0UD,,,2018-05-22,,0.159,,,,local-authority-eng:WLV,,,,permissioned,,38660,,
25 Waterloo Road Wolverhampton WV1 4DJ,,,2018-05-22,,0.027,,,,local-authority-eng:WLV,,,,permissioned,,38650,,
Whiteheads Building 26A Snow Hill Wolverhampton,,,2018-05-22,,0.03,,,,local-authority-eng:WLV,,,,permissioned,,38640,,
5 Stockwell Road,,,2018-05-22,,0.44,,,,local-authority-eng:WLV,,,,permissioned,,38630,,
Land rear of 45 Rookery Road,,,2018-05-22,,0.47,,,,local-authority-eng:WLV,,,,pending decision,,38620,,
"31 Lichfield Street, Bilston",,,2018-05-22,,0.03,,,,local-authority-eng:WLV,,,,Completed During 2016/17,,38590,,
125 Parkfield Road,,,2018-05-22,,0.08,,,,local-authority-eng:WLV,,,,Completed During 2016/17,,38570,,
Land adj 31 Coalway Road,,,2018-05-22,,0.25,,,,local-authority-eng:WLV,,,,Completed During 2016/17,,38560,,
109 Warstones Road,,,2018-05-22,,0.02,,,,local-authority-eng:WLV,,,,Completed During 2016/17,,38550,,
3 Waterloo Road,,,2018-05-22,,0.01,,,,local-authority-eng:WLV,,,,Completed During 2016/17,,38540,,
Land corner of Stafford St and Bone Mill Lane WV1 1NT,,,2018-05-22,,0.61,,,,local-authority-eng:WLV,,,,permissioned,,38610,,
"Corpus Christi RC Church, Griffiths Drive",,,2018-05-22,,0.01,,,,local-authority-eng:WLV,,,,Completed During 2016/17,,38580,,
6-7 Victoria Passage,,,2018-05-22,,0.1,,,,local-authority-eng:WLV,,,,Completed During 2016/17,,38510,,
"43 Lichfield Road, Wednesfield",,,2018-05-22,,0.1,,,,local-authority-eng:WLV,,,,Completed During 2016/17,,38520,,
"Oxley Moor House and Oxley Day Centre, Probert Road",,,2018-05-22,,0.865,,,,local-authority-eng:WLV,,,,Other Commitment,,D80,,
"Stowheath Day/Childrens Centres, Stowheath Lane",,,2018-05-22,,1.134,,,,local-authority-eng:WLV,,,,Other Commitment,,D78,,
"Fmr Warstones Resource Centre, Warstones Drive",,,2018-05-22,,0.42,,,,local-authority-eng:WLV,,,,Other Commitment,,D76,,
"Fmr Merry Hill House, Langley Road",,,2018-05-22,,0.36,,,,local-authority-eng:WLV,,,,Other Commitment,,D75,,
"Fmr Nelson Mandela House, Whitburn Close",,,2018-05-22,,0.6,,,,local-authority-eng:WLV,,,,Other Commitment,,D74,,
"Fmr Woden Resource Centre, Vicarage Road",,,2018-05-22,,0.45,,,,local-authority-eng:WLV,,,,Other Commitment,,D73,,
School Road,,,2018-05-22,,0.23,,,,local-authority-eng:WLV,,,,Other Commitment,,D72,,
Pointon Close,,,2018-05-22,,0.17,,,,local-authority-eng:WLV,,,,Other Commitment,,D71,,
Townson Road,,,2018-05-22,,0.07,,,,local-authority-eng:WLV,,,,Other Commitment,,D70,,
Batmans Hill Road,,,2018-05-22,,0.06,,,,local-authority-eng:WLV,,,,Other Commitment,,D69,,
17 Ryan Avenue,,,2018-05-22,,0.07,,,,local-authority-eng:WLV,,,,Other Commitment,,D68,,
Cavendish Road,,,2018-05-22,,0.12,,,,local-authority-eng:WLV,,,,Other Commitment,,D67,,
Arnhem Close,,,2018-05-22,,0.11,,,,local-authority-eng:WLV,,,,Other Commitment,,D66,,
Central Avenue,,,2018-05-22,,0.1,,,,local-authority-eng:WLV,,,,Other Commitment,,D65,,
Waddensbrook Lane,,,2018-05-22,,0.26,,,,local-authority-eng:WLV,,,,Other Commitment,,D64,,
Bradley Road,,,2018-05-22,,0.06,,,,local-authority-eng:WLV,,,,Other Commitment,,D63,,
Hylstone Crescent,,,2018-05-22,,0.17,,,,local-authority-eng:WLV,,,,Other Commitment,,D62,,
Foster Road,,,2018-05-22,,0.13,,,,local-authority-eng:WLV,,,,Other Commitment,,D61,,
Wilkinson Avenue,,,2018-05-22,,0.05,,,,local-authority-eng:WLV,,,,Other Commitment,,D60,,
Park View Road,,,2018-05-22,,0.11,,,,local-authority-eng:WLV,,,,Other Commitment,,D59,,
Fairway Green Site B,,,2018-05-22,,0.04,,,,local-authority-eng:WLV,,,,Other Commitment,,D58,,
Fairway Green Site A,,,2018-05-22,,0.04,,,,local-authority-eng:WLV,,,,Other Commitment,,D57,,
Whiston Avenue,,,2018-05-22,,0.1,,,,local-authority-eng:WLV,,,,Other Commitment,,D56,,
Moat Green Avenue,,,2018-05-22,,0.16,,,,local-authority-eng:WLV,,,,Other Commitment,,D55,,
84-94 Pond Lane,,,2018-05-22,,0.09,,,,local-authority-eng:WLV,,,,Other Commitment,,D54,,
Bradley Lane,,,2018-05-22,,0.09,,,,local-authority-eng:WLV,,,,Other Commitment,,D53,,
Abingdon Road Site B,,,2018-05-22,,0.06,,,,local-authority-eng:WLV,,,,Other Commitment,,D52,,
Abingdon Road Site A,,,2018-05-22,,0.09,,,,local-authority-eng:WLV,,,,Other Commitment,,D51,,
