site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Land to the north of Laurel Terrace, Laurel Terrace, Abbeytown",,,2017-12-20,,0.28,10,5,,local-authority-eng:ALL,not owned by a public authority,,,Not Permissioned,,BR/ABB/01H,http://mapping.allerdale.gov.uk/myallerdale.aspx,2017-12-20
"Land at former Broughton Moor RNAD, Moor Road, Broughton Moor",yes,,2017-12-20,,4.3,30,24,24 selfbuild plots and demolition of 3 buildings,local-authority-eng:ALL,owned by a public authority,2015-05-06,http://planning.allerdale.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=123998,permissioned,outline planning permission,BR/BRM/01H,http://mapping.allerdale.gov.uk/myallerdale.aspx,2017-12-20
"Former Flimby Garage, Church Road, Flimby",,,2017-12-20,,0.17,6,5,,local-authority-eng:ALL,not owned by a public authority,,http://planning.allerdale.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=108925,Not Permissioned,,BR/FLI/01H,http://mapping.allerdale.gov.uk/myallerdale.aspx,2017-12-20
"Land at William Street, Great Clifton",yes,,2017-12-20,,0.52,18,15,18 dwellings,local-authority-eng:ALL,not owned by a public authority,2012-09-19,http://planning.allerdale.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=96500,permissioned,full planning permission,BR/GRC/02H,http://mapping.allerdale.gov.uk/myallerdale.aspx,2017-12-20
"Land adjacent to Rodway, West Lane, Kirkbride",yes,,2017-12-20,,0.6,19,5,19 dwellings,local-authority-eng:ALL,not owned by a public authority,2010-11-12,http://planning.allerdale.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=77252,permissioned,full planning permission,BR/KBR/01H,http://mapping.allerdale.gov.uk/myallerdale.aspx,2017-12-20
"Land at Ropery Street, Maryport",yes,,2017-12-20,,0.8,20,12,Use of land for residential development,local-authority-eng:ALL,not owned by a public authority,2014-06-16,http://planning.allerdale.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=114404,permissioned,outline planning permission,BR/MAR/01H,http://mapping.allerdale.gov.uk/myallerdale.aspx,2017-12-20
"Land at The Netherdales, Ellenborough Road, Maryport",yes,,2017-12-20,,0.3,9,5,9 dwellings,local-authority-eng:ALL,not owned by a public authority,2015-05-14,http://planning.allerdale.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=124486,permissioned,outline planning permission,BR/MAR/02H,http://mapping.allerdale.gov.uk/myallerdale.aspx,2017-12-20
"Land to the east of Marine Road, Maryport",,,2017-12-20,,1.53,50,30,,local-authority-eng:ALL,owned by a public authority,,,not permissioned,,BR/MAR/03H,http://mapping.allerdale.gov.uk/myallerdale.aspx,2017-12-20
"Prospect Garage, Main Road (A596), Prospect",,,2017-12-20,,0.6,20,12,,local-authority-eng:ALL,not owned by a public authority,,http://planning.allerdale.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=152298,Not Permissioned,,BR/PRO/01H,http://mapping.allerdale.gov.uk/myallerdale.aspx,2017-12-20
"Former Fisons Factory, Skiddaw Street, Silloth",yes,,2017-12-20,,8.7,254,170,Residential development (first phase - 22 dwellings),local-authority-eng:ALL,not owned by a public authority,2011-05-23,http://planning.allerdale.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=74376,permissioned,outline planning permission,BR/SIL/01H,http://mapping.allerdale.gov.uk/myallerdale.aspx,2017-12-20
"Former Brookside Works, Brookside, Wigton",yes,,2017-12-20,,0.1,10,5,9 flats and 1 dwelling,local-authority-eng:ALL,not owned by a public authority,2015-05-27,http://planning.allerdale.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=116991,permissioned,full planning permission,BR/WIG/02H,http://mapping.allerdale.gov.uk/myallerdale.aspx,2017-12-20
"Former Workington Fire Station, Guard Street, Workington",,,2017-12-20,,0.5,50,12,,local-authority-eng:ALL,owned by a public authority,,,Not Permissioned,,BR/WOR/01H,http://mapping.allerdale.gov.uk/myallerdale.aspx,2017-12-20
