site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Blakelock Road, Blakelock Rd, Foggy Furze Ward",yes,,2019-12-11,,0.6,15,10,Former colleague buildings.,local-authority-eng:HPL,owned by a public authority,,,not permissioned,,BR1 - Blakelock Road,,2017-12-17
"Brenda Road East, Brenda Rd, Seaton Ward",yes,,2019-12-11,,4.72,140,100,A mix of industrial buildings a hardstanding. Land is included in a minded to grant permission which is still awaiting the s106 to be signed.. http://eforms.hartlepool.gov.uk:7777/portal/servlets/ApplicationSearchServlet,local-authority-eng:HPL,not owned by a public authority,,,not permissioned,,BR2 - Brenda Road East,,2017-12-17
"Britmag Central, Old Cemetery Rd, Headland&Harbour",yes,,2019-12-11,,3.6,69,69,Former industrial site which was remediated. No building work on site yet.. 6 2 bed. 27 3 bed. 21 4 bed. 15 bungalows.,local-authority-eng:HPL,not owned by a public authority,2016-12-22,http://eforms.hartlepool.gov.uk:7777/portal/servlets/ApplicationSearchServlet?PKID=114627,permissioned,reserved matters approval,BR3 - Britmag Central,,2017-12-17
"Britmag North, Old Cemetery Rd, De Bruce Ward",yes,,2019-12-11,,21.0,373,373,Former industrial site which was remediated. Persimmon developing site. Circa 80 dwellings completed.. 20 2 bed. 224 3 bed. 129 4 bed.,local-authority-eng:HPL,not owned by a public authority,2014-12-18,http://eforms.hartlepool.gov.uk:7777/portal/servlets/ApplicationSearchServlet?PKID=102944,permissioned,reserved matters approval,BR4 - Britmag North,,2017-12-17
"Britmag South, Old Cemetery Rd, Headland&Harbour",yes,,2019-12-11,,1.2,41,41,Former industrial site which was remediated.. 5 2 bed. 19 3 bed. 10 4 bed. 7 bungalows.,local-authority-eng:HPL,not owned by a public authority,2016-12-22,http://eforms.hartlepool.gov.uk:7777/portal/servlets/ApplicationSearchServlet?PKID=114627,permissioned,reserved matters approval,BR5 - Britmag South,,2017-12-17
"Former Ambulance Station, Elwick Road",yes,,2019-12-11,,0.28,,,"Former ambulance station and paddock, paddock not included on spreadsheet. Heritage asset, ideally for conversion.",local-authority-eng:HPL,owned by a public authority,,,not permissioned,,BR6 - The Former Ambulance Station,,2019-12-11
"Close Farm Cottage, Wolviston, Rural West Ward",yes,,2019-12-11,,3.01,3,3,Conversion of old farm buildings. Work ongoing.. Conversion of existing outbuildings into 3 dwellings,local-authority-eng:HPL,not owned by a public authority,2012-10-26,http://eforms.hartlepool.gov.uk:7777/portal/servlets/ApplicationSearchServlet?PKID=95894,permissioned,full planning permission,BR7 - Close Farm Cottage,,2017-12-17
"FormerBriertonRoadSite, Brierton Lane, Manor House",yes,,2019-12-11,,1.39,110,100,Previously had permission for 109 houses but application has expired. Recent interest in site.,local-authority-eng:HPL,owned by a public authority,,,not permissioned,,BR8 - Former Brierton Road Site,,2017-12-17
"9, 11 Hutton Avenue, Hartlepool",yes,,2019-12-11,,0.049,13,13,Currently has permission for 13.. Change of use of former care home to 13no. residential flats.,local-authority-eng:HPL,not owned by a public authority,2017-09-14,http://eforms.hartlepool.gov.uk:7777/portal/servlets/ApplicationSearchServlet?PKID=114093,permissioned,full planning permission,"BR9 - 9,11 Hutton Avenue",,2019-12-11
"Former King Oswy Public House, KingOswy Dr,DeBruce",yes,,2019-12-11,,0.25,8,8,Former pub site. Development started but has stalled.. 8 semi detached bungalows,local-authority-eng:HPL,not owned by a public authority,2017-05-15,http://eforms.hartlepool.gov.uk:7777/portal/servlets/ApplicationSearchServlet?PKID=117039,permissioned,full planning permission,BR10 - Former King Oswy Public House,,2017-12-17
"Former Mas Agraa Palace, Lynn St, Headland&Harbour",yes,,2019-12-11,,0.45,9,6,Previously had permission which has expired.,local-authority-eng:HPL,owned by a public authority,,,not permissioned,,BR11 - Former Mas Agraa Palace,,2017-12-17
"GardenCentre&AmenityBlock,TanfieldRd, Foggy Furze",yes,,2019-12-11,,0.47,12,8,Former garden centre.,local-authority-eng:HPL,owned by a public authority,,,not permissioned,,BR12 - Garden Centre & Amenity Block,,2017-12-17
"Hartlepool Hospital, Holdforth Rd, De Bruce Ward",yes,,2019-12-11,,3.38,100,80,Vacant land at hospital site. Previously had permission but expired.,local-authority-eng:HPL,not owned by a public authority,,,not permissioned,,BR13 - Hartlepool Hospital,,2017-12-17
"InspirationsCoffeeHouse, Tanfield RD, Foggy Furze",yes,,2019-12-11,,0.41,10,6,Former coffee shop and council offices,local-authority-eng:HPL,owned by a public authority,,,not permissioned,,BR14 - Inspirations Coffee House,,2017-12-17
"MarinaBlocks28 32 31, SlakeTerraceHeadland&Harbour",yes,,2019-12-11,,0.4,76,76,3 apartment blocks on brownfield site at south east corner of Marina. 3 apartment blocks. Block 28 for 20 apartments. Block 31 approx 20 apartments. Block 32 for 36 apartments.,local-authority-eng:HPL,not owned by a public authority,2003-11-11,http://eforms.hartlepool.gov.uk:7777/portal/servlets/ApplicationSearchServlet?PKID=18762,permissioned,full planning permission,BR16 - Marina Slake Terrace_Blocks 28 32 31,,2017-12-17
"North Farm, Elwick, Rural West Ward",yes,,2019-12-11,,0.73,14,14,Conversion of old farm buildings - land owner looking to incorporate into wider development with allocation in the Local Plan. Change of Use and new build for 14 dwellings,local-authority-eng:HPL,not owned by a public authority,2016-04-06,http://eforms.hartlepool.gov.uk:7777/portal/servlets/ApplicationSearchServlet?PKID=103970,permissioned,full planning permission,BR17 - North Farm,,2017-12-17
"Oxford Road, Oxford Rd, Foggy Furze Ward",yes,,2019-12-11,,0.74,25,15,Site with commercial buildings which owner put forward in SHLAA,local-authority-eng:HPL,not owned by a public authority,,,not permissioned,,BR18 - Oxford Road,,2017-12-17
Seaton Coach Park,yes,,2019-12-11,,1.25,50,30,Car Park at Seaton Carew. Improvements to car park currently being considered.,local-authority-eng:HPL,owned by a public authority,,,not permissioned,,BR20 - Seaton Coach Park,,2017-12-17
"SouthofMaritimeAv, MaritimeAv, Headland&HabourWard",yes,,2019-12-11,,5.11,400,400,Brownfield vacant site to south of Marina.. apartment blocks,local-authority-eng:HPL,not owned by a public authority,2003-11-11,http://eforms.hartlepool.gov.uk:7777/portal/servlets/ApplicationSearchServlet?PKID=18762,permissioned,full planning permission,BR21 - South of Maritime Avenue,,2017-12-17
"Surtees Street, Headland&Harbour Ward",yes,,2019-12-11,,0.6,20,15,Former Focus Building,local-authority-eng:HPL,owned by a public authority,,,not permissioned,,BR22 - Surtees Street,,2017-12-17
"The Woodcutter Pub, Kingsley Av, Rift House Ward",yes,,2019-12-11,,0.29,14,14,14 new dwellings on former pub site. Development has commenced on part of site.. 14 new dwellings on former pub site,local-authority-eng:HPL,not owned by a public authority,2015-02-03,http://eforms.hartlepool.gov.uk:7777/portal/servlets/ApplicationSearchServlet?PKID=99687,permissioned,full planning permission,BR23 - The Woodcutter Pub,,2017-12-17
