site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
Saffron Walden CB10 1EF,yes,,2020-03-28,,,,,,,not owned by a public authority,,,Not permissioned,,UBLR/17/001,,
"Rear of 10-12 Bridge Street, Saffron Walden CB10 1BU",yes,,2020-03-28,,,,,,,not owned by a public authority,,,Not permissioned,,UBLR/17/002,,
"Parsonage Downs, Great Dunmow, CM6 2AU",yes,,2020-03-28,,,,,,,owned by a public authority,,,Not permissioned,,UBLR/17/003,,
"Bardfield Road, Thaxted, CM6 2LW",yes,,2020-03-28,,,,,,,not owned by a public authority,,,Not permissioned,,UBLR/17/004,,
"Thaxted Road, Saffron Walden CB11 3AA",yes,,2020-03-28,,,,,,,not owned by a public authority,,,Not permissioned,,UBLR/17/005,,
"14 Stortford Road, Great Dunmow, CM6 1DF",yes,,2020-03-28,,,,,,,not owned by a public authority,,,Not permissioned,,UBLR/17/007,,
"New Street, Great Dunmow, CM6 1BH",yes,,2020-03-28,,,,,,,owned by a public authority,,,Not permissioned,,UBLR/17/008,,
"Thaxted Road, Saffron Walden, CB10 2UQ",yes,,2020-03-28,,,,,,,not owned by a public authority,,,permissioned,,UBLR/17/009,,
"Royston Road, Wendens Ambo, CB11 4JX",yes,,2020-03-28,,,,,,,not owned by a public authority,,,permissioned,,UBLR/17/011,,
"Chelmsford Road, White Roding CM6 1RF",yes,,2020-03-28,,,,,,,not owned by a public authority,,,permissioned,,UBLR/17/013,,
"Clapton Hall Lane, Dunmow CM6 1JF",yes,,2020-03-28,,,,,,,not owned by a public authority,,,permissioned,,UBLR/17/016,,
"Dunmow Road, Stebbing CM6 3LF",yes,,2020-03-28,,,,,,,not owned by a public authority,,,permissioned,,UBLR/17/017,,
"Stortford Road, Great Dunmow, Essex",yes,,2020-03-28,,,,,,,not owned by a public authority,,,permissioned,,UBLR/19/001,,
"Haslers Lane, Dunmow, CM6 1XS",yes,,2020-03-28,,,,,,,not owned by a public authority,,,permissioned,,UBLR/19/002,,
"Start Hill, Stane Street, Great Hallingbury, Hertfordshire CM22 7TA",yes,,2020-03-28,,,,,,,not owned by a public authority,,,permissioned,,UBLR/19/003,,
"Hammonds Road, Hatfield Broad Oak, CM22 7JN",yes,,2020-03-28,,,,,,,not owned by a public authority,,,permissioned,,UBLR/19/004,,
"Station Road, Little Dunmow, CM6 3HF",yes,,2020-03-28,,,,,,,not owned by a public authority,,,permissioned,,UBLR/19/005,,
"Thaxted Road, Saffron Walden, Essex",yes,,2020-03-28,,,,,,,not owned by a public authority,,,permissioned,,UBLR/19/006,,
"Copthall Lane, Thaxted, CM6 2LG",yes,,2020-03-28,,,,,,,not owned by a public authority,,,permissioned,,UBLR/19/007,,
1 mile north of Debden,,,2020-03-28,,,,,,,owned by a public authority,,,Not permissioned,,UBLR/19/009,,
