site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
The Larks Nest Larkfield Road Nuthall,yes,,2018-12-18,,0.07,6,6,Change use of public house (Class A4) to dwelling house (Class C3) to include six flats and erect two storey rear/side extension (revised scheme),local-authority-eng:BRT,not owned by a public authority,2016-01-06,,permissioned,full planning permission,SHLAA/00690/AVA,http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00690%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00690%2FAVA,2017-12-13
Car Park On Corner Of The Poplars Wollaton Road Beeston,yes,,2018-12-18,,0.03,10,10,Construct 10 apartments,local-authority-eng:BRT,not owned by a public authority,2015-08-28,,permissioned,full planning permission,SHLAA/00761/AVA,http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00761%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00761%2FAVA,2017-12-13
22 High Road Chilwell,yes,,2018-12-18,,0.09,9,9,"Outline application to demolish existing buildings and construct 9 N° one and two bed apartments, in one, two and three storey blocks with 7 N° parking spaces and communal gardens with all matters reserved except layout",local-authority-eng:BRT,not owned by a public authority,2015-01-14,,permissioned,outline planning permission,SHLAA/00634/AVA,http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00634%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00634%2FAVA,2017-12-13
Units 12-15 Pinfold Trading Estate Nottingham Road Stapleford,yes,,2018-12-18,,1.09,10,10,"Hybrid planning application comprising: Full Application to construct shop (Class A1) including solar panels and with associated car parking, access and landscaping on a 0.78 ha site:. Hybrid planning application comprising: Outline Application to construct dwellings (Class C3) on 0.29 ha, with all matters reserved apart from the access.",local-authority-eng:BRT,not owned by a public authority,2016-02-26,,permissioned,outline planning permission,SHLAA/00051/AVA,http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00051%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00051%2FAVA,2017-12-13
"Moults Yard, 68-70 Nottingham Road, Stapleford",yes,,2018-12-18,,0.32,15,15,Construct 15 N° dwellings,local-authority-eng:BRT,not owned by a public authority,2015-03-03,,permissioned,full planning permission,SHLAA/00012/AVA,http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00012%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00012%2FAVA,2017-12-13
Myford Machine Tools Wilmot Lane Beeston,yes,,2018-12-18,,1.79,47,47,"13/00003/OUT - Redevelopment and change use of existing industrial site for residential/commercial uses (to include Classes A1; A2; A3; A4; A5; B1(a); C2; C3; and D1 uses) - now lapsed. Construct 47 dwellings, retail unit (Class A1), car parking and highway infrastructure",local-authority-eng:BRT,not owned by a public authority,,,pending decision,,SHLAA/00408/AVA,http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00408%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00408%2FAVA,2017-12-13
Beeston Business Park Technology Drive Beeston,yes,,2018-12-18,,19.55,310,310,Hybrid planning application comprising: Outline application for up to 310 residential units and community building with means of access included (all other matters reserved).,local-authority-eng:BRT,not owned by a public authority,2017-11-03,,permissioned,outline planning permission,SHLAA/00499/AVA,http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00499%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00499%2FAVA,2017-12-13
Former Bartons Bus Depot Queens Road West Chilwell,yes,,2018-12-18,,2.23,250,250,"Full permission for 29 dwellings, outline permission for up to 221 further dwellings. Hybrid planning application comprising: Full application to construct 29 dwellings, including access, associated road infrastructure, car parking and landscaping. Outline application (including access) with some matters reserved to construct up to 221 dwellings and units with flexible uses (Classes D1, D2, A1, A2, A3, A4 and A5), following demolition of buildings",local-authority-eng:BRT,not owned by a public authority,2017-11-17,,permissioned,other,SHLAA/00195/AVA,http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00195%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00195%2FAVA,2017-12-13
The Boots Company Beeston site,yes,,2018-12-18,,14.68,400,400,"This site crossed the boundary with Nottingham City Council therefore the number of dwellings in the description is not expected to be delivered in its entirety within Broxtowe.. Outline application for mixed-use development comprising: up to 82,000sqm of employment floorspace, comprising office units (B1a); research and development (B1b); industrial process (B1c); general industrial (B2); storage and distribution (B8); residential institutions (C2); non-residential institutions (D1); up to 2,500sqm retail & food/drink (A1, A2, A3, A4 and A5); up to 675 residential units (C3); and associated works including demolition of existing structures; earthworks; remediation; access; car parking; pedestrian and cycle routes; open space; utilities; sustainable drainage systems",local-authority-eng:BRT,not owned by a public authority,,,pending decision,,SHLAA/00237/AVA,http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00237%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00237%2FAVA,2017-12-13
Chetwynd Barracks Chetwynd Road Chilwell,,,2018-12-18,,94.57,500,500,"Owned by the Ministry of Defence, a private body has ownership interest in the existing on-site residential units to the north.. Residential led allocation in the emerging Local Plan (not yet allocated).",local-authority-eng:BRT,mixed ownership,,,not permissioned,,SHLAA/00193/AVA,http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00193%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00193%2FAVA,2017-12-13
