site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Ameys Garage & No. 10 Oakfield Street, , Blandford (Forum and St. Mary), DT11 7EX",yes,,2017-12-15,,0.05,10,10,"Erect building to provide 10 No. two bedroom flats; form vehicular and pedestrian access, 6 No. parking spaces, bin and cycle stores.",local-authority-eng:NDO,not owned by a public authority,2015-03-03,http://planning.north-dorset.gov.uk/online-applications/,permissioned,full planning permission,2-03-0126,http://explorer.geowessex.com/nddc/shlaa?basemap=26&x=388776&y=106555&epsg=27700&zoom=20,2017-12-15
"Nordon Council offices, Salisbury Road, Blandford (Forum and St. Mary),",yes,,2017-12-15,,1.35,40,30,,local-authority-eng:NDO,owned by a public authority,,http://planning.north-dorset.gov.uk/online-applications/,not permissioned,,2-03-0608,http://explorer.geowessex.com/nddc/shlaa?basemap=26&x=388894&y=107122&epsg=27700&zoom=20,2017-12-15
"Blandford Brewery, , Blandford (Forum and St. Mary), DT11 9LS",yes,,2017-12-15,,7.35,180,180,"Develop land by the erection of residential development, comprising a mix of new buildings and restoration, extension and conversion of existing brewery buildings.",local-authority-eng:NDO,not owned by a public authority,2017-02-17,http://planning.north-dorset.gov.uk/online-applications/,permissioned,outline planning permission,2-03-0168,http://explorer.geowessex.com/nddc/shlaa?basemap=26&x=388664&y=105884&epsg=27700&zoom=20,2017-12-15
"Adult Learning Centre and St Martins Residential Home, Queens Street, Gillingham,",yes,,2017-12-15,,0.64,60,60,Extra care facility.,local-authority-eng:NDO,owned by a public authority,,http://planning.north-dorset.gov.uk/online-applications/,not permissioned,,2-20-0221,http://explorer.geowessex.com/nddc/shlaa?basemap=26&x=380694&y=126667&epsg=27700&zoom=20,2017-12-15
"Land adj Shorts Lane/Luton Mews, , Blandford (Forum and St. Mary), DT11 7GE",yes,,2017-12-15,,0.04,10,5,,local-authority-eng:NDO,not owned by a public authority,,http://planning.north-dorset.gov.uk/online-applications/,not permissioned,,2-03-0601,http://explorer.geowessex.com/nddc/shlaa?basemap=26&x=388335&y=106312&epsg=27700&zoom=20,2017-12-15
"Bourton Mill, , Bourton,",yes,,2017-12-15,,1.07,35,35,"Site under construction.. Erect 35 No. dwellings with garaging, parking and associated landscaping.",local-authority-eng:NDO,not owned by a public authority,2016-07-20,http://planning.north-dorset.gov.uk/online-applications/,permissioned,reserved matters approval,2-05-0061,http://explorer.geowessex.com/nddc/shlaa?basemap=26&x=377471&y=130972&epsg=27700&zoom=20,2017-12-15
"Churchbury House, Queen Street, Gillingham,",yes,,2017-12-15,,0.04,6,6,Change of use and conversion of building.,local-authority-eng:NDO,not owned by a public authority,2017-11-03,http://planning.north-dorset.gov.uk/online-applications/,permissioned,full planning permission,2-20-0240,http://explorer.geowessex.com/nddc/shlaa?basemap=26&x=380662&y=126856&epsg=27700&zoom=20,2017-12-15
"ATS Garage, Westfields New Road, Shaftesbury,",yes,,2017-12-15,,0.25,28,28,"Demolish existing ATS garage, erect 28 No. sheltered apartments for the elderly including communal facilities, access, car parking and landscaping.",local-authority-eng:NDO,not owned by a public authority,2017-03-10,http://planning.north-dorset.gov.uk/online-applications/,permissioned,full planning permission,2-45-0258,http://explorer.geowessex.com/nddc/shlaa?basemap=26&x=386157&y=123147&epsg=27700&zoom=20,2017-12-15
"Handley Cross Farm, Pidney, Pidney & Wonston, DT10 2EB",yes,,2017-12-15,,0.64,17,17,Erect 14 No.dwellings (demolish existing buildings) and 3 No. live-work units,local-authority-eng:NDO,not owned by a public authority,2017-07-19,http://planning.north-dorset.gov.uk/online-applications/,permissioned,full planning permission,2-24-0486,http://explorer.geowessex.com/nddc/shlaa?basemap=26&x=374806&y=108906&epsg=27700&zoom=20,2017-12-15
"Former livestock market site & railway gardens, , Sturminster Newton,",yes,,2017-12-15,,0.19,28,28,"Site is being marketed.. Erect 28 No flats, car park,",local-authority-eng:NDO,not owned by a public authority,2006-11-30,http://planning.north-dorset.gov.uk/online-applications/,permissioned,reserved matters approval,2-54-0042,http://explorer.geowessex.com/nddc/shlaa?basemap=26&x=378790&y=114308&epsg=27700&zoom=20,2017-12-15
"Former Case And Sons Site, The Street, Motcombe,",yes,,2017-12-15,,0.28,10,10,"Erect 10 No. dwellings with garages, car port and building to enclose existing electricity sub-station. Form vehicular access and car parking.",local-authority-eng:NDO,not owned by a public authority,2015-11-13,http://planning.north-dorset.gov.uk/online-applications/,permissioned,full planning permission,2-41-0601,http://explorer.geowessex.com/nddc/shlaa?basemap=26&x=384740&y=125984&epsg=27700&zoom=20,2017-12-15
"1 Bimport, , Shaftesbury, SP7 8AT",yes,,2017-12-15,,0.06,5,5,Under construction.. Change of use and conversion of young person's community centre to restaurant with hot food takeaway on ground floor with function rooms in basement (Classes A3 and A5).,local-authority-eng:NDO,not owned by a public authority,2016-05-12,http://planning.north-dorset.gov.uk/online-applications/,permissioned,full planning permission,2-45-0605,http://explorer.geowessex.com/nddc/shlaa?basemap=26&x=386153&y=123031&epsg=27700&zoom=20,2017-12-15
"Scats Countrystore, North Street, Winterborne Kingston, Winterborne Kingston, DT11 9AZ",yes,,2017-12-15,,0.47,18,18,"Under construction.. Demolition of existing buildings. Redevelop land with 18 No. dwellings, garages and associated parking (66 spaces in total).",local-authority-eng:NDO,not owned by a public authority,2016-08-19,http://planning.north-dorset.gov.uk/online-applications/,permissioned,full planning permission,2-70-0004,http://explorer.geowessex.com/nddc/shlaa?basemap=26&x=386111&y=97894&epsg=27700&zoom=20,2017-12-15
"The Outlook and The Old Bakery, High Street, Spetisbury,",yes,,2017-12-15,,0.41,6,6,"Under construction.. Erect 8 No. dwellings, form 2 No. new vehicular and pedestrian accesses and form 21 No. parking spaces to create 23 parking spaces in total, (demolish 2 No dwellings and outbuildings).",local-authority-eng:NDO,not owned by a public authority,2015-12-14,http://planning.north-dorset.gov.uk/online-applications/,permissioned,full planning permission,2-48-0003,http://explorer.geowessex.com/nddc/shlaa?basemap=26&x=391147&y=102508&epsg=27700&zoom=20,2017-12-15
"Williams Nursery, Station Road, Stalbridge, DT10 2RQ",yes,,2017-12-15,,0.28,6,6,"Flat complete, 6 dwellings not started.. Erect 6 No. dwellings, and create 1 No. one bedroom apartment.",local-authority-eng:NDO,not owned by a public authority,2013-07-08,http://planning.north-dorset.gov.uk/online-applications/,permissioned,full planning permission,2-49-0410,http://explorer.geowessex.com/nddc/shlaa?basemap=26&x=373599&y=117965&epsg=27700&zoom=20,2017-12-15
"Clarkes Yard, Bath Road, Sturminster Newton,",yes,,2017-12-15,,0.55,29,29,Develop land by the erection of 29 No. dwellings with associated parking and access.,local-authority-eng:NDO,not owned by a public authority,2017-08-04,http://planning.north-dorset.gov.uk/online-applications/,permissioned,outline planning permission,2-54-0166,http://explorer.geowessex.com/nddc/shlaa?basemap=26&x=378549&y=114304&epsg=27700&zoom=20,2017-12-15
