site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
153-161 The Broadway SW19,,,2020-01-10,,0,,,Extensions involving two additional floors and rear to provide additional offices.,local-authority-eng:MRT,,1998-08-05,,permissioned,full planning permission,96P0219,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
Land At Batsworth Road CR4 3BX,,,2020-01-10,,0,,,Redevelopment of site by the erection of 4 light industrial units.,local-authority-eng:MRT,,2000-12-14,,permissioned,full planning permission,99P1419,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
122-136 London Road CR4 3LB,,,2020-01-10,,0.61,25,25,REDEVELOPMENT TO PROVIDE 25 RESIDENTIAL UNITS (COMPRISING 21 HOUSES AND A BLOCK OF 4 FLATS) WITH NEW ACCESS ROAD AND ASSOCIATED PARKING PROVISION (OUTLINE APPLICATION),local-authority-eng:MRT,,2004-06-10,,permissioned,outline planning permission,01/P0805,https://maps.london.gov.uk/brownfield-site-register/,2017-12-31
32 - 34 South Lodge Avenue CR4 1LU,,,2020-01-10,,0.03,5,5,ERECTION OF 2 STOREY EXTENSION ABOVE THE EXISTING SHOP T0 PROVIDE 5 RESIDENTIAL UNITS WITH OFF STREET PARKING PROVISION,local-authority-eng:MRT,,2001-11-15,,permissioned,full planning permission,01/P1596,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
Land Adjacent To 4 Caesars Walk CR4 4LE,,,2020-01-10,,0.34,11,11,RENEWAL OF CONSENT DATED 5/2/98 ( REF: 97/P0066 ) FOR THE ERECTION OF 11 X 2 STOREY (THREE BEDROOM) HOUSES WITH ASSOCIATED OFF-STREET CAR PARKING.,local-authority-eng:MRT,,2003-11-12,,permissioned,full planning permission,03/P0216,https://maps.london.gov.uk/brownfield-site-register/,2017-12-31
18 Lancaster Gardens SW19 5DG,,,2020-01-10,,0.08,,,DEMOLITION OF EXISTING HOUSE AND ERECTION OF A TWO-STOREY HOUSE WITH ADDITIONAL ACCOMMODATION IN THE ROOFSPACE AND A SINGLE-STOREY ADDITION TO THE REAR AND SIDE (OUTLINE APPLICATION).,local-authority-eng:MRT,,2004-12-05,,permissioned,outline planning permission,03/P2198,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
Land At Rear And At 34 Coombe Lane SW20,,,2020-01-10,,0.04,5,5,"PARTIAL DEMOLITION OF EXISTING STRUCTURES; GROUND AND FIRST FLOOR REAR EXTENSIONS, FOUR STOREY REAR EXTENSION (TOP FLOOR OF ACCOMMODATION IN MANSARD STYLE ROOF) WITH UNDERCROFT PARKING (6 PARKING SPAC",local-authority-eng:MRT,,2006-04-05,,permissioned,full planning permission,05/P0164,https://maps.london.gov.uk/brownfield-site-register/,2019-01-28
"Segas House, 49 Western Road CR4 3ED",,,2020-01-10,,3.97,137,137,Redevelopment to provide a mixed use scheme comprising 1.74 hectares of residential (Use Class within Class C3) and community uses (Use Class within Class D1 - 600 sq.m); 1.78 hectares of employment (,local-authority-eng:MRT,,2009-07-28,,permissioned,outline planning permission,06/P0984,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
222-224 The Broadway SW19 1RY,,,2020-01-10,,0,14,14,Redevelopment to provide 14 flats and a retail or food & drink outlet on ground floor. Also provision of 3 off-street car parking spaces at rear.,local-authority-eng:MRT,,2000-12-14,,permissioned,full planning permission,07/P0055,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
22 Deer Park Road SW19 3TL,,,2020-01-10,,0.26,,,DEMOLITION OF EXISTING SINGLE STOREY WAREHOUSE EXTENSION TO FRONT OF BUILDING. CONSTRUCTION OF A THREE STOREY WAREHOUSE (USE WITHIN CLASS B8) (GROSS FLOOR AREA 2859 SQ.M) ON SAME FOOTPRINT. 20 PARKIN,local-authority-eng:MRT,,2010-07-29,,permissioned,full planning permission,07/P1133,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
"143 Part Of Ground, 1st & 2nd Floors Cannon Hill Lane SW20 9BZ",,,2020-01-10,,0.02,5,5,"PART SINGLE, PART DOUBLE STOREY REAR EXTENSION AND THIRD STOREY/MANSARD ROOF EXTENSION TO PROVIDE 3 X 1 BEDROOM AND 2 STUDIO FLATS WITH THE RETENTION OF TWO RETAIL UNITS AT GROUND FLOOR LEVEL, ALTERAT",local-authority-eng:MRT,,2011-06-24,,permissioned,full planning permission,08/P0258,https://maps.london.gov.uk/brownfield-site-register/,2017-12-31
