site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"JD Hotchkiss Ltd, London Road, West Kingsdown",,,2018-12-01,,0.55018521,31,31,"ST2-69 Potential contamination issues to be resolved. As the site is in existing employment use it would need to be demonstrated that the use is no longer suitable, feasible or viable and that there is no reasonable prospect of the continued business use in the longer term.",local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,BFR139,https://maps.sevenoaks.gov.uk/brownfield_register/,2018-12-01
"College Road Nurseries, College Road, Hextable",yes,,2018-12-01,,0.26804312,9,9,ST2-58 It is important to retain the gap between Hextable and Swanley and to avoid encroachment here. Overall the southern portion of the site containing permanent buildings and glasshouses is considered able to accommodate development. Site reduced to previously developed land only.,local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,BFR133,https://maps.sevenoaks.gov.uk/brownfield_register/,2018-12-01
"Highways Depot, Tonbridge Road, Chiddingstone Causeway",yes,,2018-12-01,,0.20853708,8,8,ST2-46 Consideration should be given to any potential noise impact from the railway line.,local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,BFR126,https://maps.sevenoaks.gov.uk/brownfield_register/,2018-12-01
"Wested Farm, Eynsford Road, Crockenhill",yes,,2018-12-01,,0.6623111,10,10,ST2-49 Additional information on site layout and massing is required alongside an assessment of the impact on the listed buildings.,local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,BFR128,https://maps.sevenoaks.gov.uk/brownfield_register/,2018-12-01
"Gills Farm, Gills Road, South Darenth",yes,,2018-12-01,,0.92175833,16,16,"Some agricultural use remains on site. ST2-63 Support retention of the existing tourist accommodation and commercial workshops as part of the wider scheme. If a wholly residential scheme is proposed, as part of the site is in existing employment and tourist accommodation use, it would need to be demonstrated that the use is no longer suitable, feasible or viable and that there is no reasonable prospect of the continued business use in the longer term.",local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,BFR135,https://maps.sevenoaks.gov.uk/brownfield_register/,2018-12-01
"Kent & Surrey Driving Range, Crouch House Road, Edenbridge",yes,,2018-12-01,,0.14216261,5,5,ST2-31 The loss of sports facility buildings need to be addressed. Site has been reduced to previously developed land.,local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,BFR120,https://maps.sevenoaks.gov.uk/brownfield_register/,2018-12-01
"Oak Tree Farm, London Road, Halstead",,,2018-12-01,,1.2901065,37,37,"ST2-56 Site reduced to previously developed land and locally defined brownfield land only. As the site is in existing employment use it would need to be demonstrated that the use is no longer suitable, feasible or viable and that there is no reasonable prospect of the continued business use in the longer term. Potential contamination issues",local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,BFR131,https://maps.sevenoaks.gov.uk/brownfield_register/,2018-12-01
"Gorse Hill Nursery, Gorse Hill, Farningham",,,2018-12-01,,1.3767866,55,55,ST2-50 Loss of existing use will need to be addressed.,local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,BFR129,https://maps.sevenoaks.gov.uk/brownfield_register/,2018-12-01
"Swanley Village Nursery, Swanley Village Road, Swanley Village",yes,,2018-12-01,,0.27927454,6,6,"ST2-25 Site reduced to previously developed land only. Additional information on site layout and massing is required alongside an assessment of the impact on the conservation area. As the site is in existing employment use it would need to be demonstrated that the use is no longer suitable, feasible or viable and that there is no reasonable prospect of the continued business use in the longer term",local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,BFR119,https://maps.sevenoaks.gov.uk/brownfield_register/,2018-12-01
"Edenbridge & District War Memorial Hospital, Mill Hill, Edenbridge",,,2018-12-01,,0.76289694,30,30,ST2-32 Site reduced to previously developed land only. Additional information on site layout and massing is required alongside an assessment of the impact on the conservation area and listed building. The loss of health facilities will need to be addressed.,local-authority-eng:SEV,owned by a public authority,,,Not Permissioned,,BFR121,https://maps.sevenoaks.gov.uk/brownfield_register/,2018-12-01
"Sevenoaks Hospital, Hospital Road, Sevenoaks",,,2018-12-01,yes,1.46051764,73,73,ST2-6 The western parcel lies within an air quality management area and any development proposal would be subject to an air quality assessment. There are some concerns over amenity impact for neighbouring properties which could be addressed through high quality design. The loss of health facilities will need to be addressed.,local-authority-eng:SEV,owned by a public authority,,,Not Permissioned,,BFR134,https://maps.sevenoaks.gov.uk/brownfield_register/,2018-12-01
"Calcutta Club and Polhill Business Centre, London Road, Badgers Mount",,,2018-12-01,,2.00191847,66,66,"ST2-45 As the site is in existing employment use it would need to be demonstrated that the use is no longer suitable, feasible or viable and that there is no reasonable prospect of the continued business use in the longer term. Any new development would need to assess the potential impact on the adjoining local wildlife site and ancient woodland and a 10m buffer is likely to be required.",local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,BFR125,https://maps.sevenoaks.gov.uk/brownfield_register/,2018-12-01
"The Manor House, North Ash Road, New Ash Green",yes,,2018-12-01,,1.02982769,35,35,ST2-38 The site features Tree Protection Orders (TPOs) on mature trees surrounding the boundary of the sites curtilage. Additional information on site layout and massing is required alongside an assessment of the impact on the listed building. B1(a) office floorspace should be included as part of the scheme to reflect existing use.,local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,BFR122,https://maps.sevenoaks.gov.uk/brownfield_register/,2018-12-01
"White Oak Leisure Centre, Hilda May Avenue, Swanley",yes,,2018-12-01,,2.01116511,80,80,ST2-20 Site contains allocated open space which should be retained,local-authority-eng:SEV,owned by a public authority,,,Not Permissioned,,BFR118,https://maps.sevenoaks.gov.uk/brownfield_register/,2018-12-01
"The Forge, Ash Road, New Ash Green",yes,,2018-12-01,,0.28510667,14,14,"ST2-39 As the site is in existing employment use it would need to be demonstrated that the use is no longer suitable, feasible or viable and that there is no reasonable prospect of the continued business use in the longer term",local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,BFR123,https://maps.sevenoaks.gov.uk/brownfield_register/,2018-12-01
"Swanley Centre, Nightingale Way, Swanley",yes,,2018-12-01,,2.63131398,250,250,ST2-16 Existing ADMP Allocation considered suitable for a higher density scheme.,local-authority-eng:SEV,not owned by a public authority,2019-07-26,https://pa.sevenoaks.gov.uk/online-applications/,pending decision,full planning permission,BFR117,https://maps.sevenoaks.gov.uk/brownfield_register/,2018-12-01
"Chauchers of Sevenoaks, London Road, Dunton Green",yes,,2018-12-01,,0.22884183,9,9,"ST2-15 As the site is in existing employment use it would need to be demonstrated that the use is no longer suitable, feasible or viable and that there is no reasonable prospect of the continued business use in the longer term.",local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,BFR19,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
,,,2018-12-01,,0.46223312,7,7,"ST2-41 The site lies within the Kent Downs AONB and partially within the Conservation Area. Given the existing use of this site, a residential development could contribute towards improving the character of the AONB. Additional information on site layout and massing is required alongside an assessment of the impact on the conservation area and listed building. As the site is in existing employment use it would need to be demonstrated that the use is no longer suitable, feasible or viable and that there is no reasonable prospect of the continued business use in the longer term.",local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,BFR08,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"Chelsfield Depot, Shacklands Road, Badgers Mount",yes,,2018-12-01,,4.85923859,100,100,"ST2-43 As the site is in existing employment use it would need to be demonstrated that the use is no longer suitable, feasible or viable and that there is no reasonable prospect of the continued business use in the longer term. Surrounded by ancient woodland therefore a buffer would need to be included within the design and layout.",local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,BFR23,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"Fawkham Business Park, Fawkham Road, Fawkham",yes,,2018-12-01,,0.78089096,31,31,"ST2-52 As the site is in existing employment use it would need to be demonstrated that the use is no longer suitable, feasible or viable and that there is no reasonable prospect of the continued business use in the longer term.",local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,BFR20,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"The Woodlands, Hilda May Avenue, Swanley",yes,,2018-12-01,,0.44070601,22,22,"ST2-19 Located within Swanley urban confines the site is considered sustainable. The existing access onto Hilda May Avenue could be utilised, subject to the landowner’s consent. A small section of the site is allocated as open space which forms an important part of the green infrastructure network. The loss of this use is not supported and would need to be clearly demonstrated. Overall the site is considered able to accommodate development.",local-authority-eng:SEV,owned by a public authority,,,Not Permissioned,,BFR16,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"Sevenoaks Town Council Offices, Bradbourne Vale Road, Sevenoaks",yes,,2018-12-01,,0.31893035,16,16,"ST2-10 As the site is in existing employment use it would need to be demonstrated that the use is no longer suitable, feasible or viable and that there is no reasonable prospect of the continued business use in the longer term.",local-authority-eng:SEV,owned by a public authority,,,Not Permissioned,,BFR14,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"Former Birchwood Primary School, Russett Way, Swanley",yes,,2018-12-01,,2.94709988,39,39,"ST2-22 Sport England would need to be consulted on any loss of the playing fields. Overall the previously developed part of the site is considered able to accommodate development. Therefore, site area reduced to previously developed land only.",local-authority-eng:SEV,owned by a public authority,,,Not Permissioned,,BFR71,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"Sevenoaks Adult Education Centre, Bradbourne Road, Sevenoaks",,,2018-12-01,,0.60164285,30,30,ST2-11 Any development proposal must address the loss of education facilities.,local-authority-eng:SEV,owned by a public authority,,,Not Permissioned,,BFR15,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"Sevenoaks Community Centre, Otford Road, Sevenoaks",yes,,2018-12-01,,0.89176773,75,75,ST2-7 Overall the site is considered able to accommodate a mixed use development including community facilities as part of a wider development scheme being considered by the Sevenoaks Northern Masterplan as part of the Sevenoaks Town Neighbourhood Development Plan. Site of Special Scientific Interest Impact Risk Zone for 10 residential units or more.,local-authority-eng:SEV,owned by a public authority,,,Not Permissioned,,BFR12,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
Keston and The Beeches,yes,2019-12-01T00:00:00.000Z,2017-12-01,,2.01969112,48,48,SE/04/02248 - Completed,local-authority-eng:SEV,not owned by a public authority,2005-11-24,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,BFR92,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"Stacklands Retreat House, School Lane",yes,,2019-01-01,,2.65984874,6,6,SE/17/00410,local-authority-eng:SEV,not owned by a public authority,2018-01-18,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,BFR76,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"West Kent Cold Store, Rye Lane, TN14 5HD",yes,2019-12-01T00:00:00.000Z,2017-12-01,,7.88430774,500,500,SE/09/02635 - Completed,local-authority-eng:SEV,not owned by a public authority,2010-03-11,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,BFR106,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"Bramblefield Close and Park Drive, Hartley, DA3 7RT",yes,,2017-12-01,,5.23209299,71,71,SE/13/02032,local-authority-eng:SEV,not owned by a public authority,2013-11-12,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,BFR105,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"Tri Officers Mess, 1-4 Armstrong Close, TN14 7BS",yes,,2019-01-01,,0.41939166,9,9,SE/17/02067,local-authority-eng:SEV,not owned by a public authority,2018-03-29,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,BFR97,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
139 London Road TN13 1BH,yes,,2017-12-01,,0.04038525,8,8,SE/14/02652,local-authority-eng:SEV,not owned by a public authority,2015-01-27,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,BFR80,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"First Floor, 33 Swanley Centre (above Wilko and adjacent shops) BR8 7TL",yes,2019-12-01T00:00:00.000Z,2017-12-01,,0.07796943,10,10,SE/14/02774/PAC - Superseded,local-authority-eng:SEV,not owned by a public authority,2014-10-09,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,Other,BFR85,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"Former site of the Farmers, London Road",yes,,2019-12-01,,0.26393211,39,39,SE/13/03596,local-authority-eng:SEV,mixed ownership,2014-04-29,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,BFR91,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
98-116 London Road (Salmon's) TN13 1BB,yes,,2017-12-01,,0.33079031,60,60,SE/14/02075,local-authority-eng:SEV,not owned by a public authority,2015-06-04,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,BFR93,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"First Floor & Second Floor, 96 High Street",yes,,2019-12-01,,0.10536952,35,35,SE/14/01202/PAC - Expired. Sevenoaks District Council owned to be developed,local-authority-eng:SEV,owned by a public authority,2014-05-28,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,Other,BFR86,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"Fort Halstead, Crow Drive, TN14 7BU",yes,,2019-12-01,yes,62.6576514,750,750,"SE/15/00628/OUT ST2-57 Scheduled Ancient Monument on site. Site has outline planning permission for 450 residential units, 27,000m2 of employment floorspace, an 80 bed hotel and a village centre.",local-authority-eng:SEV,not owned by a public authority,2015-09-10,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,outline planning permission,BFR104,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"Pells Farm, Pells Lane, TN15 6AU",yes,,2017-12-01,,0.38289592,6,6,SE/14/03807,local-authority-eng:SEV,not owned by a public authority,2015-05-19,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,BFR96,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"Meeting Point Day Centre, Rural Age Concern, 27-37 High Street, BR8 8EA",yes,,2019-12-01,,0.14605289,14,14,SE/15/00216/OUT - Expired. Sevenoaks District Council owned to be developed,local-authority-eng:SEV,owned by a public authority,2015-05-05,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,outline planning permission,BFR88,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"Raleys Centre, Plymouth Drive, TN13 3RP",yes,,2017-12-01,,0.3812147,5,5,SE/15/03187,local-authority-eng:SEV,not owned by a public authority,2016-07-07,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,BFR95,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
Land West of Rosslare Close (former Chruchill School) London Road,yes,2019-12-01T00:00:00.000Z,2017-12-01,,1.46707533,38,38,SE/15/03394 - Completed,local-authority-eng:SEV,not owned by a public authority,2016-03-11,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,BFR100,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"Westerham House, Fircroft Way, TN8 6EL",yes,,2017-12-01,,0.65426736,36,36,SE/15/00376,local-authority-eng:SEV,not owned by a public authority,2016-03-16,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,BFR99,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"58-88 Northview, BR8 7BQ",yes,2019-12-01T00:00:00.000Z,2017-12-01,,0.34430347,31,31,SE/15/03633 - Completed,local-authority-eng:SEV,not owned by a public authority,2016-07-07,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,BFR94,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"Millfield, London Road, TN15 6EU",yes,2019-12-01T00:00:00.000Z,2017-12-01,,0.23195973,5,5,SE/16/02364 - Completed,local-authority-eng:SEV,not owned by a public authority,2016-10-06,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,BFR90,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
"United House, Goldsel Road, BR8 8EU",yes,,2017-12-01,,3.7115663,185,185,SE/16/00253,local-authority-eng:SEV,not owned by a public authority,2016-04-26,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,BFR102,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01
