site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"NRT Electrical & Mechanical, Castle House, Park Road, Banstead",yes,,2017-12-31,,0.18,10,10,Conversion of ground floor and first floor of southern wing of Castle House from office use to residential use.,local-authority-eng:REI,not owned by a public authority,2015-11-19,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,RBBCBLR001,http://www.reigate-banstead.gov.uk/downloads/file/3819/rbbcblr001,2017-12-31
"Hengest Farm, Woodmansterne Lane, Banstead",yes,,2017-12-31,,0.59,7,7,Permission to demolish the existing buildings on site to provide 7 dwellings.,local-authority-eng:REI,not owned by a public authority,2016-12-22,http://planning.reigate-banstead.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OA5NMYMVLXX00,permissioned,full planning permission,RBBCBLR002,http://www.reigate-banstead.gov.uk/downloads/file/3820/rbbcblr002,2017-12-31
"8 Brighton Road, Hooley",yes,,2017-12-31,,0.10,5,5,Conversion of detached 7 bedroomhouse to 5 flats.,local-authority-eng:REI,not owned by a public authority,2013-03-24,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,RBBCBLR003,http://www.reigate-banstead.gov.uk/downloads/file/3822/rbbcblr003,2017-12-31
"Courtlands Farm, Park Road, Banstead",yes,,2017-12-31,,2.50,9,9,"Removal of hardstanding and buildings, erection of 9 detached houses and retained bunker.",local-authority-eng:REI,not owned by a public authority,2017-01-20,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,RBBCBLR004,http://www.reigate-banstead.gov.uk/downloads/file/3825/rbbcblr004,2017-12-31
"Kingswood Station, Waterhouse Lane, Kingswood",yes,,2017-12-31,,0.78,18,18,Redevelopment of the site to provide 18 residential dwelling houses.,local-authority-eng:REI,not owned by a public authority,2017-05-24,http://planning.reigate-banstead.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OB2ZPSMVGSQ00,permissioned,full planning permission,RBBCBLR005,http://www.reigate-banstead.gov.uk/downloads/file/3829/rbbcblr005,2017-12-31
"Land south of Margery Lane (Kingswood Hall Estate), Lower Kingswood",yes,,2017-12-31,,0.36,7,7,,local-authority-eng:REI,not owned by a public authority,,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Not permissioned,,RBBCBLR006,http://www.reigate-banstead.gov.uk/downloads/file/3830/rbbcblr006,2017-12-31
"Frith Park Mansion, Sturts Lane, Walton on the Hill",yes,,2017-12-31,,1.64,37,37,Full planning permission and listed building consent is sought for a mixed-use redevelopment comprising 37 residential dwellings and employment uses.,local-authority-eng:REI,not owned by a public authority,2016-03-24,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,RBBCBLR007,http://www.reigate-banstead.gov.uk/downloads/file/3823/rbbcblr007,2017-12-31
"Hockley Business Centre, Hooley Lane, Redhill",yes,,2017-12-31,,0.52,50,50,"Partial demolition of existing buildings and erection of 4 apartment blocks containing 49 flats, retention of locally listed wall and conversion of existing building into 2 bed house.",local-authority-eng:REI,not owned by a public authority,2017-05-08,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,RBBCBLR008,http://www.reigate-banstead.gov.uk/downloads/file/3828/rbbcblr008,2017-12-31
"Redhill Aerodrome, Kings Mill, Lane, Redhill",,,2017-12-31,,6.54,130,130,"The site has been identified, as part of a wider site, in the Regulation 19 Development Management Plan as a safeguarding site.",local-authority-eng:REI,not owned by a public authority,,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Not permissioned,,RBBCBLR009,http://www.reigate-banstead.gov.uk/downloads/file/3824/rbbcblr009,2017-12-31
"Units 1 & 2 and Land R/O 8-13 Maple Works, Redhill",yes,,2017-12-31,,0.15,6,6,Demolition of warehouses and erection of 6 four bedroom houses.,local-authority-eng:REI,not owned by a public authority,2016-02-16,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,RBBCBLR010,http://www.reigate-banstead.gov.uk/downloads/file/3826/rbbcblr010,2017-12-31
"Merstham Library, Weldon Way, Merstham",,,2017-12-31,,0.26,6,6,"Borough Local Plan (2005) policy Cf1 resists the loss of community buildings unless it can be satisfied that there is no longer a need for them, or adequate alternative provision is to be made elsewhere in the locality; and no other community facility or service can make use of the premises or site. The library has recently closed following the re-location to the new Community Hub. The site has been identified in the Regulation 19 Development Management Plan for mixed-use development including housing and community/ faith facilities (RED5). The site is partially affected by flood risk (Zone 2 and 3).",local-authority-eng:REI,owned by a public authority,,,Not permissioned,,RBBCBLR011,http://www.reigate-banstead.gov.uk/downloads/file/3827/rbbcblr011,2017-12-31
