site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
Land at Flint Street Derker,,,2018-11-22,,0.07,6,6,PA/334264/13; previously received planning permission for residential. Erection of 6 no dwellings,local-authority-eng:OLD,not owned by a public authority,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA1863,http://maps.oldham.gov.uk/WebMapLayers8/?x=394005.370244132&y=405944.26979495&resolution=0.2&MapName=Brownfield,2017-12-22
"Bailey Mill, Delph",,,2018-11-22,,0.86,50,50,Phase 1 housing allocation. H1.1.15 - Phase 1 allocation.,local-authority-eng:OLD,not owned by a public authority,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2088,http://maps.oldham.gov.uk/WebMapLayers8/?x=398575.502055683&y=407350.426378091&resolution=0.2&MapName=Brownfield,2017-12-22
"Frenches Wharf, adjacent to Knoll Mill, Greenfield",yes,,2018-11-22,,0.59,26,26,PA/338869/16; Extant planning permission for residential. Erection of 26no. dwellings (use class: C3) and 369.44m (gross external) of commercial space (use class: A1/A2/A3/B1).,local-authority-eng:OLD,not owned by a public authority,2015-12-11,https://www.oldham.gov.uk/info/200405/search_for_an_application,permissioned,full planning permission,HLA2091(2),http://maps.oldham.gov.uk/WebMapLayers8/?x=399408.372091666&y=404832.370720256&resolution=0.2&MapName=Brownfield,2017-12-22
Land off Ripponden Road / Cornhill Street,,,2018-11-22,,0.22,14,14,"PA/054903/08; previously received planning permission for residential, development not commenced. Revised scheme for 5 houses and 9 flats on former garage plot",local-authority-eng:OLD,not owned by a public authority,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2101,http://maps.oldham.gov.uk/WebMapLayers8/?x=394540.013346063&y=406542.941735292&resolution=0.2&MapName=Brownfield,2017-12-22
Estate St/Panmure St,,,2018-11-22,,0.06,5,5,PA/040865/00; previously received planning permission for residential. Five dewellings in a terraced row,local-authority-eng:OLD,owned by a public authority,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2118,http://maps.oldham.gov.uk/WebMapLayers8/?x=392754.344007672&y=403720.187240554&resolution=0.2&MapName=Brownfield,2017-12-22
"Land off Wellyhole Street, Oldham",,,2018-11-22,,0.9,56,56,"PA/055366/08; previously received planning permission for residential, development not commenced. Revised scheme for 41 two and three storey terrace houses and 15 three storey 2 bed flats.",local-authority-eng:OLD,not owned by a public authority,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2147,http://maps.oldham.gov.uk/WebMapLayers8/?x=394804.262751678&y=404770.268469688&resolution=0.2&MapName=Brownfield,2017-12-22
"Land adj., 306 Waterloo Street, Oldham, OL4 1ER (formely Land adj. 308, Waterloo St)",,,2018-11-22,,0.06,5,5,"PA/055303/08; previously received planning permission for residential, development not commenced. Erection of 5 no. dwellinghouses",local-authority-eng:OLD,not owned by a public authority,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2207,http://maps.oldham.gov.uk/WebMapLayers8/?x=393648.46908672&y=404297.095876788&resolution=0.2&MapName=Brownfield,2017-12-22
"Land at Springhey Mill, Huddersfield Road",,,2018-11-22,,0.33,30,30,PA/047612/04; previously received planning permission for residential. Phase 1 housing allocation H1.1.21,local-authority-eng:OLD,not owned by a public authority,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2234,http://maps.oldham.gov.uk/WebMapLayers8/?x=394923.054752312&y=405892.94178121&resolution=0.2&MapName=Brownfield,2017-12-22
"Land Fronting Rochdale Road, Royton. Site of C&A motors and stadium works.",,,2018-11-22,,0.55,22,22,Part of Phase 1 housing allocation. One of two remaining portions of the Sandy Mill housing land allocation (H1.1.24) without planning permission,local-authority-eng:OLD,not owned by a public authority,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2338(1),http://maps.oldham.gov.uk/WebMapLayers8/?x=391797.001622603&y=408206.534356589&resolution=0.2&MapName=Brownfield,2017-12-22
"Pretoria Road, Oldham",,,2018-11-22,,0.46,14,14,Phase 1 housing allocation. H1.1.23 - Phase 1 housing allocation.,local-authority-eng:OLD,not owned by a public authority,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2351,http://maps.oldham.gov.uk/WebMapLayers8/?x=391498.201179307&y=403251.938194114&resolution=0.2&MapName=Brownfield,2017-12-22
"Jowett Street, Oldham",,,2018-11-22,,0.66,26,26,Phase 1 housing allocation. H1.1.25 - Phase 1 housing allocation.,local-authority-eng:OLD,not owned by a public authority,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2352,http://maps.oldham.gov.uk/WebMapLayers8/?x=394406.22912436&y=406523.499331522&resolution=0.2&MapName=Brownfield,2017-12-22
"Huddersfield Road/Dunkerley Street, Oldham",,,2018-11-22,,2.61,50,50,Phase 1 mixed use allocation including residential. M4 - Phase 1 mixed use allocation.,local-authority-eng:OLD,not owned by a public authority,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2353,http://maps.oldham.gov.uk/WebMapLayers8/?x=394257.893670238&y=405541.887710594&resolution=0.2&MapName=Brownfield,2017-12-22
"Birshaw Farm, Oldham Rd, Shaw",,,2018-11-22,,0.6,5,5,PA/049096/05; previously received planning permission for residential. Change of use of barns to 5 no. dwellings and installation of biotec plant,local-authority-eng:OLD,not owned by a public authority,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2368,http://maps.oldham.gov.uk/WebMapLayers8/?x=393832.118325058&y=408105.846192714&resolution=0.2&MapName=Brownfield,2017-12-22
"Bank Mill, Huxley Street, Oldham OL4 5JX",,,2018-11-22,,0.12,21,21,PA/049748/05; previously received planning permission for residential. Conversion of Mill into 21 dwellings. Conversion of Mill into 21 dwellings.,local-authority-eng:OLD,not owned by a public authority,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2377,http://maps.oldham.gov.uk/WebMapLayers8/?x=394324.747313646&y=404583.215037872&resolution=0.2&MapName=Brownfield,2017-12-22
Land off Booth Hill Lane,,,2018-11-22,,0.42,17,17,PA/049768/05; previously received planning permission for residential. Outline application for residential development comprising 11 no. houses and apartment block,local-authority-eng:OLD,not owned by a public authority,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2409,http://maps.oldham.gov.uk/WebMapLayers8/?x=392341.349972266&y=406369.475323291&resolution=0.2&MapName=Brownfield,2017-12-22
Corner of Gainsborough Avenue (Clydesdale Works),,,2018-11-22,,0.15,8,8,PA/050656/06; previously received planning permission for residential. Conversion of 1st floor existing warehouse into 8 apartments.,local-authority-eng:OLD,not owned by a public authority,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2445,http://maps.oldham.gov.uk/WebMapLayers8/?x=392325.577982876&y=403581.680800938&resolution=0.2&MapName=Brownfield,2017-12-22
"Holden Fold Lane, Royton",yes,,2018-11-22,,0.4,12,12,PA/338137/16; Extant outline planning permission for residential. Outline application for the proposed demolition of fire damaged warehouse and construction of 7 No. 3 bedroom dwellings including access and layout.,local-authority-eng:OLD,not owned by a public authority,2017-06-16,https://www.oldham.gov.uk/info/200405/search_for_an_application,permissioned,outline planning permission,HLA2449,http://maps.oldham.gov.uk/WebMapLayers8/?x=391439.161153472&y=406850.522218664&resolution=0.2&MapName=Brownfield,2017-12-22
"Land at Hartshead Street, Lees. Oldham",,,2018-11-22,,0.04,9,9,PA/052249/06; previously received planning permission for residential. Apartment block to replace existing office building. 9 flats,local-authority-eng:OLD,not owned by a public authority,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2516,http://maps.oldham.gov.uk/WebMapLayers8/?x=395551.281833968&y=404502.94247671&resolution=0.2&MapName=Brownfield,2017-12-22
"Byron Street Social Club, Byron Street, Hollinwood, Oldham, OL8 4QT",,,2018-11-22,,0.07,12,12,PA/051141/06; previously received planning permission for residential. Change of use of existing club premises to create 12 no apartments by refurbishment and extension of existing building including some demolition and retention of bowling green and associated ancillary facilities,local-authority-eng:OLD,not owned by a public authority,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2650,http://maps.oldham.gov.uk/WebMapLayers8/?x=390887.844604984&y=402932.528034551&resolution=0.2&MapName=Brownfield,2017-12-22
"Land at North Werneth Zone 2, Land east of St Johns bounded by Alfred St, Featherstall Rd South and Porter St",,,2018-11-22,,0.49,30,30,PA/051333/06; previously received planning permission for residential. Outline application for residential development and associated works.,local-authority-eng:OLD,owned by a public authority,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2659,http://maps.oldham.gov.uk/WebMapLayers8/?x=391425.211783706&y=404484.349424043&resolution=0.2&MapName=Brownfield,2017-12-22
"Land at North Werneth Zone 4, Land bounded by Suthers Street to the north, Edward Street to the south and the railway line to the west.",,,2018-11-22,,1,62,62,PA/051333/06; previously received planning permission for residential. Outline application for residential development and associated works.,local-authority-eng:OLD,owned by a public authority,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2661,http://maps.oldham.gov.uk/WebMapLayers8/?x=391178.737794583&y=404650.927550263&resolution=0.2&MapName=Brownfield,2017-12-22
"Land at North Werneth Zone 5, Land bounded by Hartford Mill to the west, Edward Street to the north, and Milne Street to the east",,,2018-11-22,,1.39,72,72,PA/051333/06; previously received planning permission for residential. Outline application for residential development and associated works.,local-authority-eng:OLD,mixed ownership,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2662,http://maps.oldham.gov.uk/WebMapLayers8/?x=391179.810106815&y=404477.774390604&resolution=0.2&MapName=Brownfield,2017-12-22
"Land at North Werneth Zone 6 (Hartford Mill, Edward St)",,,2018-11-22,,2.7,158,158,PA/051332/06; previously received planning permission for residential. Change of use from industry to residential accomodation and associated works,local-authority-eng:OLD,mixed ownership,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2663,http://maps.oldham.gov.uk/WebMapLayers8/?x=391089.211252789&y=404560.307013537&resolution=0.2&MapName=Brownfield,2017-12-22
"Land at Derker (Abbotsford Road Site), Abbotsford Road/Vulcan Street, Derker, Oldham",,,2018-11-22,,1.18,65,65,PA/051328/06; outline application approved then quashed in High Court. Outline application for residential development and associated facilities.,local-authority-eng:OLD,mixed ownership,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2664,http://maps.oldham.gov.uk/WebMapLayers8/?x=393884.543490059&y=406153.447115866&resolution=0.2&MapName=Brownfield,2017-12-22
"Land off Royley, Royton (former garage court)",,,2018-11-22,,0.29,20,20,PA/053258/07; previously received planning permission for residential - new application PA/340555/17 pending decision. 1) Erection of 12 No. dwellings constructed in either a semi-detached or detached form 2) Erection of a 4 storey apartment block equalling a total of 20 units.,local-authority-eng:OLD,not owned by a public authority,,https://www.oldham.gov.uk/info/200405/search_for_an_application,pending decision,,HLA2771,http://maps.oldham.gov.uk/WebMapLayers8/?x=391300.09401564&y=407238.917460159&resolution=0.2&MapName=Brownfield,2017-12-22
"Thornham Mill, Oozewood Road, Royton, OL2 5SJ",,,2018-11-22,,0.42,71,71,PA/052296/06; previously received planning permission for residential. Residential development of two to five storey building to provide 71 apartments with car parking.,local-authority-eng:OLD,not owned by a public authority,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2785,http://maps.oldham.gov.uk/WebMapLayers8/?x=391471.471145226&y=408581.244203677&resolution=0.2&MapName=Brownfield,2017-12-22
"169 Union Street, Oldham",,,2018-11-22,,0.03,30,30,PA/053332/07; previously received planning permission for residential. Demolition of existing building and replacement with 9 storey apartment block with retail units at ground floor level.,local-authority-eng:OLD,not owned by a public authority,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2796,http://maps.oldham.gov.uk/WebMapLayers8/?x=393087.592460413&y=405024.646933027&resolution=0.2&MapName=Brownfield,2017-12-22
"Corner of Edge Lane Street/High Barn Street, Royton",,,2018-11-22,,0.8,63,63,PA/052622/07; application finally disposed of - status reverted to potential site. Proposal for 63 dwellings and 6 office units.,local-authority-eng:OLD,not owned by a public authority,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2821,http://maps.oldham.gov.uk/WebMapLayers8/?x=392230.728530837&y=407705.890892587&resolution=0.2&MapName=Brownfield,2017-12-22
"53 - 55 King Street (formerly Riley Snooker Club and Megson and Ponsonby Solicitors), Oldham, OL8 1EU",,,2018-11-22,,0.15,126,126,PA/053985/07; previously received planning permission for residential. Mixed use development rising from six to fifteen storeys and comprising of basement car park; ground floor retail; office space; and 126 no.residential apartments.,local-authority-eng:OLD,not owned by a public authority,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2831,http://maps.oldham.gov.uk/WebMapLayers8/?x=392409.293656913&y=404724.407632079&resolution=0.2&MapName=Brownfield,2017-12-22
"Land at Dunbar Street, Oldham",yes,,2018-11-22,,0.1,8,8,PA/336682/15; Extant outline planning permission for residential. Erection of 8 no. 4 bedroomed dwellings with associated car parking.,local-authority-eng:OLD,not owned by a public authority,2015-06-24,https://www.oldham.gov.uk/info/200405/search_for_an_application,permissioned,outline planning permission,HLA2835,http://maps.oldham.gov.uk/WebMapLayers8/?x=392039.340799076&y=405654.163883971&resolution=0.2&MapName=Brownfield,2017-12-22
"Shaw Band Club, Dale Street, Shaw, OL2 8RN",,,2018-11-22,,0.09,10,10,PA/053784/07; previously received planning permission for residential. Conversion of existing building into 10 no. flats.,local-authority-eng:OLD,not owned by a public authority,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2836,http://maps.oldham.gov.uk/WebMapLayers8/?x=393823.730948833&y=408673.264060686&resolution=0.2&MapName=Brownfield,2017-12-22
"Corporation Depot, Andrew Street, Chadderton, OL9 0JN",,,2018-11-22,,0.1,6,6,PA/053860/07; previously received planning permission for residential. Outline application for the development of six residential properties with associated parking.,local-authority-eng:OLD,not owned by a public authority,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2840,http://maps.oldham.gov.uk/WebMapLayers8/?x=390590.617143859&y=405533.225112876&resolution=0.2&MapName=Brownfield,2017-12-22
"Land off Hale Lane/Hughes Close, Failsworth, Manchester",,,2018-11-22,,0.42,18,18,"PA/337710/15; S106 not agreed, decision not dispatched. Erection of 18 no. new dwellings and associated external works:",local-authority-eng:OLD,not owned by a public authority,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2842,http://maps.oldham.gov.uk/WebMapLayers8/?x=389375.91473022&y=401725.115299749&resolution=0.2&MapName=Brownfield,2017-12-22
"Former Territorial Army Centre, Rifle Street",,,2018-11-22,,0.4,30,30,PA/053576/07; application finally disposed of - status reverted to potential site,local-authority-eng:OLD,not owned by a public authority,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2856,http://maps.oldham.gov.uk/WebMapLayers8/?x=392586.485362213&y=405564.80738092&resolution=0.2&MapName=Brownfield,2017-12-22
"The Smithy, 1053 - 1055 Ashton Road, Bardsley, Oldham",,,2018-11-22,,0.2,10,10,PA/059469/11; previously received planning permission for residential. Demolition of existing building and erection of 10 no. dwelling houses,local-authority-eng:OLD,not owned by a public authority,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2872,http://maps.oldham.gov.uk/WebMapLayers8/?x=393024.885945619&y=401400.439592096&resolution=0.2&MapName=Brownfield,2017-12-22
"Land adj to Westlands Cottage Day Nursery, Springbank Street, Werneth OL8 4LH",,,2018-11-22,,0.07,5,5,PA/055153/08; previously received planning permission for residential. Part demolition of day nursery and redevelopment of site for 5. no. dwellings.,local-authority-eng:OLD,not owned by a public authority,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2893,http://maps.oldham.gov.uk/WebMapLayers8/?x=391259.513267919&y=403656.542101084&resolution=0.2&MapName=Brownfield,2017-12-22
"Land adj., 63 Meldrum Street, Oldham OL8 1NU",yes,,2018-11-22,,0.06,6,6,PA/336693/15; Extant planning permission for residential. Erection of 6 semi-detached properties,local-authority-eng:OLD,not owned by a public authority,2015-07-20,https://www.oldham.gov.uk/info/200405/search_for_an_application,permissioned,full planning permission,HLA2902,http://maps.oldham.gov.uk/WebMapLayers8/?x=393023.3045449&y=403712.0845092&resolution=0.2&MapName=Brownfield,2017-12-22
"Former Roundabout Tyres, Crompton Way, Shaw",,,2018-11-22,,0.07,6,6,PA/055796/08; application finally disposed of - status reverted to potential site,local-authority-eng:OLD,not owned by a public authority,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2923,http://maps.oldham.gov.uk/WebMapLayers8/?x=393647.603495195&y=408769.471050071&resolution=0.2&MapName=Brownfield,2017-12-22
"Money Controls Ltd, New Coin Street, Royton, OL2 6JZ",,,2018-11-22,,2.53,139,139,PA/056551/09; previously received planning permission for residential. Outline planning application for the demolition of Delta Mill and residential redevelopment.,local-authority-eng:OLD,not owned by a public authority,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2965,http://maps.oldham.gov.uk/WebMapLayers8/?x=391875.375975272&y=407268.902582278&resolution=0.2&MapName=Brownfield,2017-12-22
"Land at Schofield Street, Ashton Road and Copsterhill Road, Oldham (Phase 2)",,,2018-11-22,,1.88,25,25,PA/058539/10. The site represents Phase 2. Application for the demolition of the existing buildings and full planning permission for the erection of 121 dwellings public open space and other associated works (Phase 1) APPROVED and outline planning permission (All Matters Reserved) for the erection of dwellings and commercial floorspace (A1A2B1 & B2) and other associated works (Phase 2),local-authority-eng:RCH,owned by a public authority,,https://www.oldham.gov.uk/info/200405/search_for_an_application,not permissioned,,HLA2989.1,http://maps.oldham.gov.uk/WebMapLayers8/?x=391875.375975272&y=407268.902582278&resolution=0.2&MapName=Brownfield,2017-12-22
"Site of The Brookdale, Coronation Road, Failsworth, M35 0LT",yes,,2018-11-22,,0.22,16,16,PA/337058/15; Extant planning permission for residential. Demolition of the existing public house and erection of 16 No. dwellinghouses,local-authority-eng:OLD,not owned by a public authority,2015-10-16,https://www.oldham.gov.uk/info/200405/search_for_an_application,permissioned,full planning permission,HLA3008,http://maps.oldham.gov.uk/WebMapLayers8/?x=389267.147592004&y=400654.281539441&resolution=0.2&MapName=Brownfield,2017-12-22
"P & D Northern Steels Ltd, Mosshey Street, Shaw, OL2 8QL",yes,,2018-11-22,,1.93,80,80,PA/057631/10; Extant outline planning permission for residential. Outline application for demolition of existing buildings and erection of 80 no. residential units.,local-authority-eng:OLD,not owned by a public authority,2013-03-25,https://www.oldham.gov.uk/info/200405/search_for_an_application,permissioned,outline planning permission,HLA3028,http://maps.oldham.gov.uk/WebMapLayers8/?x=394126.583842179&y=408561.598398509&resolution=0.2&MapName=Brownfield,2017-12-22
