site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Land at Ansford Farm, Cumnock Road, Castle Cary",yes,,2017-11-16,,0.15,5,5,,local-authority-eng:SSO,not owned by a public authority,,,not permissioned,,E/ANSF/0010/,https://www.southsomerset.gov.uk/media/902300/ansf0010.pdf,2017-11-16
"BMI Site, Cumnock Road, Castle Cary",,,2017-11-16,,1.3,32,29,,local-authority-eng:SSO,not owned by a public authority,,,not permissioned,,E/CACA/1101,https://www.southsomerset.gov.uk/media/902307/caca1101.pdf,2017-11-16
"Constitutional Club, Station Road, Castle Cary",yes,,2017-11-16,,0.2,8,8,,local-authority-eng:SSO,not owned by a public authority,2016-06-20,,permissioned,outline planning permission,E/CACA/B001,https://www.southsomerset.gov.uk/media/903713/cacab001.pdf,2017-11-16
"The Old Forge, Limington",yes,,2017-11-16,,0.31,5,5,,local-authority-eng:SSO,not owned by a public authority,2017-02-23,,permissioned,outline planning permission,E/LIMI/B001,https://www.southsomerset.gov.uk/media/902342/limib001.pdf,2017-11-16
"Harvester Works, Mayfield Close, Galhampton",yes,,2017-11-16,,0.5,14,14,,local-authority-eng:SSO,not owned by a public authority,2013-10-09,,permissioned,full planning permission,E/NOCA/B001,https://www.southsomerset.gov.uk/media/902350/nocab001.pdf,2017-11-16
"Haynes Publishing, High Street, Sparkford",yes,,2017-11-16,,2.3,48,37,,local-authority-eng:SSO,not owned by a public authority,2017-03-29,,permissioned,outline planning permission,E/SPAR/0005/,https://www.southsomerset.gov.uk/media/902346/spar0005.pdf,2017-11-16
"The Tythings, Southgate Road, Wincanton",yes,,2017-11-16,,2.73,55,49,,local-authority-eng:SSO,not owned by a public authority,,,not permissioned,,E/WINC/0007/,https://www.southsomerset.gov.uk/media/902296/winc0007-b001.pdf,2017-11-16
"Former Works, Southgate Road, Wincanton",yes,,2017-11-16,,0.03,19,19,,local-authority-eng:SSO,not owned by a public authority,2007-01-30,,permissioned,full planning permission,E/WINC/B001,https://www.southsomerset.gov.uk/media/902293/wincb001.pdf,2017-11-16
"Great Orchard Stores. Brookland Road, Huish Episcopi",yes,,2017-11-16,,0.08,8,8,,local-authority-eng:SSO,not owned by a public authority,2006-07-28,,permissioned,full planning permission,N/HEUP/B001,https://www.southsomerset.gov.uk/media/902361/huepb001.pdf,2017-11-16
"Rear of the Rose & Crown, Hurst, Bower Hinton",yes,,2017-11-16,,0.25,5,5,,local-authority-eng:SSO,not owned by a public authority,,,not permissioned,,N/MART/0005,https://www.southsomerset.gov.uk/media/902326/mart0005.pdf,2017-11-16
"Burfield Gloves, Manor Road, Martock",yes,,2017-11-16,,0.2,4,4,,local-authority-eng:SSO,not owned by a public authority,,,not permissioned,,N/MART/B001,https://www.southsomerset.gov.uk/media/902323/martb001.pdf,2017-11-16
"Land at Etsome Terrace, Somerton",yes,,2017-11-16,,0.4,10,10,,local-authority-eng:SSO,not owned by a public authority,2016-12-01,,permissioned,full planning permission,N/SOME/0800,https://www.southsomerset.gov.uk/media/902319/some0800.pdf,2017-11-16
"Former Garage Site, West Street, Somerton",yes,,2017-11-16,,0.16,6,6,,local-authority-eng:SSO,not owned by a public authority,2017-01-26,,permissioned,full planning permission,N/SOME/B001,https://www.southsomerset.gov.uk/media/902316/someb001.pdf,2017-11-16
"Parkway Farm, West Street, South Pertherton",yes,,2018-08-31,,4.2,4,4,,local-authority-eng:SSO,not owned by a public authority,2016-09-19,,permissioned,full planning permission,N/SOPE/0013,https://www.southsomerset.gov.uk/media/902330/sope0013.pdf,2017-11-16
"Land off George Smith Way, Yeovil",yes,,2017-11-16,,8.9,75,65,,local-authority-eng:SSO,mixed ownership,,,not permissioned,,S/BRYM/0004/,https://www.southsomerset.gov.uk/media/902254/brym0004.pdf,2017-11-16
Land at Yeovil Town FC,yes,,2018-08-31,,3.57,10,10,,local-authority-eng:SSO,not owned by a public authority,,,not permissioned,,S/BRYM/0501,https://www.southsomerset.gov.uk/media/927003/sbrym0501.pdf,2018-08-31
"Manor Farm, Street Lane, Odcombe",,,2017-11-16,,0.7,17,7,,local-authority-eng:SSO,not owned by a public authority,,,not permissioned,,S/ODCO/1101/,https://www.southsomerset.gov.uk/media/902357/odco1101.pdf,2017-11-16
Land at Eastville Road,yes,,2018-08-31,,0.1,20,20,,local-authority-eng:SSO,not owned by a public authority,,,not permissioned,,S/YEOV/0005,https://www.southsomerset.gov.uk/media/927000/yeov0005.pdf,2018-08-31
Former Bus Depot,yes,,2018-08-31,,0.5,100,100,,local-authority-eng:SSO,not owned by a public authority,,,not permissioned,,S/YEOV/0008,https://www.southsomerset.gov.uk/media/926996/yeov0008.pdf,2018-08-31
"Former Box Factory, South Street, Yeovil",,,2017-11-16,,0.5,20,20,,local-authority-eng:SSO,owned by a public authority,,,not permissioned,,S/YEOV/1300/,https://www.southsomerset.gov.uk/media/902236/yeov1300.pdf,2017-11-16
"Former Cattle Market, Yeovil",,,2017-11-16,,2.1,120,100,,local-authority-eng:SSO,not owned by a public authority,,,not permissioned,,S/YEOV/1302/,https://www.southsomerset.gov.uk/media/902247/yeov1302.pdf,2017-11-16
"3, Newtown Road, Yeovil",yes,,2017-11-16,,0.21,85,85,,local-authority-eng:SSO,not owned by a public authority,2017-03-31,,permissioned,full planning permission,S/YEOV/B001,https://www.southsomerset.gov.uk/media/902239/yeovb001.pdf,2017-11-16
"108/110 West Coker Road, Yeovil",yes,,2017-11-16,,0.7,9,9,,local-authority-eng:SSO,not owned by a public authority,2017-08-11,,permissioned,full planning permission,S/YEOV/B002,https://www.southsomerset.gov.uk/media/902250/yeovb002.pdf,2017-11-16
"Petters Way Car Park, Yeovil",,,2017-11-16,,0.6,9,9,,local-authority-eng:SSO,owned by a public authority,,,not permissioned,,S/YEOV1303/,https://www.southsomerset.gov.uk/media/902244/yeov1303.pdf,2017-11-16
"Land off Boden Street and Silver Street, Chard",yes,,2017-11-16,,1.4,20,8,,local-authority-eng:SSO,mixed ownership,,,not permissioned,,W/CHAR/0019/,https://www.southsomerset.gov.uk/media/902262/char0019-b002.pdf,2017-11-16
"Slades Garage, Touchstone Lane, Chard",yes,,2017-11-16,,0.14,6,6,,local-authority-eng:SSO,not owned by a public authority,2016-11-23,,permissioned,full planning permission,W/CHAR/B001,https://www.southsomerset.gov.uk/media/902265/charb001.pdf,2017-11-16
"Former Tyre Depot, Silver Street, Chard",yes,,2017-11-16,,0.14,22,22,,local-authority-eng:SSO,not owned by a public authority,2008-10-10,,permissioned,full planning permission,W/CHAR/B002,https://www.southsomerset.gov.uk/media/927040/char0019-b002.pdf,2017-11-16
"Church Hall, East Street, Chard",yes,,2017-11-16,,0.09,10,10,,local-authority-eng:SSO,not owned by a public authority,2016-07-22,,permissioned,full planning permission,W/CHAR/B003,https://www.southsomerset.gov.uk/media/902268/charb003.pdf,2017-11-16
"Viney Bridge Mills, South Street, Crewkerne",yes,,2017-11-16,,1.02,58,58,,local-authority-eng:SSO,not owned by a public authority,2014-12-24,,permissioned,full planning permission,W/CREW/B001,https://www.southsomerset.gov.uk/media/902272/crewb001.pdf,2017-11-16
"The Shirt Factory, Abbey Street, Crewkerne",yes,,2017-11-16,,0.02,6,6,,local-authority-eng:SSO,not owned by a public authority,2016-09-22,,permissioned,full planning permission,W/CREW/B002,https://www.southsomerset.gov.uk/media/902275/crewb002.pdf,2017-11-16
"Builder's Yard, Dairy Court, Crewkerne",yes,,2017-11-16,,0.07,5,5,,local-authority-eng:SSO,not owned by a public authority,2010-10-26,,permissioned,full planning permission,W/CREW/B003,https://www.southsomerset.gov.uk/media/902278/crewb003.pdf,2017-11-16
"Former Powrmatic, Winterhay Lane, Ilminster",yes,,2017-11-16,,1.74,72,72,,local-authority-eng:SSO,not owned by a public authority,2015-01-15,,permissioned,outline planning permission,W/ILMI/0016,https://www.southsomerset.gov.uk/media/902285/ilmi0016.pdf,2017-11-16
Land north of Station Road,yes,,2018-08-31,,5.2,100,80,,local-authority-eng:SSO,not owned by a public authority,,,not permissioned,,W/ILMI/0022,https://www.southsomerset.gov.uk/media/927006/ilmi0022.pdf,2018-08-31
"Police Station, Butts, Ilminster",yes,,2017-11-16,,0.11,7,7,,local-authority-eng:SSO,,2017-03-31,,permissioned,full planning permission,W/ILMI/B001,https://www.southsomerset.gov.uk/media/902282/ilmib001-b003.pdf,2017-11-16
"Former Cheese Factory Site, Station Road, Ilminster",yes,,2017-11-16,,3.3,70,50,,local-authority-eng:SSO,not owned by a public authority,,,not permissioned,,W/ILMI/B002,https://www.southsomerset.gov.uk/media/902288/ilmib002.pdf,2017-11-16
