site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
32-38 Market Place - Odeon Arcade,yes,,2017-12-31,,0.11,100,100,Planning permission for 100 flats,local-authority-eng:LCE,not owned by a public authority,2015-01-29,,permissioned,full planning permission,MNC0497_20141671,https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=346&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,2017-12-31
Lee Circle Fleet House,yes,,2017-12-31,,0.24,155,155,Planning permission for 155 flats,local-authority-eng:LCE,not owned by a public authority,2016-04-27,,permissioned,full planning permission,NMA6450_20160424,https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=409&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,2017-12-31
27 Churchgate,yes,,2017-12-31,,0.03,11,11,Planning permission for 11 flats,local-authority-eng:LCE,not owned by a public authority,2014-04-10,,permissioned,full planning permission,MMM1532_20140075,https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=364&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,2017-12-31
57 The Oval - New Walk,yes,,2017-12-31,,1.0,54,54,Planning permission for 54 flats,local-authority-eng:LCE,not owned by a public authority,2016-12-13,,permissioned,full planning permission,NOT5363_20161047,https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=435&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,2017-12-31
Faircharm Trading Estate - Evelyn Drive,yes,,2017-12-31,,2.8,66,66,Site has outline consent for up to 66 dwellings,local-authority-eng:LCE,not owned by a public authority,2017-06-01,,permissioned,outline planning permission,KQR0931_20151042,https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=303&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,2017-12-31
Sturdee Road - The Exchange,yes,,2017-12-31,,1.0,33,33,,local-authority-eng:LCE,mixed ownership,,,not permissioned,,LWU5995,https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=297&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,2017-12-31
15-23 Hotel Street and 6 Millstone Lane,yes,,2017-12-31,,0.1,36,36,Planning permission for 36 flats,local-authority-eng:LCE,not owned by a public authority,2016-10-10,,permissioned,full planning permission,MNG7025_20161670,https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=367&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,2017-12-31
44 Conduit Street,yes,,2017-12-31,,0.02,14,14,Planning permission for 14 flats,local-authority-eng:LCE,not owned by a public authority,2014-11-07,,permissioned,full planning permission,NNY4783_20140794,https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=361&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,2017-12-31
13 Hotel Street,yes,,2017-12-31,,0.04,24,24,Planning permission for 24 flats,local-authority-eng:LCE,not owned by a public authority,2015-08-18,,permissioned,full planning permission,MNG5567_20151258,https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=399&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,2017-12-31
100 London Road,yes,,2017-12-31,,0.02,10,10,Planning permission for 10 flats,local-authority-eng:LCE,not owned by a public authority,2016-03-11,,permissioned,full planning permission,OOL1167_20160108,https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=404&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,2017-12-31
