site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Ground, First and Second Floor, 328-330 High Road, Wembley, HA9 6AZ",,,2019-12-13,,0.03,6,6,,local-authority-eng:BEN,not owned by a public authority,,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,not permissioned,,BR00003,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
"Heron House, 109-115 Wembley Hill Road, Wembley, HA9 8DA",yes,,2019-12-13,,0.15,40,40,16/4156,local-authority-eng:BEN,not owned by a public authority,2018-05-24,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,BR00004,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
"Stonebridge Primary School Annexe, Twybridge Way, London, NW10 0ST",yes,,2019-12-13,,0.6,67,67,Most recent permission: 18/4810,local-authority-eng:BEN,owned by a public authority,2019-06-24,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,BR00005,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
"1 Olympic Way, Wembley, HA9 0NP",yes,,2019-12-13,,0.54,227,227,17/4538,local-authority-eng:BEN,not owned by a public authority,2017-12-19,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,other,BR00006,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
"Olympic Office Centre, 8 Fulton Road, Wembley, HA9 0NU",,,2019-12-13,,0.49,253,253,17/5097,local-authority-eng:BEN,not owned by a public authority,,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,pending decision,full planning permission,BR00008,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
"205, 205A, 205B and Church Road car park and Building rear of 189-203 Church Road, London, NW10 9EP",yes,,2019-12-13,,0.3,34,34,13/1098,local-authority-eng:BEN,not owned by a public authority,2017-02-10,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,BR00009,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
"Wembley Point, 1 Harrow Road, Wembley, HA9 6DE",yes,,2019-12-13,,0.92,439,439,18/3125,local-authority-eng:BEN,not owned by a public authority,2017-01-11,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,other,BR00010,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
"Oman Avenue Garages, Oman Avenue, London",yes,,2019-12-13,,0.42,7,7,17/0500,local-authority-eng:BEN,not owned by a public authority,2017-03-30,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,BR00012,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
"2 Atlip Road, Wembley, HA0 4LU",yes,,2019-12-13,,2.58,99,99,15/2061,local-authority-eng:BEN,not owned by a public authority,2017-05-26,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,BR00013,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
"Land R/O 37-41, High Street, London, NW10",,,2019-12-13,,0.1,12,12,,local-authority-eng:BEN,not owned by a public authority,,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,not permissioned,,BR00020,https://maps.london.gov.uk/brownfield-site-register,2017-12-15
