site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Land at Guildford Park Road Surface Car Park, Guildford GU2 7NF",yes,,2017-09-27,,2.15,160,160,"Application ref. 16/P/01290. Demolition of existing garage buildings and redevelopment of the site to provide 160 residential apartments and houses (Use Class C3) with new infrastructure, parking, access, landscaping, cycle storage and associated facilities including private and communal amenity space together with a five storey 541 space multi-storey public car park (Sui Generis) and 825 sqm. (GEFA) flexible commercial floorspace (Use Class A1, B1 and D2) on the ground floor of the multi-storey car park",local-authority-eng:GRT,owned by a public authority,2017-01-23,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=_GUILD_DCAPR_171221,permissioned,full planning permission,BLR_003,https://www2.guildford.gov.uk/ishare5.2.web/atsolomap_brownfield_land_register.html,2017-09-27
"Works, Poyle Road, Tongham, GU10 1DS",,,2017-09-27,,0.12,10,10,,local-authority-eng:GRT,not owned by a public authority,,,not permissioned,,BLR_015,https://www2.guildford.gov.uk/ishare5.2.web/atsolomap_brownfield_land_register.html,2017-09-27
"Public House, Oxenden Road, Tongham",,,2017-09-27,,0.17,15,15,,local-authority-eng:GRT,not owned by a public authority,,,not permissioned,,BLR_016,https://www2.guildford.gov.uk/ishare5.2.web/atsolomap_brownfield_land_register.html,2017-09-27
"Builders Yard (Elms Garden), Glaziers Lane, Normandy",yes,,2020-11-09,,1.25,28,15,Application ref. 19/P/01313. Outline application for the erection of 28 dwellings together with car parking and landscaping following demolition of existing buildings (All matters reserved except access).,local-authority-eng:GRT,not owned by a public authority,2019-12-06,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_182747,permissioned,outline planning permission,BLR_017,https://www2.guildford.gov.uk/ishare5.2.web/atsolomap_brownfield_land_register.html,2017-09-27
"Slyfield Area Regeneration Project, Guildford",,,2019-11-01,,40,1000,1000,"Local Plan allocation ref. A24. Policy allocates site for 1,500 homes of which 1,000 will be delivered within the Plan period, and a mix of other uses including 6500 sq. m light industrial (B1c)/ trade counters (B8) and 6 traveller pitches (sui generis).",local-authority-eng:GRT,mixed ownership,,,not permissioned,,BLR_019,https://www2.guildford.gov.uk/ishare5.2.web/atsolomap_brownfield_land_register.html,2017-09-27
"Land at Westway, off Aldershot Road, Guildford",yes,,2019-11-01,,0.56,38,38,Local Plan allocation ref. A19,local-authority-eng:GRT,not owned by a public authority,,,not permissioned,,BLR_020,https://www2.guildford.gov.uk/ishare5.2.web/atsolomap_brownfield_land_register.html,2017-09-27
"Land at Guildford Cathedral, Alresford Road, Guildford",,,2019-11-01,,3.28,93,93,Local Plan allocation ref. A15,local-authority-eng:GRT,not owned by a public authority,,,not permissioned,,BLR_021,https://www2.guildford.gov.uk/ishare5.2.web/atsolomap_brownfield_land_register.html,2017-09-27
"The Plaza, Portsmouth Road, Guildford",,,2019-11-01,,0.38,90,90,"Local Plan allocation ref. A1. Current permitted scheme not considered viable by applicant and site is no longer for sale, therefore site remains available for residential development.",local-authority-eng:GRT,not owned by a public authority,2018-03-14,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=_GUILD_DCAPR_177442,not permissioned,full planning permission,BLR_022,https://www2.guildford.gov.uk/ishare5.2.web/atsolomap_brownfield_land_register.html,2019-11-01
"Jewsons, Walnut Tree Close, Guildford",,,2019-11-01,,0.64,175,175,Local Plan allocation ref. A4,local-authority-eng:GRT,not owned by a public authority,,,not permissioned,,BLR_023,https://www2.guildford.gov.uk/ishare5.2.web/atsolomap_brownfield_land_register.html,2017-09-27
"Surrey Police Headquarters, Mount Browne, Sandy Lane, Guildford",,,2019-11-01,,5.9,116,116,Local Plan allocation ref. A33,local-authority-eng:GRT,not owned by a public authority,,,not permissioned,,BLR_024,https://www2.guildford.gov.uk/ishare5.2.web/atsolomap_brownfield_land_register.html,2017-09-27
