site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Former Rolls Royce Main Works Site, Nightingale Road, Derby",,,2019-10-30,,8.73,372,372,,local-authority-eng:DER,not owned by a public authority,,,pending decision,,DER/0008,https://maps.derby.gov.uk/webmap/Map.aspx?x=436251&y=333615&resolution=2&epsg=27700&mapname=publicmaps&baseLayer=Colour&datalayers=Brownfield%20Sites%2CselectFeaturesControl_container,2017-11-13
"Nightingale Road Car Park, Nightingale Road, Derby",,,2019-10-30,,0.28,34,34,,local-authority-eng:DER,not owned by a public authority,,,pending decision,,DER/0009,https://maps.derby.gov.uk/webmap/Map.aspx?x=436522&y=333677&resolution=2&epsg=27700&mapname=publicmaps&baseLayer=Colour&datalayers=Brownfield%20Sites%2CselectFeaturesControl_container,2018-11-27
"Elton Road Rolls Royce Site, Elton Road, Derby",,,2019-10-30,,2.08,100,100,,local-authority-eng:DER,not owned by a public authority,,,not permissioned,,DER/0011,https://maps.derby.gov.uk/webmap/Map.aspx?x=435784&y=333628&resolution=2&epsg=27700&mapname=publicmaps&baseLayer=Colour&datalayers=Brownfield%20Sites%2CselectFeaturesControl_container,2017-11-13
"Tanglewood Mill, Coke Street, Derby",,,2019-10-30,,0.16,22,22,,local-authority-eng:DER,not owned by a public authority,,,permissioned,,DER/0036,https://maps.derby.gov.uk/webmap/Map.aspx?x=433885&y=336014&resolution=2&epsg=27700&mapname=publicmaps&baseLayer=Colour&datalayers=Brownfield%20Sites%2CselectFeaturesControl_container,2017-11-13
"Former St Joseph’s Church Hall, Mill Hill Lane, Derby",,,2019-10-30,,0.24,14,14,,local-authority-eng:DER,not owned by a public authority,,,permissioned,,DER/0044,https://maps.derby.gov.uk/webmap/Map.aspx?x=434960&y=335301&resolution=2&epsg=27700&mapname=publicmaps&baseLayer=Colour&datalayers=Brownfield%20Sites%2CselectFeaturesControl_container,2017-11-13
"Former California Works, Parliament Street, Derby",,,2019-10-30,,0.17,14,14,,local-authority-eng:DER,not owned by a public authority,,,permissioned,,DER/0063,https://maps.derby.gov.uk/webmap/Map.aspx?x=434290&y=335671&resolution=2&epsg=27700&mapname=publicmaps&baseLayer=Colour&datalayers=Brownfield%20Sites%2CselectFeaturesControl_container,2017-11-13
"Elmhurst, Lonsdale Place, Rowditch, Derby",,,2019-10-30,,0.28,24,24,,local-authority-eng:DER,owned by a public authority,,,permissioned,,DER/0073,https://maps.derby.gov.uk/webmap/Map.aspx?x=433792&y=335672&resolution=2&epsg=27700&mapname=publicmaps&baseLayer=Colour&datalayers=Brownfield%20Sites%2CselectFeaturesControl_container,2017-11-13
"St Georges Phase 2, Land between St Mary’s Gate and Sadler Gate, Derby",,,2019-10-30,,0.56,53,53,,local-authority-eng:DER,owned by a public authority,,,not permissioned,,DER/0082,https://maps.derby.gov.uk/webmap/Map.aspx?x=435103&y=336418&resolution=2&epsg=27700&mapname=publicmaps&baseLayer=Colour&datalayers=Brownfield%20Sites%2CselectFeaturesControl_container,2017-11-13
"Becketwell, Victoria Street/Macklin Street, Derby",,,2019-10-30,,0.77,342,342,,local-authority-eng:DER,mixed ownership,,,pending decision,,DER/0085,https://maps.derby.gov.uk/webmap/Map.aspx?x=435093&y=336077&resolution=2&epsg=27700&mapname=publicmaps&baseLayer=Colour&datalayers=Brownfield%20Sites%2CselectFeaturesControl_container,2018-11-27
"Castleward Area, between London Road and Station Approach, Derby",,,2019-10-30,,13.4,635,635,,local-authority-eng:DER,mixed ownership,,,permissioned,,DER/0089,https://maps.derby.gov.uk/webmap/Map.aspx?x=435895&y=335778&resolution=2&epsg=27700&mapname=publicmaps&baseLayer=Colour&datalayers=Brownfield%20Sites%2CselectFeaturesControl_container,2017-11-13
