site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Former Glendinning Site, Torhil, Ipplepen Road, Marldon, TQ3 1SE",yes,,2017-12-22,,0.68,10,10,3951/17/FUL. Application for 10no. new dwellings,local-authority-eng:SHA,not owned by a public authority,,,pending decision,full planning permission,SH_34_10_16,https://www.southhams.gov.uk/article/4291/Brownfield-Land-Register,2017-12-22
"Noss Marina, Bridge Road, Kingswear, Dartmouth, TQ6 0EA",yes,,2017-12-22,,8.93,39,39,2161/17/OPA. Hybrid application. Outline planning for 39 residential units (Use Class C3),local-authority-eng:SHA,not owned by a public authority,,,pending decision,other,SH_30_05_16,https://www.southhams.gov.uk/article/4291/Brownfield-Land-Register,2017-12-22
"Foxhole Complex and Shops, Dartington, Totnes, TQ9 6QT",yes,,2017-12-22,,5.87,130,130,Mixed use - including homes,local-authority-eng:SHA,not owned by a public authority,,,not permissioned,,SH_14_27_16,https://www.southhams.gov.uk/article/4291/Brownfield-Land-Register,2017-12-22
"Marquis Motorhomes Site, Lee Mill",yes,,2017-12-22,,0.34,30,30,Residential development,local-authority-eng:SHA,not owned by a public authority,,,not permissioned,,SH_49_07_13,https://www.southhams.gov.uk/article/4291/Brownfield-Land-Register,2017-12-22
"RMC Quarry Site, Marldon",yes,,2017-12-22,,0.52,5,5,34/1890/15/O. Construction of 5 dwellings,local-authority-eng:SHA,not owned by a public authority,2017-09-27,,permissioned,outline planning permission,SH_34_09_14,https://www.southhams.gov.uk/article/4291/Brownfield-Land-Register,2017-12-22
"Parkers Barn, Parkers Way, Totnes, Devon, TQ9 5UF",yes,,2017-12-22,,0.46,26,26,1483/17/POD. Prior approval notification for proposed change of use of a building from Office Use (Class B1(a)) to residential (C3) comprising 26 no. flats,local-authority-eng:SHA,not owned by a public authority,2017-07-27,,permissioned,other,1483/17/POD,https://www.southhams.gov.uk/article/4291/Brownfield-Land-Register,2017-12-22
"SX5670, 4944 West of Collaton Park, Newton Ferrers, Devon, PL8 2NE",yes,,2017-12-22,,3.14,70,70,Outline application (with some matters reserved) for mixed use development of 70 dwellings,local-authority-eng:SHA,not owned by a public authority,2016-09-16,,permissioned,outline planning permission,37/2548/14/O,https://www.southhams.gov.uk/article/4291/Brownfield-Land-Register,2017-12-22
"Police Station, Mayors Avenue, Dartmouth, Devon, TQ6 9NF",yes,,2017-12-22,,0.02,5,5,0805/16/FUL. Proposed demolition of existing police station. Erection of four- storey residential development consisting of 5 flats,local-authority-eng:SHA,owned by a public authority,2016-06-22,,permissioned,full planning permission,0805/16/FUL,https://www.southhams.gov.uk/article/4291/Brownfield-Land-Register,2017-12-22
"Fort Bovisand, Bovisand, Bovisand, Devon, PL9 0AB",yes,,2017-12-22,,3.05,81,81,"58/2441/15/F, 2821/17/FUL. Construction of new build residential development in place of former dive centre accommodation, conversion of upper fort and part of lower fort into residential units",local-authority-eng:SHA,not owned by a public authority,2016-03-23,,permissioned,full planning permission,58/2441/15/F,https://www.southhams.gov.uk/article/4291/Brownfield-Land-Register,2017-12-22
"Brimhay Bungalows, Development Site At Sx 7863 6192 Forder Lane, Dartington, Devon, TQ9 6HT",yes,,2017-12-22,,0.75,32,32,"14/0142/15/F. Redevelopment of existing Brimhay Bungalows to provide 32 new dwellings and associated highway. (12no. 1 bed apartments, 12no. market houses and 8 flats)",local-authority-eng:SHA,not owned by a public authority,2015-12-09,,permissioned,full planning permission,14/0142/15/F,https://www.southhams.gov.uk/article/4291/Brownfield-Land-Register,2017-12-22
"The Eddystone Inn, Heybrook Bay, Plymouth, PL9 0BN",yes,,2017-12-22,,0.37,16,16,Redevelopment of site to provide replacement public house and restaurant and 10no. holiday units with owners apartment. Construction of 6no. 2 bed apartments on associated land,local-authority-eng:SHA,not owned by a public authority,2015-11-12,,permissioned,full planning permission,58/1014/15/F,https://www.southhams.gov.uk/article/4291/Brownfield-Land-Register,2017-12-22
"Higher Barton Farm, Dartington",yes,,2017-12-22,,1.28,20,20,Mixed use - including homes,local-authority-eng:SHA,not owned by a public authority,,,not permissioned,,SH_14_26_16,https://www.southhams.gov.uk/article/4291/Brownfield-Land-Register,2017-12-22
"Land adjacent to Siding Cross, Wrangaton",yes,,2017-12-22,,1.39,36,36,1317/16/OPA. Outline application with some matters reserved for construction of up to 36 dwellings (including affordable housing),local-authority-eng:SHA,not owned by a public authority,,,pending decision,outline planning permission,SH_57_21_16,https://www.southhams.gov.uk/article/4291/Brownfield-Land-Register,2017-12-22
"Land off Brixham Road, Waterhead Brake, Kingswear",yes,,2017-12-22,,0.31,11,11,Residential development,local-authority-eng:SHA,not owned by a public authority,,,not permissioned,,SH_30_01_08/13,https://www.southhams.gov.uk/article/4291/Brownfield-Land-Register,2017-12-22
