site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Sharoe Green Hospital, Sharoe Green Lane, Preston.",,,2017-08-25,,5.33,,,Hospital closed in 2004. Site under construction with 32 completions but stalled with no completions since 2009-10. Original development company dissolved. Site believed to have been purchased. Discussions have been had about a slightly amended scheme. Planning permission on site include 06/2006/0651 & 06/2007/0585,local-authority-eng:PRE,not owned by a public authority,2007-09-03,,permissioned,reserved matters approval,BR01,http://maps.preston.gov.uk/planning/map.aspx,2016-09-06
Former Cottam Brickworks,,,2017-08-25,,8.42,,,06/2009/0499. Part of PLP allocation MD1. No detailed permission for housing element of mixed use scheme. Housing part of site within Zone 2 of indicative land use plan which will inc other uses.,local-authority-eng:PRE,not owned by a public authority,2012-03-08,,permissioned,outline planning permission,BR04,http://maps.preston.gov.uk/planning/map.aspx,2016-09-06
Avenham Street Car Park,,,2017-08-25,,0.6,15,15,06/2007/0189 - expired. CCP Allocation SP4.2.,local-authority-eng:PRE,not owned by a public authority,2007-08-30,,permissioned,outline planning permission,BR06,http://maps.preston.gov.uk/planning/map.aspx,2016-09-06
Mount Street / Garden Street,,,2017-08-25,,0.06,,,06/2017/0252 pending for conversion to 41 apartments,local-authority-eng:PRE,not owned by a public authority,,,pending decision,,BR08,http://maps.preston.gov.uk/planning/map.aspx,2016-09-06
"Former St Joseph's Orphanage, Theatre Street",,,2017-08-25,,0.39,,,CCP Housing Allocation SP4.1. 06/2004/0605 06/2009/0592. 06/2009/0592 is a variation of conditions app. Minor works carried out so tech start made. Site is part of the Housing Zone. Building is grade II listed.,local-authority-eng:PRE,not owned by a public authority,2004-12-22,,permissioned,full planning permission,BR09,http://maps.preston.gov.uk/planning/map.aspx,2016-09-06
"Lancashire House, Winckley Square.",yes,,2017-10-16,,0.11,29,29,06/2016/1254 change of use to 29 apartments. One of four buildings in Winckley Square that is included in the Housing Zone.,local-authority-eng:PRE,not owned by a public authority,2017-02-09,,permissioned,full planning permission,BR10,http://maps.preston.gov.uk/planning/map.aspx,2016-09-06
"Guild House, Cross Street Winckley Sq",yes,,2017-10-16,,0.09,46,46,06/2017/0206 change of use of offices to 46 apartments. One of four buildings in Winckley Square that is included in the Housing Zone.,local-authority-eng:PRE,owned by a public authority,2017-04-07,,permissioned,full planning permission,BR11,http://maps.preston.gov.uk/planning/map.aspx,2016-09-06
"Winckley House, Winckley Sq",yes,,2017-10-16,,0.16,49,49,06/2016/0864 change of use from offices to 49 apartments. One of four buildings in Winckley Square that is included in the Housing Zone.,local-authority-eng:PRE,owned by a public authority,2016-10-27,,permissioned,full planning permission,BR12,http://maps.preston.gov.uk/planning/map.aspx,2016-09-06
"58-60, Guildhall Street Winckley Sq",,,2017-10-16,,0.12,5,5,06/2017/0970 change of use from offices to 35 apartments. One of four buildings in Winckley Square that is included in the Housing Zone.,local-authority-eng:PRE,owned by a public authority,2017-10-10,,permissioned,full planning permission,BR13,http://maps.preston.gov.uk/planning/map.aspx,2016-09-06
"Alstom site, Channel Way",,,2017-08-25,,6.26,,,High density (330 dwellings). Lower density more realistic.,local-authority-eng:PRE,not owned by a public authority,,,not permissioned,,BR15,http://maps.preston.gov.uk/planning/map.aspx,2016-09-06
"Goss Graphics, Fylde Road.",,,2017-08-25,,3.8,95,95,Previous application for 208 apartments; 88 family houses & 370 student rooms.,local-authority-eng:PRE,not owned by a public authority,,,not permissioned,,BR16,http://maps.preston.gov.uk/planning/map.aspx,2016-09-06
Land at Ashton Basin,,,2017-08-25,,0.37,12,12,06/2013/0749 Outline permission for the erection of 12no town houses in three blocks with associated access road and junction improvements. Previous permission 06/2008/0538 lapsed.,local-authority-eng:PRE,not owned by a public authority,2014-01-13,,permissioned,outline planning permission,BR17,http://maps.preston.gov.uk/planning/map.aspx,2016-09-06
"Former Byron Hotel, 25-35 Grimshaw Street.",,,2017-08-25,,0.09,,,06/2005/1124 for 25 apartments has now lapsed. CCP allocation SP4.6,local-authority-eng:PRE,not owned by a public authority,2006-12-11,,permissioned,,BR18,http://maps.preston.gov.uk/planning/map.aspx,2016-09-06
"Miller Arcade, Church Street",,,2017-08-25,,0.2,45,45,06/2015/0022 for conversion of upper floors to form 45 studio apartments. Previous pp 06/2005/0060 lapsed.,local-authority-eng:PRE,not owned by a public authority,2015-04-30,,permissioned,full planning permission,BR19,http://maps.preston.gov.uk/planning/map.aspx,2016-09-06
6&7 Ribblesdale Place,,,2017-08-25,,0.07,2,2,06/2004/0757 change of use from offices to 6 apartments. Various permissions but none implemented.,local-authority-eng:PRE,not owned by a public authority,2004-08-11,,permissioned,,BR20,http://maps.preston.gov.uk/planning/map.aspx,2016-09-06
37/38 Cannon Street,,,2017-08-25,,0.02,1,1,06/2017/0074 change of use of part of ground floor anf first floor to 1 apartment,local-authority-eng:PRE,not owned by a public authority,2017-04-04,,permissioned,full planning permission,BR21,http://maps.preston.gov.uk/planning/map.aspx,2016-09-06
5-13 Market Street,,,2017-08-25,,0.06,,,06/2017/0251 pending for 19 apartments. 06/2008/0810 lapsed,local-authority-eng:PRE,not owned by a public authority,,,pending decision,,BR22,http://maps.preston.gov.uk/planning/map.aspx,2016-09-06
"Hemmings Mill, New Hall Lane",,,2017-08-25,,0.33,,,06/2007/1092 for conversion to 45 apartments Not implemented,local-authority-eng:PRE,not owned by a public authority,2008-12-11,,permissioned,full planning permission,BR23,http://maps.preston.gov.uk/planning/map.aspx,2016-09-06
Parker Street,,,2017-08-25,,1.3,,,PLP Site HS1.3. Still in employment use - redevelopment unlikely in short term.,local-authority-eng:PRE,,,,not permissioned,,BR25,http://maps.preston.gov.uk/planning/map.aspx,2016-09-06
Former Ainsdale House Site,,,2017-08-25,,0.29,,,Site still vacant. No pp.,local-authority-eng:PRE,owned by a public authority,,,not permissioned,,BR26,http://maps.preston.gov.uk/planning/map.aspx,2016-09-06
"Brethren's Meeting Room, Egerton Road, Ashton.",,,2017-08-25,,0.5,,,PLP Site HS1.12 No pp.,local-authority-eng:PRE,not owned by a public authority,,,not permissioned,,BR27,http://maps.preston.gov.uk/planning/map.aspx,2016-09-06
"Railway land, Corporation Street",,,2017-08-25,,1.75,,,CCP Policy OP1 - Corporation Street. No pp. Still operational railway land?,local-authority-eng:PRE,not owned by a public authority,,,not permissioned,,BR28,http://maps.preston.gov.uk/planning/map.aspx,2016-09-06
"Oak Street, off Manchester Road",,,2016-09-06,,0.14,,,May only come forward as part of larger mixed use scheme? Inclusion questionable esp in light of appeal decision for adj property on Laurel St (06/2011/00297).,local-authority-eng:PRE,,,,not permissioned,,BR29,http://maps.preston.gov.uk/planning/map.aspx,2016-09-06
"Former Spindlemakers Arms, Lancaster Road North",,,2017-08-25,,0.11,,,06/2002/0438 lapsed for student accommodation not implemented.,local-authority-eng:PRE,,2002-07-22,,permissioned,full planning permission,BR30,http://maps.preston.gov.uk/planning/map.aspx,2016-09-06
