site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Former Magistratesí Court, Pikes Hill, Lyndhurst, SO43 7AY",yes,,2017-12-20,,0.04,5,5,An element of residential use would be considered alongside employment as part of a mixed use redevelopment of this employment site,national-park-authority:Q72617158,owned by a public authority,,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_NFNP_DCAPR_146305,not permissioned,,BFS1,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,2017-12-20
"Garage Site, Foldsgate Close, Lyndhurst SO43 7BY",yes,,2017-12-20,,0.02,2,2,,national-park-authority:Q72617158,owned by a public authority,,,not permissioned,,BFS2,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,2017-12-20
"Redmayne Engineering Site, Station Approach, Brockenhurst, SO42 7TW",yes,,2017-12-20,,0.4,10,10,An element of residential use would be considered alongside employment as part of a mixed use redevelopment of this employment site,national-park-authority:Q72617158,,,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_NFNP_DCAPR_164099,not permissioned,,BFS3,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,2017-12-20
"Land at Railway Station, Brockenhurst, SO42 7TW",yes,,2017-12-20,,0.35,10,10,,national-park-authority:Q72617158,,,,not permissioned,,BFS4,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,2017-12-20
"Former Service Station, 128 Lyndhurst Road, Ashurst, SO40 7AS",yes,,2017-12-20,,0.05,2,2,,national-park-authority:Q72617158,not owned by a public authority,,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_NFNP_DCAPR_147549,not permissioned,,BFS5,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,2017-12-20
"Land adjoining Cranleigh Paddock Residential Home, Calpe Avenue, Lyndhurst, SO43 7EP",yes,,2017-12-20,,0.35,18,18,,national-park-authority:Q72617158,not owned by a public authority,,https://idoxweb.newforestnpa.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,not permissioned,,BFS6,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,2017-12-20
"Lyndhurst Park Hotel, 78 High Street, Lyndhurst, SO43 7NL",yes,,2017-12-20,,1.61,50,50,,national-park-authority:Q72617158,not owned by a public authority,,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_NFNP_DCAPR_169288,not permissioned,,BFS7,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,2017-12-20
"Oak Lodge Dental Surgery, Rhinefield Road, Brockenhurst, SO42 7SR",yes,,2017-12-20,,0.15,1,1,"Demolition of existing, new access",national-park-authority:Q72617158,not owned by a public authority,2005-08-15,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_NFNP_DCAPR_136272,permissioned,full planning permission,BFS8,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,2017-12-20
"Watersplash Hotel, The Rise, Brockenhurst, SO42 7ZP",yes,,2017-12-20,,0.5,26,26,3 villas to create 24 age restricted apartments,national-park-authority:Q72617158,not owned by a public authority,2017-04-26,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_NFNP_DCAPR_166597,permissioned,full planning permission,BFS9,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,2017-12-20
"First and Second Floor, 49-49A High Street, Lyndhurst, SO43 7BE",yes,,2017-12-20,,0.03,6,6,Change of use of office building to 6 apartments,national-park-authority:Q72617158,not owned by a public authority,2016-08-15,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_NFNP_DCAPR_167039,permissioned,other,BFS10,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,2017-12-20
"The Old Barn, Church Lane, Lyndhurst, SO43 7EW",yes,,2017-12-20,,0.02,1,1,Change of use of office building to dwelling,national-park-authority:Q72617158,not owned by a public authority,2014-05-21,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_NFNP_DCAPR_162122,permissioned,other,BFS11,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,2017-12-20
"Land To The Rear Of 35 High Street, Lyndhurst, SO43 7BE",yes,,2017-12-20,,0.02,1,1,New dwelling; associated landscaping,national-park-authority:Q72617158,not owned by a public authority,2016-06-21,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_NFNP_DCAPR_166551,permissioned,full planning permission,BFS12,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,2017-12-20
"Burwood Lodge, 27 Romsey Road, Lyndhurst, SO43 7AA",yes,,2017-12-20,,0.19,1,1,Conversion of Bed and Breakfast to create 2 dwellings,national-park-authority:Q72617158,not owned by a public authority,2016-09-15,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_NFNP_DCAPR_165587,permissioned,full planning permission,BFS13,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,2017-12-20
"Land Of Forest Park Hotel, Forest Park Road, Brockenhurst, SO42 7SW",yes,,2017-12-20,,0.39,1,1,New dwelling and garage,national-park-authority:Q72617158,not owned by a public authority,2016-06-16,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_NFNP_DCAPR_167035,permissioned,full planning permission,BFS14,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,2017-12-20
"Former Scout Hut, Brookley Road, Brockenhurst, SO42 7RD",yes,,2017-12-20,,0.05,3,3,To construct a terrace of three dwellings,national-park-authority:Q72617158,not owned by a public authority,2016-04-26,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_NFNP_DCAPR_164528,permissioned,full planning permission,BFS15,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,2017-12-20
"Lloyds Tsb, Sway Road, Brockenhurst, SO42 7ZH",yes,,2017-12-20,,0.06,2,2,Change of use to dental practice; 2 flats; Internal alterations,national-park-authority:Q72617158,not owned by a public authority,2017-03-21,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_NFNP_DCAPR_168184,permissioned,full planning permission,BFS16,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,2017-12-20
"Rufus House Hotel, Southampton Road, Lyndhurst, SO43 7BQ",yes,,2017-12-20,,0.14,2,2,Conversion of owners accommodation to create 2 separate units of accommodation,national-park-authority:Q72617158,not owned by a public authority,2017-02-14,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_NFNP_DCAPR_165502,permissioned,full planning permission,BFS17,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,2017-12-20
