site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
Adderley Place,,,2017-11-30,,3.84,48,48,,local-authority-eng:HIG,,,,not permissioned,,G32,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,2017-11-30
Birch Vale Industrial Estate,,,2017-11-30,,4.4,100,100,,local-authority-eng:HIG,,,,not permissioned,,BV002,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,2017-11-30
Bridge Mills,yes,,2017-11-30,,3.84,0,0,,local-authority-eng:HIG,,,,permissioned,full planning permission,TI001,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,2017-11-30
"Britannia Mills, Buxworth",,,2017-11-30,,1.4,50,50,,local-authority-eng:HIG,,,,not permissioned,,BW004,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,2017-11-30
"Charlestown Works, Glossop",,,2017-11-30,,3.39,100,100,,local-authority-eng:HIG,,,,pending decision,other,GL043,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,2017-11-30
FORGE WORKS,yes,,2017-11-30,,7.44,182,182,,local-authority-eng:HIG,,,,permissioned,outline planning permission,CI001,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,2017-11-30
Former Campus,,,2017-11-30,,4.65,105,105,,local-authority-eng:HIG,not owned by a public authority,,,not permissioned,,BX055,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,2017-11-30
Former railway muesum,,,2017-11-30,,3.9,89,89,,local-authority-eng:HIG,not owned by a public authority,,,permissioned,full planning permission,GL070,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,2017-11-30
"Gisbourne Yard, Whaley Bridge",yes,,2017-11-30,,0.36,11,11,,local-authority-eng:HIG,,,,permissioned,outline planning permission,WB009,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,2017-11-30
HARDWICK SQUARE SOUTH,,,2017-11-30,,0.47,30,30,,local-authority-eng:HIG,,,,permissioned,,BX057,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,2017-11-30
"Hawkeshead Mill, Hope Street",,,2017-11-30,,0.8,18,18,,local-authority-eng:HIG,,,,not permissioned,,GL056,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,2017-11-30
Hogshaw,,,2017-11-30,,13.7,68,68,,local-authority-eng:HIG,,,,not permissioned,,B3,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,2017-11-30
Holehouse Mill MARPLE ROAD,yes,,2017-11-30,,1.7,22,22,,local-authority-eng:HIG,,,,permissioned,outline planning permission,CS001,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,2017-11-30
LEEK ROAD,yes,,2017-11-30,,0.79,8,8,,local-authority-eng:HIG,,,,permissioned,full planning permission,BX115,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,2017-11-30
Market Street Depot,,,2017-11-30,,0.8,24,24,,local-authority-eng:HIG,owned by a public authority,,,not permissioned,,BX051,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,2017-11-30
"Newtown Industrial Area, New Mills",,,2017-11-30,,2.99,15,15,,local-authority-eng:HIG,,,,not permissioned,,NM041,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,2017-11-30
OLD RAIL SIDINGS GLOSSOP ROAD GLOSSOP GAMESLEY (sanas romeo),yes,,2017-11-30,,4.42,93,93,,local-authority-eng:HIG,,,,permissioned,full planning permission,GA001,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,2017-11-30
"Paradise Street, Hadfield",,,2017-11-30,,1.24,28,28,,local-authority-eng:HIG,owned by a public authority,,,permissioned,,HD012,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,2017-11-30
Roebuck Place,yes,,2017-11-30,,0.3,14,14,,local-authority-eng:HIG,not owned by a public authority,,,permissioned,full planning permission,CH012,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,2017-11-30
"Salem Mill, New Mills",yes,,2017-11-30,,0.27,15,15,,local-authority-eng:HIG,,,,permissioned,full planning permission,NM001,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,2017-11-30
Station Road,,,2017-11-30,,0.62,30,30,,local-authority-eng:HIG,,,,not permissioned,,B31,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,2017-11-30
"Woodside Street, New Mills",,,2017-11-30,,0.6,25,25,,local-authority-eng:HIG,not owned by a public authority,,,not permissioned,,NM034,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,2017-11-30
