site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
CENTRAL DOCKS,,,2018-05-22,,17.4475,,,,local-authority-eng:LIV,,,,permissioned,,613,,
90 TOWNSEND LANE,,,2018-05-22,,0.0351173,,,,local-authority-eng:LIV,,,,permissioned,,1040,,
FORMER 406-434 PARK ROAD,,,2018-05-22,,0.210665,,,,local-authority-eng:LIV,,,,permissioned,,1261,,
27-29 IVANHOE ROAD,,,2018-05-22,,0.0952898,,,,local-authority-eng:LIV,,,,permissioned,,1648,,
BOND STREET / ELDON GROVE SITE,,,2018-05-22,,0.9,,,,local-authority-eng:LIV,,,,permissioned,,1659,,
SITE IN LAUREL ROAD ADJACENT TO No:17,,,2018-05-22,,0.800566,,,,local-authority-eng:LIV,,,,permissioned,,1704,,
LAND TO SOUTH OF PARK STREET BTWN UPPER ESSEX ST / TOXTETH ST,,,2018-05-22,,0.12442,,,,local-authority-eng:LIV,,,,permissioned,,1842,,
LAND BOUNDED BY HARLOW ST / HAYLOCK CLOSE / MILL STREET,,,2018-05-22,,0.351716,,,,local-authority-eng:LIV,,,,permissioned,,1895,,
FORMER 15-37 BESSEMER ST / 102-104 BERESFORD RD / 378-400 MILL STREET,,,2018-05-22,,0.36174,,,,local-authority-eng:LIV,,,,permissioned,,1897,,
FORMER 321-325 SCOTLAND RD,,,2018-05-22,,0.204784,,,,local-authority-eng:LIV,,,,permissioned,,1949,,
WALTON HOSPITAL SITE / RICE LANE,,,2018-05-22,,11.7031,,,,local-authority-eng:LIV,,,,permissioned,,1962,,
89-99 RENSHAW STREET,,,2018-05-22,,0.12253,,,,local-authority-eng:LIV,,,,permissioned,,2197,,
SOUTH EAST JUNCTION OF ISLINGTON / NORTON STREET,,,2018-05-22,,0.402386,,,,local-authority-eng:LIV,,,,permissioned,,2261,,
FORMER PLAYGROUND AND LAND TO THE EAST OF 52 TYNWALD HILL,,,2018-05-22,,0.320319,,,,local-authority-eng:LIV,,,,permissioned,,2381,,
"Land at Silverdale Avenue, Hilberry Avenue, Sutton Street Liverpool 13",,,2018-05-22,,0.166907,,,,local-authority-eng:LIV,,,,permissioned,,2389,,
FORMER ST AUGUSTINES HOME / AIGBURTH ROAD,,,2018-05-22,,0.98388,,,,local-authority-eng:LIV,,,,permissioned,,2403,,
63 & 65 DUKE STREET / 15 WOLSTENHOLME SQUARE,,,2018-05-22,,0.0531094,,,,local-authority-eng:LIV,,,,permissioned,,2426,,
GARSTON UNDER THE BRIDGE REDEVELOPMENT AREA,,,2018-05-22,,7.86604,,,,local-authority-eng:LIV,,,,permissioned,,2560,,
KING EDWARD TRIANGLE,,,2018-05-22,,2.33179,,,,local-authority-eng:LIV,,,,permissioned,,2877,,
LAND AT FORMER 20-26 OAKES STREET,,,2018-05-22,,0.100343,,,,local-authority-eng:LIV,,,,permissioned,,3102,,
GRASSED AREA CORNER OF PRESCOT STREET & ERSKINE STREET,,,2018-05-22,,0.246003,,,,local-authority-eng:LIV,,,,permissioned,,3169,,
"BAPTIST CHURCH, CORNER OF WELLINGTON ROAD & MARSHSIDE CLOSE",,,2018-05-22,,0.0818731,,,,local-authority-eng:LIV,,,,permissioned,,3732,,
"THE DAVID LEWIS CENTRE, CHESTER STREET / UPPER STANHOPE STREET",,,2018-05-22,,0.571781,,,,local-authority-eng:LIV,,,,permissioned,,3733,,
42-44 STANLEY STREET L1,,,2018-05-22,,0.0367377,,,,local-authority-eng:LIV,,,,permissioned,,3750,,
"FORMER SARAH MCARD NURSERY, SHAW STREET",,,2018-05-22,,0.244653,,,,local-authority-eng:LIV,,,,permissioned,,3761,,
16 FLEET STREET CONCERT STEPS. L1,,,2018-05-22,,0.0396911,,,,local-authority-eng:LIV,,,,permissioned,,3884,,
"THE BAY HORSE HOTEL, 14 GRINFIELD STREET",,,2018-05-22,,0.0319202,,,,local-authority-eng:LIV,,,,permissioned,,3923,,
49 MARSH STREET,,,2018-05-22,,0.0104571,,,,local-authority-eng:LIV,,,,permissioned,,3955,,
