site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
Pan Autos and adjacent uses Dark Lane and Grove Road,yes,,2017-05-23,,0.35,12,12,,local-authority-eng:SAL,not owned by a public authority,,,Not Permissioned,,298,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=514533&y=213352&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,2017-02-07
Jewsons Dark Lane,yes,,2017-05-23,,0.34,18,18,,local-authority-eng:SAL,not owned by a public authority,,,Not Permissioned,,299,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=514483&y=213364&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,2017-02-07
The Red House Harpenden Memorial Hospital,yes,,2017-05-23,,1.63,55,55,,local-authority-eng:SAL,owned by a public authority,,,Not Permissioned,,331,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=513618&y=214637&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,2017-02-07
72 High Street,yes,,2017-05-23,,0.66,6,6,,local-authority-eng:SAL,not owned by a public authority,,,Not Permissioned,,235,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=518008&y=203955&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,2017-02-07
Haseldine Road car park,,,2017-05-23,,0.52,9,9,,local-authority-eng:SAL,owned by a public authority,,,Not Permissioned,,283,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=517683&y=204048&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,2017-02-07
Hertfordshire Business Centre Alexander Road,yes,,2017-05-23,,0.28,45,45,,local-authority-eng:SAL,owned by a public authority,,,Not Permissioned,,310,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=517798&y=204385&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,2017-02-07
Sphere industrial estate,yes,,2017-05-23,,1.35,120,120,,local-authority-eng:SAL,not owned by a public authority,,,Not Permissioned,,80,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=516429&y=206977&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,2017-02-07
Morrisons car park,,,2017-05-23,,1.65,76,76,,local-authority-eng:SAL,not owned by a public authority,,,Not Permissioned,,81,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=516561&y=207203&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,2017-02-07
Abbey Station,,,2017-05-23,,0.94,40,40,,local-authority-eng:SAL,owned by a public authority,,,Not Permissioned,,83,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=514576&y=206387&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,2017-02-07
Civic Centre,yes,,2017-05-23,,0.43,70,70,,local-authority-eng:SAL,owned by a public authority,,,Not Permissioned,,208,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=514989&y=207337&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,2017-02-07
Griffiths Way,,,2017-05-23,,8.52,100,100,,local-authority-eng:SAL,not owned by a public authority,,,Not Permissioned,,210,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=514686&y=206073&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,2017-02-07
Jewson Depot,yes,,2017-05-23,,0.44,20,20,,local-authority-eng:SAL,not owned by a public authority,,,Not Permissioned,,227,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=516955&y=207144&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,2017-02-07
Civic Centre South,yes,,2017-05-23,,0.88,100,100,,local-authority-eng:SAL,owned by a public authority,,,Not Permissioned,,251,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=514928&y=207252&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,2017-02-07
EMP9 (northern part) St Albans Road (adjacent to the Council depot),yes,,2017-05-23,,2.4,100,100,,local-authority-eng:SAL,not owned by a public authority,,,Not Permissioned,,256,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=515979&y=209314&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,2017-02-07
Ariston Site (incl Pioneer Youth Club),yes,,2017-05-23,,2.63,55,55,,local-authority-eng:SAL,owned by a public authority,,,Not Permissioned,,259,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=515112&y=208483&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,2017-02-07
