site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Village Farm, Main Street, Bilbrough",yes,,2018-08-07,,0.24,5,5,Site in groundwater source protection zone 3,local-authority-eng:SEL,not owned by a public authority,2018-01-19,http://public.selby.gov.uk/online-applications/,permissioned,full planning permission,Bilbrough-4,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2018-08-07
"Land at Pasture Lane, Brotherton",yes,,2018-08-07,,1.60,43,43,The northern to the southern boundary on the western side of the site lies within flood zone 2. Electricity Pylons cross the site.,local-authority-eng:SEL,not owned by a public authority,,,not permissioned,,Brotherton-2,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2016-06-22
"Lyndale Caravan Park, School Croft, Brotherton",,,2018-08-07,,0.36,13,13,,local-authority-eng:SEL,not owned by a public authority,,,not permissioned,,Brotherton-8,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2016-06-22
"Land West of Wood Lea, Byram",yes,,2018-08-07,,0.13,5,5,,local-authority-eng:SEL,owned by a public authority,,,not permissioned,,Byram-8,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2016-06-29
"Land east of Millfield Drive, Cambelsforth",yes,,2018-08-07,,0.39,8,8,Entire site lies within flood zone 2 and 3 and site is in a groundwater source protection zone 3.,local-authority-eng:SEL,,,,not permissioned,,Camblesforth-4,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2018-08-07
"Land at Carlton Supermarket And Post Office, High Street",yes,,2018-08-07,,0.04,7,7,Site in groundwater source protection zone 3,local-authority-eng:SEL,not owned by a public authority,2017-12-06,http://public.selby.gov.uk/online-applications/,permissioned,full planning permission,Carlton-13,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2018-08-07
"Oddfellows Arms, High Street, Carlton",,,2018-08-07,,0.16,7,7,Whole site is in a groundwater protection zone 3,local-authority-eng:SEL,not owned by a public authority,,,not permissioned,,Carlton-6,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2016-06-22
"Cawood Methodist Church, Sherburn Street, Cawood",yes,,2018-08-07,,0.09,5,5,,local-authority-eng:SEL,not owned by a public authority,,,not permissioned,,Cawood-9,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2018-08-07
"Land at Bon Accord Farm, Cliffe",yes,,2018-08-07,,0.64,13,13,Possible ground contamination on the western half of the site from farm buildings.,local-authority-eng:SEL,not owned by a public authority,,,not permissioned,,Cliffe-3,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2018-08-07
"Land at Westfield Avenue Garages B, Eggborough",yes,,2018-08-07,,0.21,6,6,,local-authority-eng:SEL,owned by a public authority,,,not permissioned,,Eggborough-6,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2018-08-07
"Main Road Farm, Main Road",,,2018-08-07,,0.28,5,5,Possible ground contamination from farm buildings on the eastern half of the site.,local-authority-eng:SEL,not owned by a public authority,,,not permissioned,,Hambleton-8,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2016-06-22
"Land north of Manor Garth, Kellington",yes,,2018-08-07,,0.17,5,5,Entire site lies within flood zone 2.,local-authority-eng:SEL,owned by a public authority,,,not permissioned,,Kellington-3,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2018-08-07
"Lnd at Corner Farm, Osgodby",,,2018-08-07,,0.20,6,6,Possible ground contamination on the site from farm buildings,local-authority-eng:SEL,not owned by a public authority,,,not permissioned,,Osgodby-2,https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,2018-08-07
