site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Roundhill, Tiverton",yes,,2019-03-04,,0.4,20,20,A proposed site allocation in the Mid Devon Local Plan Review subject to 20 affordable dwellings.,local-authority-eng:MDE,owned by a public authority,,,not permissioned,,MDDC/BF001,,2017-12-31
"Land between Blundells School and River Lowman, Tiverton",yes,,2019-03-04,,3.5,50,50,"Site previously allocated in the AIDPD (2011) and is currently part of a proposed allocation in the Local Plan Review for 200 dwellings with 28% affordable housing subject to approximately 8ha of GI, appropriate land shaping to raise areas for development above flood zone 3, provision of a junction on Heathcoat Way and a safeguarded route road through the site, provision and enhancement of cycle and pedestrian links in the area. The site is comprised of brownfield and greenfield land although only the brownfield proportion is included in the BLR. Minimum dwelling figure based on the same density assumptions proposed for the LPR allocation as a whole.",local-authority-eng:MDE,mixed ownership,,,not permissioned,,MDDC/BF002,,2017-12-31
"Newton Square, Bampton",,,2019-03-04,,0.25,5,5,A proposed site allocation in the Mid Devon Local Plan Review subject to 5 dwellings.,local-authority-eng:MDE,not owned by a public authority,,,not permissioned,,MDDC/BF003,,2017-12-31
"Phoenix Lane, Tiverton",,,2019-03-04,,1.1,60,60,"A proposed site allocation in the Mid Devon Local Plan Review for 60 dwellings (28% affordable), 7,000 sq.m of mixed commercial floorspace.",local-authority-eng:MDE,not owned by a public authority,,,not permissioned,,MDDC/BF004,,2017-12-31
"The Woods Group, Crediton",,,2019-03-04,,0.17,8,8,A proposed site allocation in the Mid Devon Local Plan Review for 8 dwellings.,local-authority-eng:MDE,not owned by a public authority,,,not permissioned,,MDDC/BF005,,2017-12-31
"Former Tiverton Parkway Hotel, Sampford Peverell",yes,,2019-03-04,,0.45,10,10,A proposed site allocation in the Mid Devon Local Plan Review subject to 10 dwellings including 30% affordable.,local-authority-eng:MDE,not owned by a public authority,,,not permissioned,,MDDC/BF006,,2017-12-31
"The Garage, Silverton",yes,,2019-03-04,,0.11,5,5,A proposed site allocation in the Mid Devon Local Plan Review subject to 5 dwellings.,local-authority-eng:MDE,not owned by a public authority,,,not permissioned,,MDDC/BF007,,2017-12-31
"Former Stone Crushing Works, Scotts Business Park, Bampton",yes,,2019-03-04,,3.41,12,12,"62 dwellings in total (including 14 affordable) 44 completed, 6 under construction, 12 approved with planning permission.",local-authority-eng:MDE,not owned by a public authority,2013-02-08,https://planning.middevon.gov.uk/online-applications/applicationDetails.do?keyVal=MDIZ5EKS07T00&activeTab=summary,permissioned,full planning permission,MDDC/BF008,,2017-12-31
"East of Simla Cottage, Ashleigh Park",yes,,2019-03-04,,0.45,4,4,4 x 4 bed detached bungalows.,local-authority-eng:MDE,not owned by a public authority,2017-07-25,https://planning.middevon.gov.uk/online-applications/applicationDetails.do?keyVal=ONO73FKS07T00&activeTab=summary,permissioned,reserved matters approval,MDDC/BF009,,2017-12-31
"Former St Ivel Site, Station Road, Hemyock",yes,,2019-03-04,,0.27,8,8,Erection of 8 dwellings (including 2 social & affordable rents).,local-authority-eng:MDE,not owned by a public authority,2016-12-02,https://planning.middevon.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,reserved matters approval,MDDC/BF012,,2017-12-31
"Adjoining the Town Hall, St Andrews Street, Tiverton",yes,,2019-03-04,,0.5,39,39,Erection of 39 dwellings following demolition of existing garages and adjacent substructure),local-authority-eng:MDE,owned by a public authority,2017-12-08,https://planning.middevon.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,MDDC/BF015,,2017-12-31
"The Three Little Pigs, Parliament Street, Crediton",yes,,2019-03-04,,0.05,6,6,11 dwellings. 5 plots commenced 2009.,local-authority-eng:MDE,not owned by a public authority,2006-10-27,https://planning.middevon.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,MDDC/BF016,,2017-12-31
"9 High Street, Cullompton",yes,,2019-03-04,,0.04,6,6,Erection of 6 flats in three-storey building following demolition of 2 single storey redundant buildings. All units 1 bed,local-authority-eng:MDE,not owned by a public authority,2017-06-14,https://planning.middevon.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,MDDC/BF018,,2018-12-31
"Land and Buildings at NGR 313669 113266, Builders Yard, Culmstock Road, Hemyock",yes,,2019-03-04,,0.06,6,6,"Erection of 6 dwellings with associated highways, sheds and stores following demolition of existing buildings",local-authority-eng:MDE,not owned by a public authority,2017-11-09,https://planning.middevon.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,MDDC/BF019,,2018-12-31
