site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
Rosedale Avenue/Water Street Atherton,,,2016-04-01,,0.8,,,,local-authority-eng:WGN,not owned by a public authority,,,,,SHLAA0035,"https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0035",2016-04-01
Land at Coop Street Scholes Wigan,,,2016-04-01,,0.26,,,,local-authority-eng:WGN,not owned by a public authority,,,,,SHLAA0056,"https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0056",2016-04-01
Shanghai Palace Poolstock Wigan,,,2017-07-31,,0.27,,,A/16/83089 refers,local-authority-eng:WGN,not owned by a public authority,,,,,SHLAA0253,"https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0253",2016-04-01
Hag Fold Working Mens Club Formby Avenue Atherton,,,2016-04-01,,0.16,,,A/15/81742 Reserved Matters to A/12/77491 Outline,local-authority-eng:WGN,not owned by a public authority,,,,,SHLAA0229,"https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0229",2016-04-01
Corner Kitt Green Road and Pembroke Road Wigan,,,2016-04-01,,0.15,,,,local-authority-eng:WGN,not owned by a public authority,,,,,SHLAA0018,"https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0018",2016-04-01
Open land east of 57 Lancaster Road Hindley,,,2016-04-01,,0.13,,,,local-authority-eng:WGN,not owned by a public authority,,,,,SHLAA0173,"https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0173",2016-04-01
Former Keepers Inn Woodhouse Lane Wigan,,,2016-04-01,,0.11,,,A/14/79399 refers,local-authority-eng:WGN,not owned by a public authority,,,,,SHLAA0287,"https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0287",2016-04-01
Airflow 100 Lord Street Leigh,,,2016-04-01,,0.07,,,A/16/82071 refers,local-authority-eng:WGN,not owned by a public authority,,,,,SHLAA0292,"https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0292",2016-04-01
Land at Frog Lane and Prescott Street Wigan,,,2016-04-01,,1.45,,,,local-authority-eng:WGN,owned by a public authority,,,,,SHLAA0322,"https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0322",2016-04-01
Land adjacent to 234 Orrell Road Orrell,,,2016-04-01,,0.33,,,,local-authority-eng:WGN,not owned by a public authority,,,,,SHLAA0075,"https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0075",2016-04-01
