site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Site of The Vigo public house, Hartside, Birtley",yes,,2017-12-21,,0.2,11,4,DC/17/00742/FUL. 10 houses,local-authority-eng:GAT,not owned by a public authority,2017-09-13,,permissioned,full planning permission,HLA1,http://www.gateshead.gov.uk/DocumentLibrary/Building/PlanningPolicy/MSGP-Documents-2017/Evidence/Draft-SHLAA-report.pdf,2017-12-21
"BAE Systems, Mitchell St, Birtley",yes,,2017-12-21,yes,11.12,367,222,DC/11/00546/OUT (expired),local-authority-eng:GAT,not owned by a public authority,,,not permissioned,,HLA19,http://www.gateshead.gov.uk/DocumentLibrary/Building/PlanningPolicy/MSGP-Documents-2017/Evidence/Draft-SHLAA-report.pdf,2017-12-21
"Bleach Green, Elm Rd, Blaydon",yes,,2017-12-21,,4.84,202,97,,local-authority-eng:GAT,mixed ownership,,,not permissioned,,HLB1,http://www.gateshead.gov.uk/DocumentLibrary/Building/PlanningPolicy/MSGP-Documents-2017/Evidence/Draft-SHLAA-report.pdf,2017-12-21
"Blaydon Bank / Litchfield Lane, Winlaton",yes,,2017-12-21,,0.1,7,6,DC/15/00974/FUL. 6 town houses,local-authority-eng:GAT,mixed ownership,2016-01-22,,permissioned,full planning permission,HLB2,http://www.gateshead.gov.uk/DocumentLibrary/Building/PlanningPolicy/MSGP-Documents-2017/Evidence/Draft-SHLAA-report.pdf,2017-12-21
"Ramsay Street, Winlaton",yes,,2017-12-21,,0.07,10,8,DC/15/00258/FUL. 8 assisted living flats,local-authority-eng:GAT,mixed ownership,2017-08-04,,permissioned,full planning permission,HLB3,http://www.gateshead.gov.uk/DocumentLibrary/Building/PlanningPolicy/MSGP-Documents-2017/Evidence/Draft-SHLAA-report.pdf,2017-12-21
"MetroGreen - Derwent West Bank, Derwenthaugh Rd, Blaydonl",,,2017-12-21,,8.65,200,173,,local-authority-eng:GAT,mixed ownership,,,not permissioned,,HLB5,http://www.gateshead.gov.uk/DocumentLibrary/Building/PlanningPolicy/MSGP-Documents-2017/Evidence/Draft-SHLAA-report.pdf,2017-12-21
"Shibdon House, Shibdon Rd, Blaydon",yes,,2017-12-21,,0.03,7,6,DC/15/00998/COU. conversion from office use to 6 flats,local-authority-eng:GAT,not owned by a public authority,2016-01-26,,permissioned,full planning permission,HLB7,http://www.gateshead.gov.uk/DocumentLibrary/Building/PlanningPolicy/MSGP-Documents-2017/Evidence/Draft-SHLAA-report.pdf,2017-12-21
"Boulevard SW, St Bede's Dr, Gateshead",yes,,2017-12-21,,1.22,61,54,Increased site capacity compared to the SHLAA owing to re-allocation of capacity within the Exemplar Neighbourhood.,local-authority-eng:GAT,mixed ownership,,,not permissioned,,HLC1,http://www.gateshead.gov.uk/DocumentLibrary/Building/PlanningPolicy/MSGP-Documents-2017/Evidence/Draft-SHLAA-report.pdf,2017-12-21
"Pipewellgate, Gateshead",yes,,2017-12-21,,0.56,275,112,,local-authority-eng:GAT,mixed ownership,,,not permissioned,,HLC3,http://www.gateshead.gov.uk/DocumentLibrary/Building/PlanningPolicy/MSGP-Documents-2017/Evidence/Draft-SHLAA-report.pdf,2017-12-21
"Hudson St car park, Gateshead",yes,,2017-12-21,,0.39,165,78,,local-authority-eng:GAT,not owned by a public authority,,,not permissioned,,HLC4,http://www.gateshead.gov.uk/DocumentLibrary/Building/PlanningPolicy/MSGP-Documents-2017/Evidence/Draft-SHLAA-report.pdf,2017-12-21
"Freight Depot, St James Rd, Gateshead",yes,,2017-12-21,,8.49,330,300,Increased site capacity compared to the SHLAA owing to re-allocation of capacity within the Exemplar neighbourhood.,local-authority-eng:GAT,owned by a public authority,,,not permissioned,,HLC5,http://www.gateshead.gov.uk/DocumentLibrary/Building/PlanningPolicy/MSGP-Documents-2017/Evidence/Draft-SHLAA-report.pdf,2017-12-21
"Gateshead Green, High St, Gateshead",,,2017-12-21,,1.15,57,52,Increased site capacity compared to the SHLAA owing to re-allocation of capacity within the Exemplar neighbourhood.,local-authority-eng:GAT,mixed ownership,,,not permissioned,,HLC6,http://www.gateshead.gov.uk/DocumentLibrary/Building/PlanningPolicy/MSGP-Documents-2017/Evidence/Draft-SHLAA-report.pdf,2017-12-21
"Tennyson and Newbolt Towers, Shelley Dr, Gateshead",,,2017-12-21,,1,50,45,,local-authority-eng:GAT,owned by a public authority,,,not permissioned,,HLC7,http://www.gateshead.gov.uk/DocumentLibrary/Building/PlanningPolicy/MSGP-Documents-2017/Evidence/Draft-SHLAA-report.pdf,2017-12-21
"Windmill Hills School, Bensham Road, Gateshead",yes,,2017-12-21,,1.51,55,25,,local-authority-eng:GAT,owned by a public authority,,,not permissioned,,HLC11,http://www.gateshead.gov.uk/DocumentLibrary/Building/PlanningPolicy/MSGP-Documents-2017/Evidence/Draft-SHLAA-report.pdf,2017-12-21
"Old Town Hall area, West St, Gateshead",,,2017-12-21,,1.82,100,91,,local-authority-eng:GAT,owned by a public authority,,,not permissioned,,HLC12,http://www.gateshead.gov.uk/DocumentLibrary/Building/PlanningPolicy/MSGP-Documents-2017/Evidence/Draft-SHLAA-report.pdf,2017-12-21
"High Street area (NW), Gateshead",,,2017-12-21,,0.44,22,20,,local-authority-eng:GAT,mixed ownership,,,not permissioned,,HLC13,http://www.gateshead.gov.uk/DocumentLibrary/Building/PlanningPolicy/MSGP-Documents-2017/Evidence/Draft-SHLAA-report.pdf,2017-12-21
"Jackson Street, Gateshead",,,2017-12-21,,0.85,23,38,,local-authority-eng:GAT,mixed ownership,,,not permissioned,,HLC14,http://www.gateshead.gov.uk/DocumentLibrary/Building/PlanningPolicy/MSGP-Documents-2017/Evidence/Draft-SHLAA-report.pdf,2017-12-21
