site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Rolls Royce, Watnall Road, Hucknall",,,2017-07-28,,31.09,517,517,Outline planning consent for 900 dwellings. Reserved Matters consent on part of the site.. Outline pp for residential development (V/2013/0123),local-authority-eng:ASH,not owned by a public authority,2014-11-14,,permissioned,outline planning permission,BFR1,https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,2017-07-28
"Former Bamkins Factory, King Edward Street, Hucknall",yes,,2017-07-28,,0.25,14,14,"Future development will need to consider: A flood risk assessment reflecting greenfield runoff rates anticipated; Desktop survey and potential further investigations if contamination is suspected.. Full app pending for 14 dwellings with associated car parking, access and gardens (V/2016/0198)",local-authority-eng:ASH,not owned by a public authority,,,pending decision,,BFR2,https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,2017-07-28
"Factory site on Bolsover Street, Hucknall",yes,,2017-07-28,,0.22,16,16,Future development will need to consider: A flood risk assessment reflecting greenfield runoff rates anticipated; Desktop survey and potential further investigations if contamination is suspected; A noise impact assessment (in relation to the neighbouring factory); suitable relocation of existing businesses on the site and that the building is a local heritage site. Site can accommodate up to 16 dwellings. Conversion of red brick factory building (on Local Heritage List).,local-authority-eng:ASH,not owned by a public authority,,,not permissioned,,BFR3,https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,2017-07-28
"Land at Daniels Way, Hucknall",yes,,2017-07-28,,1.1,50,50,The site has planning permission subject to conditions. Outline planning permission for 50 dwellings,local-authority-eng:ASH,not owned by a public authority,2015-07-17,,permissioned,outline planning permission,BFR4,https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,2017-07-28
"Former Reform Church, 9 Annesley Rd, Hucknall, NG15 7AD",yes,,2017-07-28,,0.03,5,5,The site has planning permission subject to conditions. Full Planning permission for the conversion of the former Reform Church into 5 apartments,local-authority-eng:ASH,not owned by a public authority,2017-10-11,,permissioned,full planning permission,BFR5,https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,2017-07-28
"Poundstretcher, 50 High Street, Hucknall, NG15 7AX",yes,,2017-07-28,,0.05,6,6,The site has planning permission subject to conditions. Full Planning permission for the conversion into 6 apartments,local-authority-eng:ASH,not owned by a public authority,2017-10-18,,permissioned,full planning permission,BFR6,https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,2017-07-28
"8a Annesley Road, Hucknall",yes,,2017-07-28,,0.03,9,9,The site has planning permission subject to conditions. Full Planning permission for the conversion into 9 apartments,local-authority-eng:ASH,not owned by a public authority,2016-05-19,,permissioned,full planning permission,BFR7,https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,2017-07-28
"Land at Priestsic Road/Northern View, Sutton in Ashfield",yes,,2017-07-28,,0.53,24,24,Potential allocated site in the emerging Local Plan SKA3f. Requirement in relation to the Brownfield site will include Mitigation measures required in relation to any surface water issues; Desktop survey and potential further investigations if contamination is suspected.. Potential for residential development 24 dwellings,local-authority-eng:ASH,not owned by a public authority,,,not permissioned,,BFR8,https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,2017-07-28
"Davies Avenue, Sutton in Ashfield",yes,,2017-07-28,,0.6,19,19,Potential allocated site in the emerging Local Plan SKA3r. Mitigation measures required in relation to any surface water issues. Southern part of the site anticipated to be affordable housing.. Potential for residential development 19 dwellings. Affordable housing to the southern part of the site.,local-authority-eng:ASH,owned by a public authority,,,not permissioned,,BFR9,https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,2017-07-28
"Land at 57 Stoneyford Road, Sutton in Ashfield",yes,,2017-07-28,,0.35,9,9,Potential larger site available proposed allocation in emerging Local Plan allocation SKA3z 50 dwellings. Requirement in relation to the Brownfield site will include Mitigation measures required in relation to any surface water issues; Desktop survey and potential further investigations if contamination if suspected.. Brownfield element of a larger site identified as a proposed allocation in the emerging Local Plan. Larger site has had previous planning permission v/2013/0647.,local-authority-eng:ASH,not owned by a public authority,,,not permissioned,,BFR10,https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,2017-07-28
