site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"42-54 Winfield Street, Rugby",yes,,2017-12-20,,0.14,,,,local-authority-eng:RUG,not owned by a public authority,2007-10-29,https://planning.agileapplications.co.uk/rugby/search-applications/,not permissioned,other,S14/001EXP,,2017-12-15
"The Coal Yard High Street CV8 3EY, Ryton on Dunsmore ",yes,U/C,2017-12-20,,0.52,,,,local-authority-eng:RUG,not owned by a public authority,2016-09-28,https://planning.agileapplications.co.uk/rugby/search-applications/,permissioned,full planning permission,R16/1192,,2017-12-15
"69 Temple Street, CV21 3TB, Rugby",yes,03/12/2020,2017-12-20,,0.09,,,4 No. three bed townhouses and 3 No. two bed flats with associated parking and amenity mews courtyard,local-authority-eng:RUG,not owned by a public authority,2015-03-17,https://planning.agileapplications.co.uk/rugby/search-applications/,permissioned,full planning permission,S14/013PP,,2017-12-15
"Land adjacent to 4 Princes Street CV21 2LR, Rugby",yes,03/12/2020,2017-12-20,,0.03,,,"Expired planning permission for Three storey building comprising 6no. 2 bed apartments and associated works, a bin store and cycle store to the rear and provision of parking to the front.",local-authority-eng:RUG,not owned by a public authority,2014-04-17,https://planning.agileapplications.co.uk/rugby/search-applications/,not permissioned,other,S14/022PP,,2017-12-15
"Land adjacent to 9 Railway Terrace CV21 3EN, Rugby",yes,,2017-12-20,,0.12,,,14no residential apartments comprising of 13no two bed units and 1no 4 bed unit together with the formation of access and provision of parking court and associated works.,local-authority-eng:RUG,not owned by a public authority,2013-05-28,https://planning.agileapplications.co.uk/rugby/search-applications/,not permissioned,other,S14/023PP,,2017-12-15
"Former Herbert Gray College Little Chruch Street, CV21AW, Rugby",yes,,2017-12-20,,0.73,,,"Expired permission for Conversion & extensions to the former Herbert Gray College, including internal works, to facilitate the provision of 73 extra care residential units (Class C2) with associated facilities & works, including boundary walls & railings.",local-authority-eng:RUG,not owned by a public authority,2014-07-11,https://planning.agileapplications.co.uk/rugby/search-applications/,permissioned,full planning permission,S14/025PP,,2017-12-15
"Rugby Radio Station, Watling Street, Clifton upon Dunsmore, Rugby, CV23 0AS",yes,,2016-08-07,,4.6,,,"Key Phase1 Parcels G(part), J and L(part) - Submission of reserved matters comprising access, appearance, landscaping, layout and scale for the erection of 104 dwellings together with garages, access roads, parking and associated works pursuant to outline planning permission ref.no R11/0699 dated 21st May 2014.",local-authority-eng:RUG,not owned by a public authority,2016-08-07,https://planning.agileapplications.co.uk/rugby/search-applications/,permissioned,full planning permission,R16/0337,,2016-08-07
Land South of Technology Drive (Leicester Road Masterplan Development),yes,03/12/2020,2017-12-20,,4.8,,,,local-authority-eng:RUG,not owned by a public authority,2017-06-14,https://planning.agileapplications.co.uk/rugby/search-applications/,permissioned,full planning permission,R17/0036,,2017-12-15
"Warwickshire College, Rugby (former Newton and Faraday Halls), Lower Hillmorton Road, Rugby",yes,03/12/2020,2017-12-20,,4.2,,,Residential development of up to 131 dwellings and provision of 0.4 hectare of land for the provision of a Class C2 Extra Care facility with associated works and landscaping,local-authority-eng:RUG,not owned by a public authority,2014-08-13,https://planning.agileapplications.co.uk/rugby/search-applications/,permissioned,full planning permission,S135,,2017-12-15
"26 Lawford Road New Bilton CV21 2DY, Rugby",yes,03/12/2020,2017-12-20,,0.35,,,2 and a half storey building comprising an 19 bedroom residential care home (Use Class C2).,local-authority-eng:RUG,not owned by a public authority,2017-09-25,https://planning.agileapplications.co.uk/rugby/search-applications/,permissioned,full planning permission,S14/008PP,,2017-12-15
"Cattle Market, Craven Road, Rugby",yes,03/12/2020,2017-12-20,,0.8,,,"Development comprising 90 residential apartments (66x2bed & 24x1bed) together with associated access, parking and landscaping - revision to details approved under planning permission reference R10/1273 to increase height of buildings from three to four storeys and number of apartments from 69 to 90.",local-authority-eng:RUG,not owned by a public authority,,https://planning.agileapplications.co.uk/rugby/search-applications/,not permissioned,other,S14/003EXP,,2017-12-15
"Former Newtown Vehicle Rentals Site, 117 Newbold Road, Rugby, CV21 2NZ",yes,,2020-12-03,,0.59,,,"Residential development comprising part-3/part-4 and part-5 storey building incorproating 98 apartments, reconfiguration of existing access, provision of 61 parking spaces, cycle and refuse provision and new plantin and landscaping",local-authority-eng:RUG,not owned by a public authority,2018-12-19,https://planning.agileapplications.co.uk/rugby/search-applications/,permissioned,full planning permission,R17/2113,,2020-12-03
"The Shaw School of Dancing, Jubille Street, New Bilton, Rugby, CV21 2JJ",yes,,2020-12-03,,0.1,,,Erection of twelve new residential flats with associated access and parking,local-authority-eng:RUG,not owned by a public authority,2018-06-15,https://planning.agileapplications.co.uk/rugby/search-applications/,permissioned,full planning permission,R16/0782,,2020-12-03
"Finchley Court, 41 King Edward Road, Rugby, CV21 2TG",yes,,2020-12-03,,0.07,,,Demolition of the existing building and construction of 10 no. 1 bed apartments,local-authority-eng:RUG,not owned by a public authority,2018-06-12,https://planning.agileapplications.co.uk/rugby/search-applications/,permissioned,full planning permission,R18/1153,,2020-12-03
