site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
Cattle Mart,yes,,2017-12-12,,2.16,60,60,Cattle Mart and associated car park. Commercial use to be relocated. Potentially not deliverable in the short term but an option for brownfield housing development of appoximately 60 units.,local-authority-eng:DAL,not owned by a public authority,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,not permissioned,,11,http://www.darlington.gov.uk/brownfieldlandregister,2017-11-22
"Lancaster House, DTVA",yes,,2017-11-22,,1.88,55,55,"Outline planning permission for residential development of up to 55 dwellings with all matters reserved (amended Arboricultural Survey received 6 June 2016) (amended Site Location Plan, Parameters Plan, Constraints Plan, Design & Access Statement and Planning Statement received 29 June 2016) (additional Retrospective Heritage Statement received 29 June 2016) (Additional Ecology Report received 4 October 2016)",local-authority-eng:DAL,not owned by a public authority,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,pending decision,,16,http://www.darlington.gov.uk/brownfieldlandregister,2017-11-22
"Former Corus Site, Whessoe Road",,,2017-12-12,,7.26,219,219,Largely cleared brownfield site. Potential for brownfield housing development of approximately 219 units,local-authority-eng:DAL,not owned by a public authority,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,not permissioned,,26,http://www.darlington.gov.uk/brownfieldlandregister,2017-11-22
213-221 Haughton Road,yes,,2017-11-22,,0.42,12,12,Erection of 13 residential units in outline,local-authority-eng:DAL,not owned by a public authority,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,pending decision,,33,http://www.darlington.gov.uk/brownfieldlandregister,2017-11-22
Melland Street,,,2017-11-22,,0.25,12,12,"Erection of 36 No. apartments including associated drainage works, car parking and demolition of existing buildings",local-authority-eng:DAL,,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,not permissioned,,50,http://www.darlington.gov.uk/brownfieldlandregister,2017-11-22
Mowden Hall,yes,,2017-12-12,,1.98,35,35,Site cleared of former office building. Potential for brownfield housing development of approximately 35 units,local-authority-eng:DAL,owned by a public authority,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,not permissioned,,51,http://www.darlington.gov.uk/brownfieldlandregister,2017-11-22
Rear of Cockerton Club,yes,,2017-11-22,,0.39,11,11,"Former engineering use and petrol filling station. Site cleared. Proposed redevelopment of the site for residential purposes, comprising 20 dwellings and associated car parking",local-authority-eng:DAL,not owned by a public authority,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,pending decision,,59,http://www.darlington.gov.uk/brownfieldlandregister,2017-11-22
NW of Heron Drive,yes,,2017-11-22,,1.34,35,35,Erection of 48 two storey dwellinghouses (amended plan received 25 April 2008),local-authority-eng:DAL,not owned by a public authority,2011-03-07,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,not permissioned,,60,http://www.darlington.gov.uk/brownfieldlandregister,2017-11-22
Chesnut Street Car Park,,,2017-12-12,,0.49,17,17,Current car park. Potential for brownfield housing development of approximately 17 units.,local-authority-eng:DAL,owned by a public authority,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,not permissioned,,136,http://www.darlington.gov.uk/brownfieldlandregister,2017-11-22
Site East off Dumfries Street,,,2017-12-12,,0.86,23,23,Site currently in commercial use. Site has been actively marketed. Potential for brownfield housing development of approximately 23 units.,local-authority-eng:DAL,not owned by a public authority,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,not permissioned,,172,http://www.darlington.gov.uk/brownfieldlandregister,2017-11-22
Eastmount Road Coal Depot,,,2017-11-22,,2.06,30,30,Outline application for residential development (Revised Application),local-authority-eng:DAL,not owned by a public authority,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,not permissioned,,237,http://www.darlington.gov.uk/brownfieldlandregister,2017-11-22
Lingfield Point East,yes,,2017-12-12,,10.25,331,331,Existing buildings on site. Potential for brownfield housing development of approximately 331 units.,local-authority-eng:DAL,,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,not permissioned,,244,http://www.darlington.gov.uk/brownfieldlandregister,2017-11-22
Car Park East of McMullen Road,,,2017-12-12,,0.4,12,12,Vacant car park. Potential for brownfield housing development of approximately 12 units.,local-authority-eng:DAL,not owned by a public authority,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,not permissioned,,377,http://www.darlington.gov.uk/brownfieldlandregister,2017-11-22
