site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
1 To 4A Church Lane And 12 To 14 Parsons Street Banbury,yes,,2017-12-04,,0.12,8,8,,local-authority-eng:CHR,not owned by a public authority,2016-11-17,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,BLR2,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"27 Park Road, Banbury",yes,,2019-10-30,,0.07,6,6,Planning permission expired in December 2018.,local-authority-eng:CHR,not owned by a public authority,,https://planningregister.cherwell.gov.uk/Search,Not permissioned,,BLR4,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"3 West Bar Street, Banbury",yes,,2019-10-30,,0.14,12,12,,local-authority-eng:CHR,not owned by a public authority,,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,BLR5,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"Admiral Holland, Woodgreen Avenue, Banbury",yes,,2019-10-30,,0.4,14,14,2017 HELAA Site - HELAA253,local-authority-eng:CHR,owned by a public authority,2019-03-28,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,BLR7,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"Canalside, Banbury",,,2018-12-03,,24.78,649,649,2018 HELAA site - HELAA258. A Canalside Supplementary Planning Documents is being prepared. Planning permission for 51 homes at Crown House has already been given and is under construction. The 51 homes have been deducted from the total of 700 homes.,local-authority-eng:CHR,mixed ownership,,,Not permissioned,,BLR9,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"Car Park Edmunds House, 40 South Bar Street, Banbury",yes,,2018-12-03,,0.08,6,6,,local-authority-eng:CHR,not owned by a public authority,2017-07-31,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,BLR10,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"Land at Bolton Road, Banbury",,,2018-12-03,,2,200,200,2018 HELAA site - HELAA257.,local-authority-eng:CHR,,,,Not permissioned,,BLR11,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"Land at Higham Way, Banbury",yes,,2017-12-04,,3,150,150,2018 HELAA site - HELAA254.,local-authority-eng:CHR,not owned by a public authority,,,Not permissioned,,BLR12,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"P R Alcock And Sons Ltd, Castle Street, Banbury",yes,,2017-12-04,,0.16,5,5,Planning permission expired in November 2018.,local-authority-eng:CHR,not owned by a public authority,,,Not permissioned,,BLR15,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"Poundland, 1 - 6 Malthouse Walk, Banbury",yes,,2019-10-30,,0.07,20,20,Planning permission expired in November 2018.,local-authority-eng:CHR,not owned by a public authority,,,Not permissioned,,BLR16,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"The Imperial Oriental, 13 - 14 South Bar Street, Banbury",yes,,2018-12-03,,0.03,7,7,Planning permission expired in March 2018,local-authority-eng:CHR,not owned by a public authority,,,Not permissioned,,BLR17,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"Former Bicester Library, Old Place Yard, Bicester",yes,,2019-10-30,,0.04,3,3,The site was previously used as a library however is now vacant. Part of land identified for residential development in the Non-Statutory Cherwell Local Plan 2011.,local-authority-eng:CHR,owned by a public authority,,,Not permissioned,,BLR20,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
