site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
Land at Wolfreton Upper School,yes,,2018-03-31,,8.6,207,207,16/04252/REG4 - approximately 2.5ha is brownfield,local-authority-eng:ERY,owned by a public authority,2017-04-06,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/04252/REG4,permissioned,outline planning permission,55,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/04252/REG4,2016-07-12
Bridgeview School Hessle,yes,,2018-03-31,,1.35,26,26,17/03791/REM,local-authority-eng:ERY,owned by a public authority,2018-03-08,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/03791/REM,permissioned,reserved matters approval,56,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/03791/REM,2016-07-12
South of Lord Roberts Road,yes,,2018-03-31,,1,16,16,BEV-N,local-authority-eng:ERY,owned by a public authority,,,not permissioned,,59,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,2016-07-12
Land at Burlington Centre/Priory View,yes,,2018-03-31,,1.56,49,49,BRID-D,local-authority-eng:ERY,owned by a public authority,,,not permissioned,,65,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,2016-07-12
Land off Grange Road,,,2018-03-31,,3.04,91,91,GOO-F,local-authority-eng:ERY,mixed ownership,,,not permissioned,,66,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,2016-07-12
"Ted Nicholson (Garages) Ltd, Bridlington Road",yes,,2018-03-31,,0.21,9,9,16/00139/PLF,local-authority-eng:ERY,not owned by a public authority,2016-05-15,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/00139/PLF,permissioned,full planning permission,70,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/00139/PLF,2016-07-12
4 And 6 Londesborough Road,yes,,2018-03-31,,2.74,10,10,15/01862/PLF,local-authority-eng:ERY,not owned by a public authority,2016-01-11,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/01862/PLF,permissioned,full planning permission,71,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/01862/PLF,2016-07-12
Springfield Avenue,yes,,2018-03-31,,0.32,11,11,BF85,local-authority-eng:ERY,owned by a public authority,,,not permissioned,,85,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,2016-07-12
Hilderthorpe Road,yes,,2018-03-31,,0.58,11,11,BF86,local-authority-eng:ERY,owned by a public authority,,,not permissioned,,86,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,2016-07-12
Land South of Holme Church Lane,yes,,2018-03-31,,0.52,16,16,BEV-F,local-authority-eng:ERY,not owned by a public authority,,,not permissioned,,90,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,2016-07-12
Longcroft Lower School Church Road,yes,,2018-03-31,,2.27,68,68,BEV-C,local-authority-eng:ERY,owned by a public authority,,,not permissioned,,91,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,2016-07-12
Land West Of 9-17 Victoria Road,yes,,2018-03-31,,0.11,8,8,15/02345/PLF,local-authority-eng:ERY,not owned by a public authority,2016-05-17,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/02345/PLF,permissioned,full planning permission,92,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/02345/PLF,2016-07-12
Land at Station Road,,,2018-03-31,,2.04,70,53,COT-E 17/02893/BPIP,local-authority-eng:ERY,not owned by a public authority,2017-12-06,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/02893/BPIP,permissioned,permission in principle,93,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,2016-07-12
"Former Sugar Mill, Anderson Street",,,2018-03-31,,0.35,50,14,DRF-G 17/02891/BPIP,local-authority-eng:ERY,not owned by a public authority,2017-12-06,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/02891/BPIP,permissioned,permission in principle,96,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,2016-07-12
Alamein Barracks,,,2018-03-31,,27.88,480,480,DRF-I,local-authority-eng:ERY,not owned by a public authority,,,not permissioned,,97,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,2016-07-12
North of Exchange Street and East of Middle Street,,,2018-03-31,,1.24,32,32,DRF-L,local-authority-eng:ERY,not owned by a public authority,,,not permissioned,,98,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,2016-07-12
"Cattle Market, Beckside",,,2018-03-31,,2.36,44,44,DRF-M,local-authority-eng:ERY,mixed ownership,,,not permissioned,,99,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,2016-07-12
Hessle Dock Livingston Road,,,2018-03-31,,3.36,35,35,HES-H,local-authority-eng:ERY,not owned by a public authority,,,not permissioned,,103,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,2016-07-12
Land West of Parva Road,,,2018-03-31,,0.42,13,13,HOR-C,local-authority-eng:ERY,mixed ownership,,,not permissioned,,107,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,2016-07-12
Land South of Sands Lane,,,2018-03-31,,1.24,27,27,HOR-E,local-authority-eng:ERY,owned by a public authority,,,not permissioned,,108,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,2016-07-12
Land West of Thorpe Road,yes,,2018-03-31,,1.11,48,48,16/03942/OUT,local-authority-eng:ERY,not owned by a public authority,2017-07-18,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/03942/OUT,permissioned,outline planning permission,109,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/03942/OUT,2016-07-12
Station Garage 48 & 50 Station Road,,,2018-03-31,,0.52,14,14,CRA-E,local-authority-eng:ERY,not owned by a public authority,,,not permissioned,,110,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,2016-07-12
Land South of Willow Park Road,,,2018-03-31,,1.52,25,15,WIL-C 17/02899/BPIP,local-authority-eng:ERY,not owned by a public authority,2017-12-06,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/02899/BPIP,permissioned,permission in principle,122,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,2016-07-12
The Pottery Piggy Lane,yes,,2018-03-31,,0.17,7,7,16/03886/REM,local-authority-eng:ERY,not owned by a public authority,2017-03-07,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/03886/REM,permissioned,reserved matters approval,124,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/03886/REM,2016-07-12
Land at the Car Park Station Road,,,2018-03-31,,0.44,13,13,WITH-D,local-authority-eng:ERY,not owned by a public authority,,,not permissioned,,125,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,2016-07-12
Land At St Catherines Cottage And Jesfield Main Street,yes,,2018-03-31,,0.27,10,10,12/01316/PLF,local-authority-eng:ERY,not owned by a public authority,2012-07-25,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/12/01316/PLF,permissioned,full planning permission,129,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/12/01316/PLF,2016-07-12
Beverley College Gallows Lane,yes,,2018-03-31,,2.73,36,36,14/00428/STREM,local-authority-eng:ERY,not owned by a public authority,2014-04-22,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/14/00428/STREM,permissioned,reserved matters approval,131,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/14/00428/STREM,2016-07-12
