site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"7 Lower Borough Walls, Bath",yes,,2018-12-21,,0.06,,,,local-authority-eng:BAS,not owned by a public authority,2016-06-01,,permissioned,full planning permission,16/00782/FUL,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21
"Newbridge House, Bristol Road, Chew Stoke",yes,,2017-12-21,,0.07,,,,local-authority-eng:BAS,not owned by a public authority,2016-10-01,,permissioned,full planning permission,16/00571/FUL,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21
"St Augustines Surgery, 4 Station Road, Keynsham",yes,,2018-12-21,,0.08,,,,local-authority-eng:BAS,not owned by a public authority,2016-11-01,,permissioned,full planning permission,16/04660/FUL,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21
"Parish Centre, Harley Street, Bath",yes,2019.03.31,2018-12-21,,0.02,,,,local-authority-eng:BAS,not owned by a public authority,2014-05-14,,permissioned,full planning permission,14/01153/FUL,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21
"E Block, MoD Ensleigh, Bath",yes,,2018-12-21,,0.19,,,,local-authority-eng:BAS,not owned by a public authority,2016-12-01,,permissioned,full planning permission,16/02706/FUL,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21
"Westways Garage, Bath Road, Marksbury",yes,,2018-12-21,,0.06,,,,local-authority-eng:BAS,not owned by a public authority,2015-03-23,,Not permissioned,other,15/00424/ODCOU,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21
"The Island, Midsomer Norton",yes,,2018-12-21,,0.03,,,,local-authority-eng:BAS,not owned by a public authority,2015-11-03,,permissioned,full planning permission,15/04021/SDCOU,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21
"Pensford Garage, New Road, Pensford",yes,,2018-12-21,,0.17,,,,local-authority-eng:BAS,not owned by a public authority,2016-05-01,,permissioned,full planning permission,15/04054/FUL,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21
"Old Colliery Yard, Wick Lane, Pensford",yes,,2018-12-21,,0.6,,,,local-authority-eng:BAS,not owned by a public authority,2015-03-26,,permissioned,full planning permission,17/00781/FUL,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21
"Unit 2 Lymore Gardens, Bath",yes,,2018-12-21,,0.05,,,,local-authority-eng:BAS,not owned by a public authority,2017-02-01,,permissioned,full planning permission,16/04261/FUL,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21
"151 - 152 High Street Twerton, Bath",yes,31/03/2019,2018-12-21,,0.02,,,,local-authority-eng:BAS,not owned by a public authority,2016-05-01,,permissioned,full planning permission,15/03742/FUL,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21
"Designer Composites, Fosseway, Westfield",yes,,2018-12-21,,0.21,,,,local-authority-eng:BAS,not owned by a public authority,2015-03-13,,permissioned,full planning permission,12/00107/FUL,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21
"44 Lower Bristol Road, Bath",yes,,2018-12-21,,0.04,,,,local-authority-eng:BAS,not owned by a public authority,2017-01-01,,permissioned,full planning permission,16/02527/FUL,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21
